system,N,theta,embedding,mu,t1,t2,prob,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
LFR,5000,0.10,LE,0.1,2.1,1.0,1,0.6494059811552643,0.6965972420580948,0.6825001860185449,-0.026341362505128474,-8.050603914012768,-14.082112118391093
LFR,500,0.10,LE,0.1,2.1,1.0,1,0.5272453964674935,0.5618068673794954,0.5833556895477964,-0.0002676068198430827,-13.717076076354425,-4.023761176826365
LFR,10000,0.10,LE,0.1,2.1,1.0,1,0.6725431067811026,0.7021697823712285,0.674064778723708,-0.061062529436674416,-4.00828627911632,-14.955222687908654
LFR,1000,0.10,LE,0.1,2.1,1.0,1,0.6818625854770433,0.7728028067341941,0.77487855750605,0.03598569509906108,-29.21716958134654,-10.534462693963645
LFR,100,0.10,LE,0.1,2.1,1.0,1,0.4940239043824701,0.49331586885766454,0.4716112143608104,-0.1817986581854247,1565.8322570965734,-7.160463624079478
LFR,5000,0.10,LE,0.1,2.1,1.0,1,0.6419500204834084,0.6970473165102935,0.6793842881349186,-0.06609032674540871,-8.33172739255384,-13.816581422710954
LFR,500,0.10,LE,0.1,2.1,1.0,1,0.5133408493047726,0.5525161307816326,0.5681985512762517,0.0031001637640901084,-14.276427952250065,-4.349743311676784
LFR,10000,0.10,LE,0.1,2.1,1.0,1,0.672079177298384,0.7017886060514141,0.6746928078515695,-0.0698783199008799,-4.618085630047057,-15.122332525522628
LFR,1000,0.10,LE,0.1,2.1,1.0,1,0.6753500488440247,0.7699355532369707,0.7795551148717138,-0.02552725694399428,-27.679043714187852,-8.91629452330701
LFR,100,0.10,LE,0.1,2.1,1.0,1,0.5438247011952191,0.5635389378423434,0.5338373049941594,-0.09931881516288,18038.668910751065,-7.22686358600657
LFR,5000,0.10,LE,0.1,2.1,1.0,1,0.6618327803039613,0.7104999664774232,0.6950448020168953,-0.07423654252886502,-8.15787448886285,-14.59659618955899
LFR,500,0.10,LE,0.1,2.1,1.0,1,0.5092070650131529,0.536867775607298,0.555138108757994,-0.025980183941210905,-11.782005534677193,-4.556772191665112
LFR,10000,0.15,LE,0.1,2.1,1.0,1,0.6849236563101232,0.7303612260801201,0.7067454848985772,-0.07704348962937563,-3.806645803641696,-13.830649161058247
LFR,1000,0.15,LE,0.1,2.1,1.0,1,0.7064299258748492,0.8032711201300669,0.8025391702283585,-0.048204790945349255,-24.237679428649635,-8.740649810743953
LFR,100,0.15,LE,0.1,2.1,1.0,1,0.5126582278481012,0.5048884298256548,0.4968612316719909,0.08227661613964095,7320.616968813161,-3.9457076861346345
LFR,5000,0.15,LE,0.1,2.1,1.0,1,0.6685173939446517,0.7242338127242647,0.7107975588773757,-0.046600147003372436,-7.133630203038919,-12.959648783943315
LFR,500,0.15,LE,0.1,2.1,1.0,1,0.5407879029048945,0.5772539555859588,0.5846392277997964,0.0025490022989460167,-14.81253999069573,-4.429373231391685
LFR,10000,0.15,LE,0.1,2.1,1.0,1,0.6806664210569405,0.7234922824255943,0.6967747636658448,-0.07270520355042462,-3.5968151878370827,-13.611038230925525
LFR,1000,0.15,LE,0.1,2.1,1.0,1,0.7139655172413794,0.8089700690523925,0.8102578995747214,0.052749650015488043,-23.638843368383853,-7.733642814058438
LFR,100,0.15,LE,0.1,2.1,1.0,1,0.5210970464135021,0.5226345876444713,0.5081381695711782,-0.0787983256220038,9748.17182046819,-6.111451649987468
LFR,5000,0.15,LE,0.1,2.1,1.0,1,0.6729417888435846,0.7262149401714713,0.7136638560003185,-0.02069847699676957,-6.862259399761159,-13.107240962239707
LFR,500,0.15,LE,0.1,2.1,1.0,1,0.5387982491046558,0.5833634197414976,0.6078267606125088,0.07092389125635162,-15.83975124436585,-3.5556489634701713
LFR,10000,0.15,LE,0.1,2.1,1.0,1,0.6891604240861271,0.7298001395468221,0.7059163159603112,-0.07448070380965018,-3.6194595016596978,-13.997976811711402
LFR,1000,0.15,LE,0.1,2.1,1.0,1,0.72,0.8148204914844737,0.8123864907267786,0.007060655896251151,-27.275065116568374,-8.408603517825025
LFR,100,0.15,LE,0.1,2.1,1.0,1,0.5042194092827004,0.5002671273128774,0.4873468037343216,-0.1579429485026071,7975.053856573016,-5.964207751514578
LFR,5000,0.15,LE,0.1,2.1,1.0,1,0.6618374251756745,0.7212796251422189,0.7056479781168379,-0.06345672005453877,-6.9266865251294405,-12.836917013580946
LFR,500,0.15,LE,0.1,2.1,1.0,1,0.538400318344608,0.5729550665703899,0.5899435470928462,0.04540542078442924,-13.925668097448739,-4.280215258629187
LFR,10000,0.15,LE,0.1,2.1,1.0,1,0.6815874575299848,0.7260775604763261,0.7030810356641412,-0.07518042620362825,-4.087571041820004,-13.844924228298554
LFR,1000,0.15,LE,0.1,2.1,1.0,1,0.7132758620689655,0.8076267309900989,0.8171772335391922,-0.06498339202689069,-26.724614209518798,-7.7170946827085745
LFR,100,0.15,LE,0.1,2.1,1.0,1,0.5,0.5051371082621082,0.4894199355892957,-0.05689769556441118,7510.057021150773,-4.935327811660371
LFR,5000,0.15,LE,0.1,2.1,1.0,1,0.6822381262199089,0.7371029986968862,0.7233690900321605,-0.09182056027363761,-6.66989056368887,-13.182333135533069
LFR,500,0.15,LE,0.1,2.1,1.0,1,0.5495423796259451,0.5833149647195935,0.5907570390556274,-0.003394899397036625,-13.88559237482248,-4.494028669015152
LFR,10000,0.20,LE,0.1,2.1,1.0,1,0.6946981558803061,0.7482785399108897,0.7287157243634,-0.09507061293083867,-3.4358242858695873,-12.875164761164077
LFR,1000,0.20,LE,0.1,2.1,1.0,1,0.7394250137337484,0.8297767807084794,0.8303678504286047,-0.08119084028141281,-24.075482899633865,-7.642434429713274
LFR,100,0.20,LE,0.1,2.1,1.0,1,0.4820627802690583,0.47186852533542534,0.48805332337158536,0.031132118231178882,3257.447261648867,-3.745890052673682
LFR,5000,0.20,LE,0.1,2.1,1.0,1,0.680247027375795,0.744844794891236,0.7344970018099624,-0.043668782899149286,-6.36193880902726,-12.185541512425292
LFR,500,0.20,LE,0.1,2.1,1.0,1,0.5691331923890064,0.5996982049631696,0.6072364714630254,0.015581833379150055,-15.796262642961942,-4.377423093866692
LFR,10000,0.20,LE,0.1,2.1,1.0,1,0.6940457550452331,0.746188978805493,0.7234774828181958,-0.06516703180047466,-3.340070428839038,-12.70026016022313
LFR,1000,0.20,LE,0.1,2.1,1.0,1,0.734065934065934,0.8260528699534182,0.8221937614450103,0.04517201668158318,-21.346072528941754,-6.095094763199887
LFR,100,0.20,LE,0.1,2.1,1.0,1,0.5100671140939598,0.516339607529035,0.5159604021910348,-0.1280027475939591,10851.991240467287,-6.16353725067491
LFR,5000,0.20,LE,0.1,2.1,1.0,1,0.6845476750080649,0.7466032376574451,0.736902613297705,-0.006473871641249459,-6.157452644475707,-12.179641658179882
LFR,500,0.20,LE,0.1,2.1,1.0,1,0.5577167019027485,0.6076035185582493,0.625315922855542,0.1000102413100335,-16.69772683329363,-2.8717761300758116
LFR,10000,0.20,LE,0.1,2.1,1.0,1,0.6978079331941545,0.749008266740324,0.7276307572744013,-0.0729738496862025,-3.3772388992351976,-12.923687299509098
LFR,1000,0.20,LE,0.1,2.1,1.0,1,0.7390587804431423,0.8366932130697579,0.8361952884897887,-0.039313895917311575,-25.140571626053504,-7.036620866273423
LFR,100,0.20,LE,0.1,2.1,1.0,1,0.5179372197309418,0.48437028543841654,0.46541415734027547,-0.11254352666379092,2782.477876052922,-5.550893630604258
LFR,5000,0.20,LE,0.1,2.1,1.0,1,0.6793252834362614,0.7431302251131683,0.7299778317696048,-0.07405145000275677,-6.351404319293267,-12.079166431970283
LFR,500,0.20,LE,0.1,2.1,1.0,1,0.5534883720930233,0.5936176512235625,0.6124649258453913,0.054029246446743444,-14.228972387916487,-4.093326464844094
LFR,10000,0.20,LE,0.1,2.1,1.0,1,0.6956115170494085,0.7483351861153847,0.7320347221058453,-0.08293879219163075,-3.710132983472767,-13.093112044351539
LFR,1000,0.20,LE,0.1,2.1,1.0,1,0.73992673992674,0.8357071743884932,0.8417267449524901,-0.01691848378350368,-26.234493613721533,-6.38099664241865
LFR,100,0.20,LE,0.1,2.1,1.0,1,0.4988814317673378,0.5129640011212109,0.5020520674038262,-0.051181782997185045,8368.847584647756,-4.370786908247992
LFR,5000,0.20,LE,0.1,2.1,1.0,1,0.6936264343978985,0.7587852009550458,0.7471855027893737,-0.09296097489954021,-5.991870424113601,-12.478297574913583
LFR,500,0.20,LE,0.1,2.1,1.0,1,0.5646661031276415,0.6062980535627518,0.6091969050426838,0.007106563108774197,-13.895664289250846,-4.529360513294729
LFR,10000,0.25,LE,0.1,2.1,1.0,1,0.7015541637671074,0.7636605488992814,0.7499421791481606,-0.09375511206008001,-3.283893808643746,-12.001788169683564
LFR,1000,0.25,LE,0.1,2.1,1.0,1,0.7603047470209026,0.8530984393317702,0.8519823073941369,-0.07066845713428786,-22.393043125273362,-6.680862775661531
LFR,100,0.25,LE,0.1,2.1,1.0,1,0.4688995215311005,0.46119317531203485,0.46196937304175334,0.05356389291278926,1141.584497223087,-3.849966565355484
LFR,5000,0.25,LE,0.1,2.1,1.0,1,0.6908366925572706,0.7565264858398187,0.748267751190811,-0.03378109381931601,-5.891954785202752,-11.469741002458079
LFR,500,0.25,LE,0.1,2.1,1.0,1,0.5669824086603519,0.6113442266468961,0.6244770108140738,0.036523964840644914,-16.451515826145716,-4.129421642447955
