system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees
drosophila,1-2,0.10,HOPE,0.9190381454891445,0.7763322537116708,0.30108814755843416,-0.0765038670119006,-12.353756352871487,-28.627623294371407
drosophila,1-3,0.10,HOPE,0.9507116499736425,0.7434580602254962,0.2635529643950226,-0.7522428656111593,-4.981916197031866,-25.33028329831652
drosophila,1-2,0.10,HOPE,0.9182164172649425,0.7762687004859168,0.29751732479109594,-0.05994133212432012,-12.943304518349404,-28.72726822926553
drosophila,1-3,0.10,HOPE,0.9508434370057987,0.7438985770663228,0.26531801681843864,-0.751720814486119,-5.006947801678424,-25.329271529212303
drosophila,2-3,0.10,HOPE,0.6550239234449761,0.6379680403828898,0.5115273471992453,-0.15679674891649192,0.2605090920854055,-8.723810583767808
drosophila,1-2,0.10,HOPE,0.9246572380087367,0.78283995057296,0.34914746744026737,-0.0664896283088702,-9.650572549534411,-30.044126181639843
drosophila,1-3,0.10,HOPE,0.9511509400808293,0.7355776866006651,0.27399792937640816,-0.5533856128303116,-3.5312488553822274,-27.861302243688257
drosophila,1-2,0.10,HOPE,0.9243977336620388,0.7827843425422205,0.3492567485356408,-0.06600068367911484,-9.677858013179986,-30.04456735963307
drosophila,1-3,0.10,HOPE,0.9512387981022667,0.7360010932380174,0.27502419543896706,-0.5540611089842048,-3.511314710598916,-27.86068356531453
drosophila,2-3,0.10,HOPE,0.6574162679425838,0.6486263314520659,0.5360747479237117,-0.10626575877580242,-2.399610926306019,-10.468928790301067
drosophila,1-2,0.10,HOPE,0.9344751524588036,0.7650906896441557,0.33170456032770246,-0.2608029563440337,-5.03440672605197,-27.497494324371687
drosophila,1-3,0.10,HOPE,0.9534791776489193,0.7485009760189438,0.3078150539922903,-0.6597400456815592,-1.7523709369560556,-28.671690616892338
drosophila,1-2,0.10,HOPE,0.9346914060810518,0.7651641965579804,0.33209663664136446,-0.2594550195658976,-5.087462664512784,-27.498301981579626
drosophila,1-3,0.10,HOPE,0.9534791776489193,0.7486483884570521,0.30843592566817507,-0.6619730416379571,-1.6565339429998225,-28.67870517746989
drosophila,2-3,0.10,HOPE,0.6411483253588517,0.6217047975761625,0.5005982052285259,-0.14366676616876067,-0.23966087786947826,-8.1642609676012
drosophila,1-2,0.10,HOPE,0.9228872934867226,0.7671208432003553,0.33477003423877105,-0.21702621627548627,-7.503058859990772,-31.786652502352478
drosophila,1-3,0.10,HOPE,0.9496573537163943,0.7512890780338554,0.3049760454092809,-0.6009780699233509,-1.1310370692742129,-29.197642210606684
drosophila,1-2,0.10,HOPE,0.923276533171871,0.7672597910471376,0.33567625097475634,-0.22074696735129254,-7.317683220279765,-31.77553664561346
drosophila,1-3,0.10,HOPE,0.949569495694957,0.7513300858791805,0.3053711029635693,-0.6030304649240132,-1.0498756591660892,-29.203810813766488
drosophila,2-3,0.10,HOPE,0.6588516746411484,0.6455259359391468,0.5277664474176817,-0.1926630393916094,-1.9089687390024068,-10.198266992234894
drosophila,1-2,0.10,HOPE,0.9166126032611046,0.7543782782039694,0.25606555144704346,-0.24056608835137958,-11.96057718573096,-25.176580760355467
drosophila,1-3,0.10,HOPE,0.9503602178878932,0.7599680199678726,0.29277369089397465,-0.7719971337646586,-2.6812039878751426,-26.293512326251236
drosophila,2-3,0.10,HOPE,0.6200956937799043,0.5989991446333379,0.46539337429979577,-0.17503408641019014,0.22385917422235863,-8.849944325421138
drosophila,1-2,0.15,HOPE,0.897604982369373,0.8100034074561828,0.34855638256160404,0.5712784464728012,-11.683435024563718,-24.525450465106026
drosophila,1-3,0.15,HOPE,0.9411573169597172,0.772059938655832,0.2837457339103127,-0.16096943283171655,-5.373177948078476,-22.93334133945526
drosophila,1-2,0.15,HOPE,0.8976965700416724,0.8100421714165742,0.34877223790770223,0.5732869260780707,-11.744307402823543,-24.53280989207386
drosophila,1-3,0.15,HOPE,0.9411573169597172,0.7719168930459599,0.28271644403153234,-0.15793705753049667,-5.507558256128974,-22.931040571896606
drosophila,2-3,0.15,HOPE,0.6254434870755196,0.6251266377412528,0.5002638369618494,-0.0920517657457092,-4.651559084449392,-7.513888446632914
drosophila,1-2,0.15,HOPE,0.9040575196922513,0.8082633512396736,0.3750019918121594,0.4927615067099436,-11.128312652857105,-25.2485328502897
drosophila,1-3,0.15,HOPE,0.9440878221229881,0.771759466516234,0.30040942573060325,-0.03135046770658347,-3.328811017322221,-23.58214824994491
drosophila,1-2,0.15,HOPE,0.9042407034255359,0.8084618637035668,0.3757674076847296,0.48293220766014655,-10.881131479205974,-25.20057248594687
drosophila,1-3,0.15,HOPE,0.9441343380779608,0.771690807168791,0.30042575150893575,-0.027324568366823728,-3.4352785494086744,-23.584242468224794
drosophila,2-3,0.15,HOPE,0.659908768373036,0.6578609611941447,0.5500922652110302,-0.03838847874446342,-4.541022971425899,-9.528419072813477
drosophila,1-2,0.15,HOPE,0.8961348232276973,0.7873523101058428,0.35776367965277045,0.36895127992775684,-7.374981944714175,-22.83130144708414
