system,layers,theta,auroc
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7,0.8807828633071351
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7499999999999999,0.8810421663848584
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7999999999999999,0.8883554763860502
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.85,0.8826418142997287
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.8999999999999999,0.8900787240298245
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.95,0.8794193371678992
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.0,0.49072949948175654
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.049999999999999996,0.6257639665653807
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.09999999999999999,0.7216322261357129
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.15,0.7144401125626312
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.19999999999999998,0.7895711929289174
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.24999999999999997,0.802946661849307
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.3,0.8221758994329378
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.35,0.8194311042127517
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.39999999999999997,0.8497430949743875
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.44999999999999996,0.8221068925087531
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.49999999999999994,0.8734519114238876
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.5499999999999999,0.8494024476646022
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6,0.8500288787465893
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6499999999999999,0.8749550742093253
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7,0.8850743905990776
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7499999999999999,0.8809057354795035
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7999999999999999,0.8736945606694559
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.85,0.8895370431058967
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.8999999999999999,0.9105767524401064
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.95,0.8857672518159806
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.0,0.49801214894591395
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.049999999999999996,0.6273299547003115
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.09999999999999999,0.7022980086966086
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.15,0.7619571190557862
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.19999999999999998,0.780997734070345
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.24999999999999997,0.796620930729
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.3,0.8314860829052682
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.35,0.8096201556006296
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.39999999999999997,0.8375356786577124
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.44999999999999996,0.837970571403214
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.49999999999999994,0.8564886895920697
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.5499999999999999,0.8512724829764535
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6,0.8704170773382952
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6499999999999999,0.8650686592229516
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7,0.8742306949274162
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7499999999999999,0.8920507986376551
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7999999999999999,0.9078703953158395
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.85,0.8706551682836268
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.8999999999999999,0.8976510958365647
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.95,0.9279652550042903
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.0,0.4724230085058057
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.049999999999999996,0.6111512078981223
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.09999999999999999,0.678375563357749
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.15,0.7513004465079989
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.19999999999999998,0.7619278788642984
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.24999999999999997,0.7591423363009133
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.3,0.8207777459035328
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.35,0.8245206043381329
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.39999999999999997,0.844492135205309
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.44999999999999996,0.8495304748223848
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.49999999999999994,0.8572633197572936
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.5499999999999999,0.8775968843870499
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6,0.8493793611626402
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.6499999999999999,0.8773833792563521
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7,0.8902537944454636
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7499999999999999,0.8841518632813089
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.7999999999999999,0.8950557902325199
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.85,0.8676775323500542
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.8999999999999999,0.906979809670782
../../data/edgelists/clean-multiplex-drosophila_l1-1_l2-3.mplx,1-2,0.95,0.881277226928936
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.0,0.4912478825522303
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.049999999999999996,0.5149529190207157
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.09999999999999999,0.5443254432544326
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.15,0.5276705276705277
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.19999999999999998,0.5393
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.24999999999999997,0.6258169934640523
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.3,0.6174466151749205
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.35,0.5392172029702971
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.39999999999999997,0.6476317799847211
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.44999999999999996,0.6318027210884354
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.49999999999999994,0.5038602941176471
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.5499999999999999,0.5881294964028777
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.6,0.5115819209039547
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.6499999999999999,0.7328947368421053
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.7,0.530940594059406
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.7499999999999999,0.7690802348336595
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.7999999999999999,0.7134615384615385
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.85,0.7270833333333333
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.8999999999999999,0.49444444444444446
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.95,0.765625
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.0,0.5376905702992659
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.049999999999999996,0.6412462412295356
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.09999999999999999,0.5667337357478203
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.15,0.602079002079002
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.19999999999999998,0.4641839641839642
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.24999999999999997,0.6262814538676607
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.3,0.6373525992360074
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.35,0.5836553945249597
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.39999999999999997,0.5358205782312926
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.44999999999999996,0.6355529131985731
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.49999999999999994,0.5498978698570177
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.5499999999999999,0.5318181818181819
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.6,0.5214097496706193
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.6499999999999999,0.6433566433566433
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.7,0.6482974910394265
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.7499999999999999,0.6441387559808612
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.7999999999999999,0.5298372513562387
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.85,0.4567307692307693
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.8999999999999999,0.6726190476190476
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.95,0.8529411764705882
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.0,0.510340203274986
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.049999999999999996,0.5509374748531423
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.09999999999999999,0.5654383174266525
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.15,0.42247137404580154
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.19999999999999998,0.6434700189564003
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.24999999999999997,0.5107298814722395
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.3,0.6316436251920123
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.35,0.6973214285714286
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.39999999999999997,0.5184331797235023
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.44999999999999996,0.6536348267117498
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.49999999999999994,0.5654841291010937
../../data/edgelists/clean-multiplex-london_l1-1_l2-3.mplx,1-2,0.5499999999999999,0.47454545454545455
