_UID,system,l1,l2,theta,accuracy,auroc
54,celegans,1,3,0.05,0.583564686285397,0.49463879408418665
55,celegans,1,3,0.15555555555555556,0.6660329531051965,0.582828245562255
56,celegans,1,3,0.15555555555555556,0.6404702970297029,0.5371720721196263
57,celegans,1,3,0.15555555555555556,0.6847757422615287,0.5873056511187561
58,celegans,1,3,0.15555555555555556,0.6372121966397013,0.5507498087222646
59,celegans,1,3,0.15555555555555556,0.6389776357827476,0.5607641317565023
60,celegans,1,3,0.2611111111111111,0.6604717655468192,0.5434382699886536
61,celegans,1,3,0.2611111111111111,0.6768901569186876,0.530167506911693
62,celegans,1,3,0.2611111111111111,0.6891891891891891,0.5805926376396504
63,celegans,1,3,0.2611111111111111,0.7256186317321689,0.5724936726659168
64,celegans,1,3,0.2611111111111111,0.6736401673640168,0.5794086140661938
65,celegans,1,3,0.36666666666666664,0.6596434359805511,0.5384329667155032
66,celegans,1,3,0.36666666666666664,0.6972010178117048,0.566949348101996
67,celegans,1,3,0.36666666666666664,0.6961506961506961,0.5483251934514577
68,celegans,1,3,0.36666666666666664,0.6714527027027027,0.5731491815476191
69,celegans,1,3,0.36666666666666664,0.699759807846277,0.6066237198546417
70,celegans,1,3,0.4722222222222222,0.7052740434332989,0.5786617819865902
71,celegans,1,3,0.4722222222222222,0.6969072164948453,0.6320287511230906
72,celegans,1,3,0.4722222222222222,0.7407766990291262,0.5782436426642206
73,celegans,1,3,0.4722222222222222,0.6901270772238515,0.5955334247719005
74,celegans,1,3,0.4722222222222222,0.702191235059761,0.5806367115376014
75,celegans,1,3,0.5777777777777778,0.7014742014742015,0.6088993225280851
76,celegans,1,3,0.5777777777777778,0.6925972396486826,0.5692528044433753
77,celegans,1,3,0.5777777777777778,0.7124518613607189,0.6091018685955395
78,celegans,1,3,0.5777777777777778,0.6516709511568124,0.574935702595277
79,celegans,1,3,0.5777777777777778,0.650375939849624,0.5689160013035686
80,celegans,1,3,0.6833333333333333,0.6401326699834162,0.5789792963093421
81,celegans,1,3,0.6833333333333333,0.5913793103448276,0.5080389558001498
82,celegans,1,3,0.6833333333333333,0.6023294509151415,0.5670816750008505
83,celegans,1,3,0.6833333333333333,0.6781045751633987,0.6091600582618547
84,celegans,1,3,0.6833333333333333,0.6247960848287113,0.5827321345249632
85,celegans,1,3,0.788888888888889,0.4948717948717949,0.5929838818908303
86,celegans,1,3,0.788888888888889,0.4719387755102041,0.5353062736382423
87,celegans,1,3,0.788888888888889,0.46867167919799496,0.5529932448171442
88,celegans,1,3,0.788888888888889,0.490521327014218,0.5498775176918889
89,celegans,1,3,0.788888888888889,0.513715710723192,0.6034383006860071
90,celegans,1,3,0.8944444444444445,0.31958762886597936,0.5518635724331926
91,celegans,1,3,0.8944444444444445,0.2549019607843137,0.6098522167487685
92,celegans,1,3,0.8944444444444445,0.25654450261780104,0.49032258064516127
93,celegans,1,3,0.8944444444444445,0.2864583333333333,0.5537974683544303
94,celegans,1,3,0.8944444444444445,0.3435897435897436,0.5895072075092189
95,celegans,1,3,1.0,,-1.0
96,celegans,1,3,1.0,,-1.0
97,celegans,1,3,1.0,,-1.0
98,celegans,1,3,1.0,,-1.0
99,celegans,1,3,1.0,,-1.0
100,celegans,2,3,0.05,0.5644268774703557,0.4848408690171298
101,celegans,2,3,0.05,0.5485398579321231,0.4582825700930858
102,celegans,2,3,0.05,0.5776201733648542,0.5209729076762908
103,celegans,2,3,0.05,0.5184893784421715,0.5073966699314397
104,celegans,2,3,0.05,0.48977987421383645,0.5486666771673386
105,celegans,2,3,0.15555555555555556,0.6392294220665499,0.5151581243184298
106,celegans,2,3,0.15555555555555556,0.612153708668454,0.5155058414118817
107,celegans,2,3,0.15555555555555556,0.6581945661700263,0.5246096096096096
108,celegans,2,3,0.15555555555555556,0.5683836589698046,0.4770758131831065
109,celegans,2,3,0.15555555555555556,0.6279491833030852,0.49443115385224734
110,celegans,2,3,0.2611111111111111,0.6304568527918781,0.4528963919232043
111,celegans,2,3,0.2611111111111111,0.5483539094650206,0.43299406276505514
112,celegans,2,3,0.2611111111111111,0.6811451135241856,0.4655991643418555
113,celegans,2,3,0.2611111111111111,0.5785714285714286,0.4534208174209799
114,celegans,2,3,0.2611111111111111,0.5877632898696088,0.45589563810422706
115,celegans,2,3,0.36666666666666664,0.652989449003517,0.478185068498
116,celegans,2,3,0.36666666666666664,0.6142684401451027,0.45838587641866335
117,celegans,2,3,0.36666666666666664,0.6320754716981132,0.463853764585829
118,celegans,2,3,0.36666666666666664,0.6452742123687282,0.500784273609193
119,celegans,2,3,0.36666666666666664,0.5914994096812278,0.4634216482986382
120,celegans,2,3,0.4722222222222222,0.5954415954415955,0.43332194660500317
121,celegans,2,3,0.4722222222222222,0.6014084507042253,0.46326091412174625
122,celegans,2,3,0.4722222222222222,0.5807860262008734,0.4732988802756244
123,celegans,2,3,0.4722222222222222,0.6034732272069464,0.44002203758301317
124,celegans,2,3,0.4722222222222222,0.6065340909090909,0.4754034610149719
