,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
26,london,1,2,"{'imb', 'emb'}",0.41,6.367457604471275,[-4.07849495],0.537117903930131,0.1291062801932367,0.6340513146995087
27,london,1,2,"{'imb', 'emb'}",0.49999999999999994,3.6212625862516883,[-1.8928884],0.6161616161616161,0.07927631578947368,0.625161700915746
28,london,1,2,"{'imb', 'emb'}",0.5900000000000001,4.391663311804885,[-2.45128168],0.5029585798816568,0.10635811126694716,0.6471059666168042
29,london,1,2,"{'imb', 'emb'}",0.68,7.1235945950839135,[-3.91861589],0.37398373983739835,0.10229976209357651,0.6070595560679459
30,london,1,2,"{'imb', 'emb'}",0.77,3.4191294896873923,[-1.27211133],0.32926829268292684,0.022569444444444448,0.5759281177479083
31,london,1,2,"{'imb', 'emb'}",0.86,7.258266524564942,[-3.421481],0.125,0.0202020202020202,0.6045348439470076
32,london,1,2,"{'imb', 'emb'}",0.95,7.327941720483388,[-2.87584663],0.0,0.0,0.7798606486106486
33,london,1,2,"{'imb', 'deg'}",0.05,1.4040121837482074,[1.39820551],0.8044692737430168,0.5847718253968254,0.8961922424849399
34,london,1,2,"{'imb', 'deg'}",0.14,0.9417807602261664,[2.81556367],0.8145896656534954,0.6972877358490566,0.9256204967128008
35,london,1,2,"{'imb', 'deg'}",0.22999999999999998,0.6993902246674857,[3.59984008],0.9059233449477352,0.8502409438351611,0.9570634579848118
36,london,1,2,"{'imb', 'deg'}",0.32,0.7848585030845193,[3.88693528],0.9,0.9021066974111729,0.9744678766061553
37,london,1,2,"{'imb', 'deg'}",0.41,0.9800089722818588,[3.89005173],0.8908296943231441,0.9321859903381642,0.9814624759409954
38,london,1,2,"{'imb', 'deg'}",0.49999999999999994,0.6889761554341568,[4.02903939],0.9141414141414141,0.9624177631578947,0.9908164939747571
39,london,1,2,"{'imb', 'deg'}",0.5900000000000001,0.7201879025453524,[4.18543639],0.9349112426035503,0.9621318373071528,0.9913218566139991
40,london,1,2,"{'imb', 'deg'}",0.68,0.7809178763797581,[4.12604614],0.9186991869918699,0.9583663758921491,0.9879548719299653
41,london,1,2,"{'imb', 'deg'}",0.77,0.3853874638755936,[4.22179342],0.9878048780487805,1.0,1.0
42,london,1,2,"{'imb', 'deg'}",0.86,0.5146683047953174,[4.21518321],0.9464285714285714,0.9868686868686869,0.9967736170713603
43,london,1,2,"{'imb', 'deg'}",0.95,0.5817620414981612,[4.24438566],1.0,1.0,1.0
