_UID,system,l1,l2,theta,accuracy,auroc,coef,intercept
110,london,2,3,0.15000000000000002,0.8543689320388349,0.7530303030303029,-1.0813765399032196,1.4653736159363044
111,london,2,3,0.15000000000000002,0.8504672897196262,0.8814553990610329,-0.9240251978894676,0.09047050993748984
112,london,2,3,0.15000000000000002,0.9801980198019802,0.980982905982906,-1.2233008128724538,-2.0331384780887682
113,london,2,3,0.15000000000000002,0.5701754385964912,0.8773648648648649,-1.1226620147439124,-2.126796238315256
114,london,2,3,0.15000000000000002,0.5596330275229358,0.5692307692307692,-1.2378052392778789,-2.4573115030868005
115,london,2,3,0.2,0.6698113207547169,0.8071294559099437,-1.110790484073454,-1.342205934805335
116,london,2,3,0.2,0.803921568627451,0.8521792763157894,-0.9371905648596531,0.12141072286165068
117,london,2,3,0.2,0.6336633663366337,0.8707609594706368,-1.3078741822092508,-2.3966935053864717
118,london,2,3,0.2,0.7272727272727273,0.8253264925373134,-1.2081705450833227,-2.0580204012837786
119,london,2,3,0.2,0.5700934579439252,0.9636150234741784,-1.0669107955025767,-1.458285870976959
120,london,2,3,0.25,0.9494949494949495,0.980787476280835,-1.1029513395141461,1.4456025520708713
121,london,2,3,0.25,0.8279569892473119,0.9744208494208494,-1.1713481011254645,-1.2939433231646666
122,london,2,3,0.25,0.6122448979591837,0.8600852272727273,-1.216774612751856,-2.0493103279777802
123,london,2,3,0.25,0.6767676767676768,0.9224062772449869,-1.0504043912315404,1.6013063297250498
124,london,2,3,0.25,0.7653061224489796,0.9047619047619048,-0.9644795530631262,0.0868406688958977
125,london,2,3,0.3,0.8651685393258427,0.9491525423728814,-1.0172318701343943,0.20756653901076394
126,london,2,3,0.3,0.9770114942528736,0.9920454545454546,-1.2881414555161859,-1.976316836729448
127,london,2,3,0.3,0.9263157894736842,0.9819047619047618,-0.9837160921022523,0.3735841473421093
128,london,2,3,0.3,0.9625,0.9928774928774928,-1.0512949201996957,0.18628368648480445
129,london,2,3,0.3,0.9659090909090909,0.9994419642857143,-1.0156432135265767,0.3318549233551117
130,london,2,3,0.35000000000000003,0.7386363636363636,0.8967654986522912,-1.006499590229033,0.14421308851883116
131,london,2,3,0.35000000000000003,0.9076923076923077,0.9911347517730497,-1.0960374456202835,0.13003851690137083
132,london,2,3,0.35000000000000003,0.9375,0.9393601190476191,-1.053104762055354,0.10279886974112716
133,london,2,3,0.35000000000000003,0.9382716049382716,0.9989510489510489,-1.0483325378761392,0.16805542215035513
134,london,2,3,0.35000000000000003,0.9540229885057471,0.9926900584795322,-1.1254999457727424,1.4891745517210386
135,london,2,3,0.4,0.9605263157894737,0.9955357142857143,-1.0573905938400405,0.3385357934587564
136,london,2,3,0.4,0.975,0.9952670723461798,-1.0452660206161108,0.3223075548956513
137,london,2,3,0.4,0.9583333333333334,0.988477366255144,-1.068945736433877,0.3482421864108567
138,london,2,3,0.4,0.8421052631578947,0.9311755952380952,-1.2151431400374637,-1.285296043430668
139,london,2,3,0.4,0.881578947368421,0.9857954545454546,-1.0456663139436058,0.517788453491864
140,london,2,3,0.45,0.927536231884058,0.9933673469387755,-1.0854298373845923,0.13727957200611748
141,london,2,3,0.45,0.9565217391304348,0.9949074074074074,-1.0808715235474917,0.275180789409423
142,london,2,3,0.45,0.927536231884058,0.987037037037037,-1.0809065400036912,0.274625491209873
143,london,2,3,0.45,0.9012345679012346,0.9936224489795918,-1.0350948866894385,0.4444400815110721
144,london,2,3,0.45,0.9230769230769231,0.998,-1.0868852849730906,0.36167933394950286
145,london,2,3,0.5,0.9420289855072463,0.9648148148148148,-1.080843432412929,0.27589603135393664
146,london,2,3,0.5,0.90625,0.9863636363636363,-1.0964217187058936,0.20565916809262857
147,london,2,3,0.5,0.9722222222222222,1.0,-1.070669674800576,0.31089057302520384
148,london,2,3,0.5,0.958904109589041,0.9804347826086957,-1.0728708917675922,0.18186808603758153
149,london,2,3,0.5,0.9137931034482759,0.9914215686274509,-1.1018795409946502,0.40207894971077784
