,dimension,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
1102,55,0.9111230787792879,0.7772111011598334,"(81, 18)",0,0,True,0.4603419811046285,0.4665719444929549
1103,55,0.8284769916097916,0.7659826645147572,"(52, 22)",0,0,True,0.48040266279081295,0.4843815011192659
1104,55,0.8495390360833364,0.5709718699277445,"(65, 4)",0,0,True,0.40194824799415557,0.4308050893146177
1105,55,0.9290940040279463,0.797966234867673,"(4, 67)",0,0,True,0.4620372914021448,0.46726494948683495
1106,55,0.8563645865732681,0.7586815680789054,"(67, 64)",0,0,True,0.4697584436788433,0.4755986453784694
1107,55,0.8180189969364787,0.8742175206926465,"(92, 58)",0,1,False,0.5166048076526866,0.5140459343910819
1108,55,0.788238938106255,0.8029477436746194,"(77, 23)",0,1,False,0.5046219609982853,0.5036771350969669
1109,55,0.8097496056436789,0.8082261581814448,"(23, 55)",0,0,True,0.4995292119028308,0.49961913820810305
1110,55,0.8370595843031094,0.8442684238799754,"(89, 10)",0,1,False,0.5021437933412696,0.5018022020895816
1111,55,0.9263995081013515,0.692391460306998,"(96, 99)",0,0,True,0.4277213511932186,0.44176349726638714
1112,55,0.9441259471028145,0.6922129628661867,"(74, 71)",0,0,True,0.42302542501986956,0.4373527046349516
1113,55,0.8533761404034842,0.8723769732269173,"(48, 20)",0,1,False,0.5055050843232906,0.504750065296393
1114,55,0.8099335058547246,0.8189708467821389,"(57, 86)",0,1,False,0.5027740551226303,0.5022593198546553
1115,55,0.8803480589817082,0.792029285214726,"(44, 25)",0,0,True,0.47359484267307544,0.47793464755149173
1116,55,0.8774281245301845,0.6878037584331628,"(34, 44)",0,0,True,0.4394261105459918,0.4527354495364731
1117,55,0.7739638335340273,0.8869912679973293,"(53, 94)",0,1,False,0.5340248313633202,0.528226814742994
1118,55,0.7998429560103314,0.7564033537264556,"(59, 53)",0,0,True,0.48604346817978233,0.48914180682534825
1119,55,0.8203664897435076,0.8193415938070647,"(2, 83)",0,0,True,0.49968747609811637,0.49974377603831766
1120,55,0.8383708827921782,0.6639701487486666,"(6, 41)",0,0,True,0.4419570089673178,0.4565099919325799
1121,55,0.856059798113352,0.8114363795601547,"(56, 0)",0,0,True,0.48661963393059887,0.4888459961673087
1122,60,0.8933823868691804,0.9093572803198091,"(1, 0)",1,1,True,0.5044307266715716,0.5039936384325661
1123,60,0.8349021400701041,0.911873548546146,"(2, 3)",1,1,True,0.522032424935172,0.5192333572311562
1124,60,0.8857629249828577,0.953743859361986,"(4, 3)",1,1,True,0.5184780330677988,0.5169886914599056
