,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
137,5,1.5717669,1.8758657,"(2, 3)",0,1,False,0.54410255,0.5754442
138,5,1.6760616,1.9346408,"(260, 3)",0,1,False,0.5358073,0.56428695
139,5,1.9825422,2.1608255,"(3, 338)",0,1,False,0.5215143,0.5444532
140,5,0.89833707,1.4508201,"(87, 260)",0,1,False,0.61759174,0.63471144
141,5,1.5899767,1.7557659,"(10, 36)",0,1,False,0.52477616,0.5413526
142,5,1.1439289,1.5340173,"(337, 36)",0,1,False,0.5728335,0.59630394
143,5,1.0764475,1.2897348,"(18, 17)",0,1,False,0.54506993,0.5531206
144,5,1.7248213,1.5804332,"(318, 17)",0,0,True,0.47815782,0.46396556
145,5,1.7271996,1.6943561,"(194, 318)",0,0,True,0.49520054,0.49178988
146,5,1.5487247,1.7228298,"(40, 363)",0,1,False,0.52660894,0.5434167
147,5,2.20852,1.860077,"(57, 103)",0,0,True,0.45717898,0.41376004
148,5,1.7798544,1.5763634,"(57, 333)",0,0,True,0.46968448,0.44930208
149,5,1.1471368,1.323998,"(355, 103)",0,1,False,0.53578544,0.5441004
150,5,1.9179482,2.0739238,"(226, 62)",0,1,False,0.5195366,0.53891504
151,5,1.7972107,1.5768377,"(139, 226)",0,0,True,0.4673429,0.44512865
152,5,1.3739483,1.3477904,"(82, 83)",0,0,True,0.49519464,0.49346086
153,5,0.9851402,1.4404854,"(84, 82)",0,1,False,0.5938614,0.61190933
154,5,1.8891189,1.3766086,"(193, 83)",0,0,True,0.42153198,0.37460527
155,5,1.4113315,1.6632866,"(194, 193)",0,1,False,0.54097337,0.56265765
156,5,1.4474806,1.0924975,"(86, 85)",0,0,True,0.43012083,0.41217458
157,5,0.32560518,1.1690236,"(92, 93)",0,1,False,0.7821498,0.69918466
158,5,1.1782999,1.2242631,"(97, 96)",0,1,False,0.5095655,0.51148874
159,5,0.2565908,1.8717688,"(113, 111)",0,1,False,0.87944204,0.83412904
160,5,0.44499975,1.8850415,"(208, 207)",0,1,False,0.80901635,0.80846107
161,5,2.533219,0.8485233,"(182, 100)",0,0,True,0.25091305,0.15647466
162,5,1.7603543,0.5051985,"(182, 266)",0,0,True,0.22299127,0.22180896
163,5,0.3388323,1.3281484,"(327, 317)",0,1,False,0.7967389,0.72895277
164,5,0.5546807,1.4834629,"(220, 149)",0,1,False,0.72785,0.71682817
165,5,0.34456325,1.4419179,"(150, 217)",0,1,False,0.8071274,0.74976414
166,5,0.37610778,1.1619698,"(128, 153)",0,1,False,0.7554689,0.6869421
167,5,0.28809336,1.4537737,"(255, 129)",0,1,False,0.8346066,0.7623633
168,5,1.3939229,1.3992852,"(138, 139)",0,1,False,0.5009599,0.50134057
169,5,1.0492747,1.4847397,"(138, 209)",0,1,False,0.5859239,0.6071779
170,5,1.3800714,0.7928318,"(259, 266)",0,0,True,0.3648721,0.35726845
171,5,1.5080651,1.3508532,"(356, 194)",0,0,True,0.47250503,0.46077776
172,5,1.7109573,1.7298764,"(196, 254)",0,1,False,0.5027492,0.5047296
173,5,1.7779676,1.4865836,"(196, 261)",0,0,True,0.4553715,0.42766508
174,5,1.7359601,1.6732696,"(219, 218)",0,0,True,0.49080575,0.4843325
175,10,3.4865587,2.4285326,"(1, 106)",1,0,False,0.41056553,0.25768685
176,10,4.2448864,2.5221376,"(219, 1)",1,0,False,0.37271005,0.15151747
177,10,3.4737182,3.0526216,"(1, 321)",1,0,False,0.4677387,0.3962544
178,10,2.7176454,0.61228466,"(77, 76)",1,0,False,0.18387313,0.10857688
179,10,2.5021343,1.6381993,"(106, 105)",1,0,False,0.39566845,0.29651788
180,10,3.4150999,2.3219776,"(219, 282)",1,0,False,0.40473178,0.2510308
181,10,2.0897985,1.8156685,"(322, 321)",1,0,False,0.46490434,0.43189347
182,10,3.5518851,1.5024897,"(160, 4)",1,0,False,0.29726517,0.11411349
183,10,3.3710954,1.4911338,"(301, 4)",1,0,False,0.30667695,0.13239329
184,10,2.3331516,0.47701466,"(5, 6)",1,0,False,0.16974606,0.13515396
185,10,2.7173536,1.6128166,"(160, 300)",1,0,False,0.3724603,0.24889076
186,10,2.1891742,1.6458979,"(301, 72)",1,0,False,0.42916995,0.36742577
187,10,2.530907,2.2969947,"(44, 221)",1,0,False,0.47577497,0.44178712
188,10,3.2587533,1.3174567,"(328, 221)",1,0,False,0.28789255,0.12550548
189,10,4.3417997,2.1826138,"(34, 8)",1,0,False,0.33453026,0.10347596
190,10,4.180207,1.533332,"(58, 8)",1,0,False,0.26836818,0.06618188
191,10,3.0875604,1.7289428,"(9, 295)",1,0,False,0.35896224,0.20446508
192,10,2.9953167,3.2685473,"(9, 10)",1,1,True,0.52181005,0.5678858
193,10,4.5433245,1.8695791,"(34, 39)",1,0,False,0.29153395,0.06454047
194,10,5.3703494,2.8727083,"(180, 34)",1,0,False,0.34850034,0.07602371
195,10,3.7772512,1.4892076,"(58, 59)",1,0,False,0.2827721,0.09211804
196,10,3.029098,2.5346026,"(348, 10)",1,0,False,0.45556056,0.37883517
197,10,2.2654757,1.3199914,"(13, 14)",1,0,False,0.36815044,0.27979383
198,10,1.9123017,1.9647026,"(300, 14)",1,1,True,0.5067579,0.5130972
199,10,2.5409493,0.37470013,"(342, 354)",1,0,False,0.12851344,0.10282253
200,10,2.3131318,0.59697866,"(15, 16)",1,0,False,0.2051395,0.15236732
201,10,3.28423,1.5332645,"(20, 19)",1,0,False,0.31827012,0.14792547
202,10,5.414691,3.1092463,"(181, 19)",1,0,False,0.36476645,0.09067304
203,10,5.607512,3.3125284,"(181, 97)",1,0,False,0.371358,0.091539256
204,10,5.8168063,2.5416024,"(184, 181)",1,0,False,0.3040773,0.036431707
205,10,5.352517,2.5642483,"(245, 181)",1,0,False,0.323901,0.057961408
206,10,2.3110995,1.1518108,"(21, 22)",1,0,False,0.33261353,0.23879653
207,10,1.8823096,2.0087166,"(22, 262)",1,1,True,0.5162434,0.53155977
208,10,2.265532,1.2025924,"(168, 169)",1,0,False,0.34675583,0.25674808
209,10,3.6676068,1.7801493,"(262, 99)",1,0,False,0.3267674,0.13153464
210,10,1.5164346,0.6184034,"(311, 312)",1,0,False,0.2896723,0.2894553
211,10,3.6184032,1.1407186,"(26, 191)",1,0,False,0.239691,0.077437446
212,10,3.2399976,1.6446341,"(192, 26)",1,0,False,0.33669564,0.16863061
213,10,2.72252,0.42023715,"(95, 94)",1,0,False,0.13371608,0.09093406
214,10,2.0383565,1.9338223,"(192, 336)",1,0,False,0.48684174,0.47389022
215,10,4.980026,1.6917783,"(27, 350)",1,0,False,0.25357133,0.035976578
216,10,4.911148,1.7989712,"(67, 28)",1,0,False,0.26809824,0.042607754
217,10,3.730521,1.5709376,"(28, 279)",1,0,False,0.29632178,0.103439085
218,10,5.046899,2.7781832,"(29, 49)",1,0,False,0.35503566,0.093747266
219,10,4.0312114,1.2567428,"(315, 29)",1,0,False,0.23766144,0.058719534
220,10,3.5039992,1.7768158,"(174, 175)",1,0,False,0.33646622,0.15094818
221,10,3.8181348,1.6577951,"(187, 188)",1,0,False,0.3027422,0.10336897
222,10,3.2398026,0.9029826,"(188, 350)",1,0,False,0.2179651,0.08811911
223,10,4.782501,1.662786,"(67, 252)",1,0,False,0.2579848,0.04230131
224,10,4.6820893,2.584804,"(68, 183)",1,0,False,0.3556959,0.10936095
225,10,4.5972753,1.942027,"(206, 68)",1,0,False,0.2969777,0.065666266
226,10,4.47465,2.946282,"(213, 68)",1,0,False,0.39702314,0.17823261
227,10,3.268964,1.4082315,"(279, 278)",1,0,False,0.30108455,0.1346177
228,10,4.4733944,2.6324031,"(47, 49)",1,0,False,0.3704585,0.1369341
229,10,4.779467,2.5291765,"(49, 174)",1,0,False,0.3460528,0.09532439
230,10,3.4277937,2.6812007,"(49, 313)",1,0,False,0.43889397,0.3215641
231,10,4.0186176,2.7704272,"(49, 314)",1,0,False,0.40807322,0.22301356
232,10,1.8621465,1.2966697,"(32, 33)",1,0,False,0.41049227,0.3622812
233,10,1.638656,0.6912959,"(358, 33)",1,0,False,0.29669964,0.27941602
234,10,1.9470731,1.1552203,"(358, 132)",1,0,False,0.37237623,0.311771
235,10,3.508365,1.5340229,"(119, 118)",1,0,False,0.3042255,0.121923275
236,10,4.258262,2.969614,"(180, 121)",1,0,False,0.41085568,0.21608174
237,10,5.248661,2.6135561,"(176, 180)",1,0,False,0.33241972,0.06691301
238,10,4.7767735,2.491717,"(277, 180)",1,0,False,0.3428108,0.09236817
239,10,4.5690565,2.37318,"(343, 180)",1,0,False,0.3418466,0.1001214
240,10,3.329453,0.4269945,"(38, 37)",1,0,False,0.11366976,0.052032165
241,10,2.3902373,2.2312136,"(41, 40)",1,0,False,0.48279503,0.4603276
242,10,2.5899136,2.6887627,"(40, 170)",1,1,True,0.50936306,0.5246921
243,10,2.1563556,1.79888,"(322, 170)",1,0,False,0.4548098,0.41157076
244,10,1.7635115,0.29168287,"(53, 52)",1,0,False,0.14192471,0.18666483
245,10,1.758022,1.1619741,"(43, 42)",1,0,False,0.39793688,0.35524842
246,10,1.901755,2.0946481,"(199, 42)",1,1,True,0.5241333,0.54807436
