_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
28,celegans,1,2,0.5499999999999999,0.6224299065420561,0.5620814562279314,-0.4614292910943727,-6.813605444409032
29,celegans,1,2,0.5499999999999999,0.6,0.5631894986733696,-0.40893656722930044,-7.244137025062481
30,celegans,1,2,0.65,0.5481481481481482,0.509360333280599,-0.6901414511306174,-6.938785986980059
31,celegans,1,2,0.65,0.5932203389830508,0.5686264597340882,-0.4016979540408966,-6.781145358777276
32,celegans,1,2,0.65,0.6107226107226107,0.5680672268907564,-0.4248595371001957,-5.039759251261118
33,celegans,1,2,0.65,0.5767326732673267,0.5604180806298358,-0.34090280374468723,-7.254156785858349
34,celegans,1,2,0.65,0.6246786632390745,0.6011135057471266,-0.5295485792655557,-6.024604203577638
35,celegans,1,2,0.75,0.6218181818181818,0.5487645521501544,-0.5470016747093449,-4.371153071479395
36,celegans,1,2,0.75,0.64,0.5921955403087478,-0.5833202437236483,-6.623725635901749
37,celegans,1,2,0.75,0.6006006006006006,0.5599647266313932,-0.7620032118729902,-7.2530006327207355
38,celegans,1,2,0.75,0.6538461538461539,0.6254725472547256,-0.567100779757553,-6.415593204039077
39,celegans,1,2,0.75,0.6153846153846154,0.5695545542690925,-0.4187638398018174,-5.964973120795664
40,celegans,1,2,0.85,0.6077348066298343,0.5045454545454546,-0.7760338474225414,-3.7055353452787116
41,celegans,1,2,0.85,0.5185185185185185,0.5062140391254315,-0.8390416282496737,-5.512257320773648
42,celegans,1,2,0.85,0.5151515151515151,0.4996118442941111,-0.8101777665768432,-5.871738046819213
43,celegans,1,2,0.85,0.625,0.5102745098039215,-0.6472439101361129,-3.835292492503972
44,celegans,1,2,0.85,0.5671641791044776,0.5418954404392456,-0.6318653163686,-5.409993769796721
45,celegans,1,2,0.95,0.37209302325581395,0.3778280542986425,-1.1930570759105437,-3.9862788788122963
46,celegans,1,2,0.95,0.5689655172413793,0.5881595881595881,-0.8400760468292765,-1.5526658104252498
