,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
13,1000,20.0,20.0,0.675,0.007067933508080907,4.1858972624809185,0.5006289308176101,0.4904317954901114,0.4921213853294092,0.0245588689995202,0.024559497833251953,2361.0,2360.0,4.722,4.72,6.324,6.298
14,1000,20.0,20.0,0.9,0.018845634689664072,2.726069417325104,0.5242105263157895,0.5321552000570065,0.5634452733740045,0.022843003000161843,0.022843360900878906,2361.0,2360.0,4.722,4.72,5.164,5.228
15,1000,30.0,10.0,,,,,,,,,,,,,,
16,1000,30.0,10.0,0.225,0.0910809528722121,10.109840020062585,0.4922338322507766,0.4795317361044293,0.5152112889911038,0.025430047000554623,0.02543044090270996,2394.0,2124.0,4.788,4.248,8.07,8.048
17,1000,30.0,10.0,0.45,-0.08370404949894769,6.12707489432369,0.48518067397482745,0.47943944705337654,0.525597492478335,0.02410604400029115,0.024106502532958984,2394.0,2124.0,4.788,4.248,7.114,6.848
18,1000,30.0,10.0,0.675,-0.06928797076503258,3.9458851804587423,0.4847841472045294,0.4497243036900891,0.5286534756841086,0.02351194199945894,0.02351236343383789,2394.0,2124.0,4.788,4.248,6.074,5.788
19,1000,30.0,10.0,0.9,-0.08492910073457792,2.709399338503073,0.46320346320346323,0.4441594467244262,0.5695742433301411,0.021912463000262505,0.021912813186645508,2394.0,2124.0,4.788,4.248,5.196,4.764
20,1000,30.0,20.0,,,,,,,,,,,,,,
21,1000,30.0,20.0,0.225,-0.013009997920147166,10.059339705226552,0.5250924458531432,0.5292506571040521,0.5292105616439574,0.028053250000084518,0.028053998947143555,2529.0,2384.0,5.058,4.768,8.768,8.63
22,1000,30.0,20.0,0.45,-0.04765801963765252,6.5790258747179715,0.5331874544128373,0.5481505809859062,0.5520550360890809,0.02548735399977886,0.025487661361694336,2529.0,2384.0,5.058,4.768,7.736,7.574
23,1000,30.0,20.0,0.675,-0.011746419821047654,4.149157361492959,0.5556257901390644,0.572845292170298,0.5883848088795799,0.024887354999918898,0.024887800216674805,2529.0,2384.0,5.058,4.768,6.546,6.444
24,1000,30.0,20.0,0.9,-0.060971235792495866,2.765560152818795,0.5237068965517241,0.5570141211445558,0.5797106505096106,0.026573320999887073,0.026573896408081055,2529.0,2384.0,5.058,4.768,5.518,5.236
25,1000,30.0,30.0,,,,,,,,,,,,,,
26,1000,30.0,30.0,0.225,0.02078223224126099,9.959860787177234,0.5434782608695652,0.5493493457272587,0.543780555941636,0.05904654499954631,0.05904746055603027,2560.0,2503.0,5.12,5.006,8.9,8.954
27,1000,30.0,30.0,0.45,-0.017096386123597006,6.314677982333047,0.5441978901418698,0.5653070298481392,0.5470551782794691,0.027395720999265905,0.027396678924560547,2560.0,2503.0,5.12,5.006,7.878,7.746
28,1000,30.0,30.0,0.675,-0.03560431474398878,4.179500772630446,0.5587167070217918,0.5793841954343147,0.5676566332410509,0.02593641400017077,0.02593684196472168,2560.0,2503.0,5.12,5.006,6.748,6.682
29,1000,30.0,30.0,0.9,-0.034443114515628245,2.7630679460973386,0.5477582846003899,0.5884024927800577,0.6013942188468272,0.023811863000446465,0.023812055587768555,2560.0,2503.0,5.12,5.006,5.63,5.522
30,1000,40.0,10.0,,,,,,,,,,,,,,
31,1000,40.0,10.0,0.225,-0.048796459879753715,10.020025903455725,0.5145797598627787,0.497731622493376,0.5406381218481575,0.02602978599952621,0.026030778884887695,2515.0,2030.0,5.03,4.06,8.178,7.908
32,1000,40.0,10.0,0.45,-0.14627521928205026,6.520310101350785,0.5032102728731942,0.4849911106344114,0.5401374789162081,0.0242349740001373,0.02423548698425293,2515.0,2030.0,5.03,4.06,7.284,6.79
33,1000,40.0,10.0,0.675,-0.2038078553520832,4.1121019305690645,0.48877146631439894,0.4864646094937778,0.5665494184107889,0.024682340000254044,0.02468276023864746,2515.0,2030.0,5.03,4.06,6.406,5.712
34,1000,40.0,10.0,0.9,-0.18936914526576606,2.708183483548637,0.477124183006536,0.45555023923444976,0.5294868245793931,0.023132923999583,0.023133516311645508,2515.0,2030.0,5.03,4.06,5.448,4.56
35,1000,40.0,20.0,,,,,,,,,,,,,,
36,1000,40.0,20.0,0.225,0.01781897602348257,9.952138467840552,0.5274350223155684,0.531924628035645,0.5379939483685807,0.027206306999687513,0.027206897735595703,2541.0,2353.0,5.082,4.706,8.744,8.662
37,1000,40.0,20.0,0.45,-0.047957156979358956,6.514459259665489,0.523399475851741,0.5240096772926033,0.5343535089677399,0.026102845000423258,0.02610325813293457,2541.0,2353.0,5.082,4.706,7.662,7.468
38,1000,40.0,20.0,0.675,-0.043161844919095124,4.382597628767389,0.5152253349573691,0.5312533578481118,0.5801855828113949,0.02493591400070727,0.024936437606811523,2541.0,2353.0,5.082,4.706,6.598,6.474
39,1000,40.0,20.0,0.9,-0.08046319040392741,2.8721472753638633,0.5290322580645161,0.538144844941159,0.5787059584904574,0.025362020000102348,0.025362491607666016,2541.0,2353.0,5.082,4.706,5.54,5.178
40,1000,40.0,30.0,,,,,,,,,,,,,,
41,1000,40.0,30.0,0.225,0.03285091007217675,10.590503440427044,0.5439266615737204,0.5527501297353399,0.5473360943274763,0.02724166400003014,0.027242422103881836,2563.0,2486.0,5.126,4.972,8.98,8.972
42,1000,40.0,30.0,0.45,-0.003283408090090842,6.2586371134659045,0.5504418262150221,0.5644167448568251,0.5595305736615137,0.026486472000215144,0.026486873626708984,2563.0,2486.0,5.126,4.972,7.742,7.788
43,1000,40.0,30.0,0.675,-0.06766373954324975,4.2587499285267265,0.5567698846387371,0.5733426800472254,0.5394308172125097,0.026074742999298905,0.026075124740600586,2563.0,2486.0,5.126,4.972,6.82,6.572
44,1000,40.0,30.0,0.9,-0.01410192533161555,2.8146163665452097,0.5316698656429942,0.5771604938271605,0.6353449237292981,0.025737953000316338,0.025738239288330078,2563.0,2486.0,5.126,4.972,5.612,5.528
45,1000,40.0,40.0,,,,,,,,,,,,,,
46,1000,40.0,40.0,0.225,-0.06804509710819698,10.291976178223926,0.5440767870674412,0.5541788612656654,0.5390431123054562,0.028133819999311527,0.028134584426879883,2573.0,2489.0,5.146,4.978,9.052,8.99
47,1000,40.0,40.0,0.45,0.019943569007496817,6.575704547245105,0.5600290170475154,0.5680012009228144,0.5668389311645727,0.026692165999520512,0.026692628860473633,2573.0,2489.0,5.146,4.978,7.82,7.818
48,1000,40.0,40.0,0.675,-0.05610346824949254,4.168122004920789,0.5574603174603174,0.5857755395590645,0.5744568883553907,0.025389782000274863,0.0253903865814209,2573.0,2489.0,5.146,4.978,6.712,6.562
49,1000,40.0,40.0,0.9,-0.036174722902710336,2.925522774767629,0.5272373540856031,0.5644997190712648,0.5494443766167689,0.025398139000571973,0.025398731231689453,2573.0,2489.0,5.146,4.978,5.688,5.464
50,1000,50.0,10.0,,,,,,,,,,,,,,
51,1000,50.0,10.0,0.225,0.026080393319268275,9.89236543490762,0.4973141080011309,0.4867514533243485,0.5316868170868325,0.025233380999452493,0.025234222412109375,2481.0,2085.0,4.962,4.17,8.176,8.03
