_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
38,drosophila,1,2,0.85,0.9558899844317592,0.9106103397723353,4.81598596103745,-0.17443136571164705
39,drosophila,1,2,0.95,0.9492583918813428,0.9133230452674896,4.945860127699662,-0.12868356636443626
40,drosophila,1,3,0.05,0.8216274623888289,0.7558245971671604,0.7611636899930203,-1.0214517150645852
41,drosophila,1,3,0.15,0.8769459547376737,0.7613624038684366,3.1881979602298736,-1.1135251371400419
42,drosophila,1,3,0.25,0.8907687427302527,0.7182124152762487,3.24976179467452,-0.9183243294983522
43,drosophila,1,3,0.35,0.8927720413026211,0.721511913229403,4.654750527657025,-0.7186089616313297
44,drosophila,1,3,0.44999999999999996,0.8864380869185412,0.7231748072500741,4.788080623436937,-0.5690521527072386
45,drosophila,1,3,0.5499999999999999,0.8897078178468018,0.7561449684366877,4.025555435572336,-0.4287115002822158
46,drosophila,1,3,0.65,0.9285552536231884,0.7961988529801931,4.355861459675493,-0.32507336941020015
47,drosophila,1,3,0.75,0.9585023400936038,0.8188330855383453,4.51194681669534,-0.24268112967215574
48,drosophila,1,3,0.85,0.9636269160820993,0.8728494915219221,4.681829967377146,-0.18738801153202697
49,drosophila,1,3,0.95,0.9548238897396631,0.9403008339178552,5.00767703026977,-0.141532658871743
50,drosophila,2,3,0.05,0.5973214285714286,0.605418384062566,0.5743310874628893,-0.6569374485834083
51,drosophila,2,3,0.15,0.5732997481108313,0.6130002018893479,-0.23219638337694126,-0.8186504700332086
52,drosophila,2,3,0.25,0.6046910755148741,0.6167677930820674,0.9106006191725603,-0.7602043223889559
53,drosophila,2,3,0.35,0.580368906455863,0.604662563515351,0.6771374409496339,-0.4451781523018497
54,drosophila,2,3,0.44999999999999996,0.5740181268882175,0.5867155021139782,0.6714896452114886,-0.5161092767813723
55,drosophila,2,3,0.5499999999999999,0.6127221702525725,0.6344072072072071,0.6912892585762899,-0.3616387918291902
56,drosophila,2,3,0.65,0.6070991432068543,0.6317041361321576,0.6734904546689299,-0.2964903370754896
57,drosophila,2,3,0.75,0.5806988352745425,0.6012506068101435,0.42764080155454953,-0.238305690595246
58,drosophila,2,3,0.85,0.546583850931677,0.5641661004756005,0.8177980368030131,-0.21480710376988282
59,drosophila,2,3,0.95,0.6333333333333333,0.7081930415263749,0.824153002178593,-0.17020767524654062
