,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
41,1000,40.0,30.0,0.225,0.0,10.589123387172124,0.5486352357320099,0.5601524459966829,0.5565310616146112,0.02836132699940208,0.028362035751342773,2689.0,2482.0,5.378,4.964,9.244,9.158
42,1000,40.0,30.0,0.45,0.0,6.47686028351568,0.557935393258427,0.5826561860773979,0.5951994469127979,0.027220152000154485,0.027220487594604492,2689.0,2482.0,5.378,4.964,8.102,7.936
43,1000,40.0,30.0,0.675,0.0,4.1910476249485145,0.5902819436112777,0.6143054038591562,0.6346341002262011,0.026239669999995385,0.02624034881591797,2689.0,2482.0,5.378,4.964,6.944,6.732
44,1000,40.0,30.0,0.9,0.0,2.9071401770391523,0.5737704918032787,0.6024704618689581,0.654991568153036,0.025759944999663276,0.025760173797607422,2689.0,2482.0,5.378,4.964,5.868,5.572
45,1000,40.0,40.0,,,,,,,,,,,,,,
46,1000,40.0,40.0,0.225,0.0,10.295156921689959,0.5316616008105369,0.5445300460269169,0.5509725110275656,0.030467642000076012,0.030468463897705078,2567.0,2451.0,5.134,4.902,8.92,9.012
47,1000,40.0,40.0,0.45,0.0,6.383381572991973,0.5421469740634006,0.5593649755520259,0.5533141661247147,0.0316644289996475,0.03166556358337402,2567.0,2451.0,5.134,4.902,7.914,7.674
48,1000,40.0,40.0,0.675,0.0,4.254466165728721,0.5332091868404718,0.5569619765416686,0.5690921129067359,0.027885897000487603,0.02788686752319336,2567.0,2451.0,5.134,4.902,6.754,6.504
49,1000,40.0,40.0,0.9,0.0,2.88124911828568,0.57,0.6000640256102441,0.6051196706237608,0.025512021999929857,0.0255126953125,2567.0,2451.0,5.134,4.902,5.624,5.412
50,1000,50.0,10.0,,,,,,,,,,,,,,
51,1000,50.0,10.0,0.225,0.0,9.765304233367745,0.530273707492397,0.5101519469427596,0.5668150250840699,0.0269714579999345,0.026972293853759766,2664.0,2064.0,5.328,4.128,8.464,8.226
