,walk_length,d_G,d_H,edge,ground_truth,classification,correct,inverse,negexp
238,5,3.6221778,3.7710712,"(225, 131)",0,1,False,0.5100695,0.5371547
239,5,4.308092,3.5048969,"(71, 3)",0,0,True,0.44859874,0.30934244
240,5,3.1091814,4.188182,"(81, 3)",0,1,False,0.57393086,0.7463048
241,5,4.5391498,3.474119,"(112, 3)",0,0,True,0.43354583,0.2563492
242,5,4.0804043,3.9094381,"(3, 188)",0,0,True,0.48930103,0.45736226
243,5,4.2148848,3.492,"(88, 71)",0,0,True,0.4531014,0.3267581
244,5,4.520959,4.4455447,"(115, 71)",0,0,True,0.49579468,0.4811554
245,5,4.675986,4.020283,"(71, 152)",0,0,True,0.4622998,0.34170562
246,5,3.3360355,3.4369254,"(24, 81)",0,1,False,0.507448,0.5252011
247,5,3.2509484,4.203594,"(70, 81)",0,1,False,0.563897,0.7216469
248,5,3.5438528,3.935366,"(83, 24)",0,1,False,0.5261734,0.59664685
249,5,4.759472,4.464001,"(83, 61)",0,0,True,0.48398268,0.42666507
250,5,4.5145097,4.351508,"(83, 198)",0,0,True,0.4908075,0.4593396
251,5,3.0285547,1.5533122,"(212, 83)",0,0,True,0.33901295,0.18614706
252,5,3.5495465,3.700731,"(134, 124)",0,1,False,0.5104261,0.5377243
253,5,3.2929475,3.5705273,"(188, 124)",0,1,False,0.52022153,0.56895274
254,5,3.5285778,3.8242714,"(224, 130)",0,1,False,0.5201074,0.5733895
255,5,5.1677966,4.5453644,"(4, 175)",0,0,True,0.4679593,0.34922847
256,5,5.073477,4.1506696,"(60, 175)",0,0,True,0.44997874,0.28438628
257,5,4.1933136,4.3834305,"(111, 175)",0,1,False,0.51108325,0.5473865
258,5,4.4380345,3.996759,"(175, 158)",0,0,True,0.47384194,0.39143702
259,5,4.9269357,4.677693,"(182, 175)",0,0,True,0.48702487,0.43800986
260,5,3.710036,3.7873273,"(233, 175)",0,1,False,0.50515455,0.5193132
261,5,4.1713047,4.036954,"(182, 176)",0,0,True,0.4918161,0.46646273
262,5,3.4505026,2.913269,"(176, 234)",0,0,True,0.4577897,0.36883137
263,5,2.512117,1.707267,"(188, 119)",0,0,True,0.4046247,0.30898908
264,5,3.6875145,3.4135485,"(125, 188)",0,0,True,0.4807095,0.43193367
265,5,4.20735,4.077423,"(131, 188)",0,0,True,0.4921587,0.4675639
266,5,4.2926397,3.9601185,"(188, 167)",0,0,True,0.47985393,0.4176273
267,5,3.6789052,3.5465744,"(188, 187)",0,0,True,0.49084273,0.46696544
268,5,3.485481,4.056651,"(198, 11)",0,1,False,0.53786534,0.63903314
269,5,3.9120276,4.1376743,"(198, 189)",0,1,False,0.51401585,0.5561735
270,5,4.156852,4.134418,"(221, 198)",0,0,True,0.49864715,0.49439186
271,5,2.692262,3.0014021,"(27, 4)",0,1,False,0.52714777,0.5766754
272,5,4.6237507,4.568318,"(54, 4)",0,0,True,0.49698475,0.48614538
