_UID,system,l1,l2,theta,accuracy,auroc,coef,intercept
31,london,1,2,0.35000000000000003,0.8174273858921162,0.3642131979695431,-0.5029858438727032,1.418916181223432
32,london,1,2,0.35000000000000003,0.8076923076923077,0.3241622574955908,-1.1258994801798823,2.110009742976801
33,london,1,2,0.35000000000000003,0.796078431372549,0.28173550587343693,-0.8991228445996562,0.9392825937350081
34,london,1,2,0.35000000000000003,0.8068669527896996,0.2976359338061466,-0.9741137931749307,1.4820551961246284
35,london,1,2,0.4,0.8401826484018264,0.2874223602484472,-1.2797155479225766,2.4976615599767924
36,london,1,2,0.4,0.8095238095238095,0.33082158483228,-0.97236213739175,1.402609558432244
37,london,1,2,0.4,0.7937219730941704,0.39548022598870064,-0.3303165430932128,1.3251442174144539
38,london,1,2,0.4,0.780373831775701,0.22257612434705057,-1.0025730713737455,1.3941405648114202
39,london,1,2,0.4,0.8067632850241546,0.2844311377245509,-1.3933935861878461,2.9248999687578605
40,london,1,2,0.45,0.8103448275862069,0.3554158607350097,-0.4844359881137565,1.1246346797947364
41,london,1,2,0.45,0.8029556650246306,0.3023006134969325,-1.3228304635657357,2.436717571084246
42,london,1,2,0.45,0.8292682926829268,0.23529411764705885,-1.0825271500736158,1.5529699967038297
43,london,1,2,0.45,0.8155339805825242,0.2416979949874687,-1.070586242377351,1.167347827129491
44,london,1,2,0.45,0.8,0.24641975308641978,-0.4786125535757131,0.973632091512879
45,london,1,2,0.5,0.8202247191011236,0.1622431506849315,-1.0966896008828089,1.1125567077264098
46,london,1,2,0.5,0.8202247191011236,0.21489726027397263,-1.1333227966748274,0.6568765185877097
47,london,1,2,0.5,0.8238341968911918,0.23344432112467628,-1.1237411919312392,1.3218035287436403
48,london,1,2,0.5,0.8527918781725888,0.23337438423645324,-1.4797500345199077,3.154230215664727
49,london,1,2,0.5,0.8277777777777777,0.1870534747780905,-1.1807963615513584,1.4501250013571743
50,london,1,3,0.05,0.8764705882352941,0.3568232662192394,-0.6560945396072552,0.990423630611526
51,london,1,3,0.05,0.8680351906158358,0.37575075075075076,-0.9408315251153885,3.524264250979157
52,london,1,3,0.05,0.8702064896755162,0.38767334360554695,-0.6636002776059309,2.1196341601568545
53,london,1,3,0.05,0.8731563421828908,0.3744500314267756,-0.799450068002309,2.244596220160827
54,london,1,3,0.05,0.8694362017804155,0.453381942289792,-1.146726893357303,4.11671982604988
55,london,1,3,0.1,0.8715596330275229,0.3318295739348371,-0.520453443887089,1.6608086260251766
56,london,1,3,0.1,0.8694267515923567,0.41302599839185206,-0.8075160650476483,2.049229538579557
57,london,1,3,0.1,0.8673139158576052,0.3171641791044776,-0.6341113630580795,2.0787626403012753
58,london,1,3,0.1,0.8683385579937304,0.3926422554581399,-1.34758496407502,4.632380041803033
59,london,1,3,0.1,0.8630573248407644,0.4688063159701365,-1.1790007773261206,3.802356670366942
60,london,1,3,0.15000000000000002,0.8585526315789473,0.3203243339570525,-1.3014872696858253,4.604476770315256
61,london,1,3,0.15000000000000002,0.8733333333333333,0.3372840498192045,-0.09827393566762234,1.7472687626614472
62,london,1,3,0.15000000000000002,0.8737541528239202,0.33269961977186313,-0.7386941329861341,1.20591280092847
63,london,1,3,0.15000000000000002,0.8651315789473685,0.2995455810071409,-0.8303206128066333,2.3233826350529707
64,london,1,3,0.15000000000000002,0.8787878787878788,0.2612813963388676,-0.869352822963721,1.8316912701274204
65,london,1,3,0.2,0.8680555555555556,0.3106315789473684,-0.9514028548865571,2.19280220439451
66,london,1,3,0.2,0.8607142857142858,0.4088732843919566,-0.9692378377949741,2.734769255962134
67,london,1,3,0.2,0.8767123287671232,0.2612847222222222,-1.4407979953074639,4.163309838809877
68,london,1,3,0.2,0.8686868686868687,0.35957066189624326,-0.63813184181175,1.3290252476442839
69,london,1,3,0.2,0.8634686346863468,0.4596904596904597,-0.867647013563705,1.7523600141323719
70,london,1,3,0.25,0.8619402985074627,0.3126243126243126,-0.7188370750101017,1.524284919222798
71,london,1,3,0.25,0.8518518518518519,0.27989130434782605,-0.6381502095152749,1.7366633921768215
72,london,1,3,0.25,0.8880597014925373,0.37366946778711485,-1.0529350650792242,2.1972389433094235
73,london,1,3,0.25,0.8690909090909091,0.25197582519758255,-1.0241550493063531,2.285249550781271
74,london,1,3,0.25,0.8666666666666667,0.3221747388414055,-1.1123345080947389,2.7796341747473896
75,london,1,3,0.3,0.8734693877551021,0.46427494724148327,-0.8399704035396071,1.0399134228294893
76,london,1,3,0.3,0.8577235772357723,0.376303317535545,-0.9971335154423127,1.9673727794935376
77,london,1,3,0.3,0.8921161825726142,0.34382826475849726,-0.965190973559026,1.80525114536968
78,london,1,3,0.3,0.8884120171673819,0.32608695652173914,-0.9831380074798917,1.2823455600596476
79,london,1,3,0.3,0.8728070175438597,0.3183157165136025,-0.9146612825465855,1.018618650617464
80,london,1,3,0.35000000000000003,0.8786610878661087,0.42118226600985226,-0.9283272065185562,1.3681125399602816
81,london,1,3,0.35000000000000003,0.88,0.2837635615413393,-1.5914644436024474,4.3480089629136645
82,london,1,3,0.35000000000000003,0.8584070796460177,0.45183634020618557,-0.9522155455847392,1.9354162139180773
83,london,1,3,0.35000000000000003,0.8974358974358975,0.27936507936507937,-0.5056949676047471,1.677818772957569
84,london,1,3,0.35000000000000003,0.8603603603603603,0.3539942577267354,-1.062023670918707,1.824099090431615
85,london,1,3,0.4,0.9009433962264151,0.3642483171278983,-1.2742584283264555,2.4703308659536214
