,theta,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
1439,0.18,0.6197522478689356,0.6413072488228042,"(12, 13)",1,1,True,0.5085463854046601,0.5053885416056011
1440,0.18,0.6650767925763115,0.6241509751895841,"(13, 14)",1,0,False,0.48412777850043986,0.4897699734886163
1441,0.18,0.5423690591534764,0.6832803534913691,"(14, 15)",1,1,True,0.5574843396831637,0.5351696488090368
1442,0.18,0.431864343031069,0.7114876672125279,"(16, 15)",1,1,True,0.622282255016932,0.5694538744258302
1443,0.18,0.682662369418678,0.7405978100472246,"(16, 17)",1,1,True,0.5203530743937091,0.514479810241663
1444,0.18,0.5891802250600814,0.6747404084255932,"(18, 17)",1,1,True,0.533847134503039,0.5213770064874247
1445,0.18,0.5750955204644069,0.6857022743924213,"(18, 19)",1,1,True,0.5438637957566282,0.5276235323672698
1446,0.18,0.6585563945949453,0.6760032056723511,"(19, 20)",1,1,True,0.5065365424945845,0.5043615921340514
1447,0.18,0.6393713562124091,0.7138309667577758,"(20, 21)",1,1,True,0.5275123716836123,0.5186063069545649
1448,0.18,0.6138410856507819,0.5808699221060292,"(21, 22)",1,0,False,0.4862011970549014,0.4917579557591776
1449,0.18,0.6357646391057404,0.6515332548029855,"(22, 23)",1,1,True,0.5061246956791662,0.5039420722418773
1450,0.18,0.649520384985966,0.6656007645113613,"(24, 23)",1,1,True,0.5061136495035236,0.5040200082577113
1451,0.18,0.5927298010011024,0.6512839430811018,"(24, 25)",1,1,True,0.5235343630078616,0.5146343544951031
1452,0.18,0.6633234123603678,0.6276120937887002,"(25, 26)",1,0,False,0.48616843428600226,0.49107311903990924
1453,0.18,0.6698984823787838,0.6731878904707541,"(27, 26)",1,1,True,0.5012245705706146,0.5008223512814919
1454,0.18,0.6231470225559423,0.6449485919554598,"(28, 27)",1,1,True,0.5085961851575039,0.505450176475355
1455,0.18,0.6151825100624364,0.5713056612244878,"(29, 28)",1,0,False,0.48150978244041087,0.4890325472588289
1456,0.18,0.5786217575647682,0.5702505553050952,"(30, 31)",1,0,False,0.49635677430559627,0.4979072116564329
1457,0.18,0.6594970155318268,0.661482935311804,"(31, 32)",1,1,True,0.5007516843002457,0.500496479781823
1458,0.18,0.6151930267224871,0.5539585967533295,"(32, 33)",1,0,False,0.4738124513794407,0.48469617421498973
1459,0.18,0.6383063081000895,0.648752461174619,"(33, 34)",1,1,True,0.5040581492173882,0.5026115145208434
1460,0.18,0.6083913972246265,0.6462732457290293,"(35, 34)",1,1,True,0.5150964039343707,0.5094693297519857
1461,0.18,0.6836168529584215,0.6442118797695378,"(36, 35)",1,0,False,0.48516187659686805,0.4901500312162846
1462,0.18,0.6892373148962346,0.6599676146762486,"(37, 38)",1,0,False,0.48915298203466373,0.49268309731278265
1463,0.18,0.6047691635724336,0.6133228851040611,"(38, 39)",1,1,True,0.5035111145914307,0.5021384173446087
1464,0.18,0.5921632210348616,0.5917125353707956,"(39, 40)",1,0,False,0.49980965668836974,0.4998873285858905
1465,0.18,0.6355214471382581,0.6946800066344891,"(40, 41)",1,1,True,0.5222366917914741,0.5147853280645126
1466,0.18,0.4900421573667864,0.6650124786471352,"(43, 44)",1,1,True,0.5757411449748252,0.5436313240658556
1467,0.18,0.6458680147037343,0.6900999398724733,"(45, 44)",1,1,True,0.5165542612819519,0.5110561787670489
1468,0.18,0.48610417918003485,0.6249356814601795,"(46, 47)",1,1,True,0.5624781824659945,0.5346522356381589
1469,0.18,0.6596012915954541,0.7092045527375409,"(49, 48)",1,1,True,0.5181191734925189,0.5123982732441854
1470,0.18,0.7132489524600442,0.7185887365133838,"(49, 50)",1,1,True,0.5018646610905906,0.5013349428413684
1471,0.18,0.5332775634685901,0.6584943204706785,"(50, 51)",1,1,True,0.5525338610054293,0.5312633511321795
1472,0.18,0.692080560999683,0.6671388780469564,"(51, 52)",1,0,False,0.4908249977022765,0.49376490248984417
1473,0.18,0.5900671350221195,0.5870511682865069,"(52, 53)",1,0,False,0.4987189194462718,0.4992460088876255
1474,0.18,0.5982976597810178,0.6324048236839552,"(54, 55)",1,1,True,0.5138567868193906,0.5085259644715266
1475,0.18,0.5993279509609769,0.6578398001753636,"(55, 56)",1,1,True,0.5232712973910993,0.5146237903297862
1476,0.18,0.6772188997119997,0.5872012145643929,"(57, 56)",1,0,False,0.46440356961613094,0.477510762864086
1477,0.18,0.6537117866771193,0.5944666719657282,"(59, 60)",1,0,False,0.4762673701420033,0.4851930520808617
1478,0.18,0.6823021363701506,0.5785546509961531,"(61, 62)",1,0,False,0.4588583388638821,0.474086368023941
1479,0.18,0.7000683645797046,0.7259610380512433,"(62, 63)",1,1,True,0.5090785903235123,0.5064728067413158
1480,0.18,0.6240712281133667,0.6474342031704119,"(63, 64)",1,1,True,0.5091871314436529,0.5058404781083439
1481,0.18,0.5757752030703903,0.5970449475260181,"(65, 64)",1,1,True,0.5090677775466305,0.5053172356547351
1482,0.18,0.6609708454068727,0.6706190905782469,"(66, 65)",1,1,True,0.5036228289620694,0.5024120425817267
1483,0.18,0.5612656868874465,0.6491734597904597,"(67, 66)",1,1,True,0.5363123471114923,0.5219628014119463
1484,0.18,0.6303254226557783,0.6654559966260628,"(68, 67)",1,1,True,0.513555748464797,0.5087817403404556
1485,0.18,0.7109697635974647,0.7595735578671678,"(69, 68)",1,1,True,0.5165257947726745,0.512148557087707
1486,0.18,0.6154668073770568,0.6291532822417726,"(69, 70)",1,1,True,0.5054982540370642,0.5034215653058269
1487,0.18,0.7165487679821904,0.6788743150063652,"(71, 70)",1,0,False,0.48650070597401246,0.4905825006349774
1488,0.18,0.5895787392024268,0.6248121146925324,"(71, 72)",1,1,True,0.5145066044334493,0.5088074327692471
1489,0.18,0.6747201512039803,0.600403233160369,"(74, 73)",1,0,False,0.4708589306121704,0.48142931686601215
1490,0.18,0.6669511816228573,0.6537526343366444,"(75, 74)",1,0,False,0.4950032145259518,0.4967004110777941
1491,0.18,0.6372578670746396,0.6159129077069473,"(75, 76)",1,0,False,0.4914836190736205,0.4946639627513279
1492,0.18,0.49755764030906796,0.5900934059103177,"(79, 78)",1,1,True,0.5425392711765868,0.5231174477830539
1493,0.18,0.6051980542155495,0.7143681687489598,"(80, 79)",1,1,True,0.5413659097336362,0.5272654546112671
1494,0.18,0.651165145211255,0.5721196681434829,"(80, 81)",1,0,False,0.4676913028736956,0.48024891370305794
1495,0.18,0.5250333354161858,0.6988374256757397,"(82, 81)",1,1,True,0.5710059002081591,0.5433419717651683
1496,0.18,0.5258693304385246,0.6331670227306644,"(83, 82)",1,1,True,0.5462874576792834,0.5267987173273189
1497,0.18,0.6185542443621788,0.6303670817281577,"(84, 83)",1,1,True,0.5047292159718972,0.5029531750003018
1498,0.18,0.726161839098103,0.6519811401705602,"(86, 85)",1,0,False,0.4730867188515854,0.4814633247530822
1499,0.18,0.5500132674384809,0.6093147969593531,"(86, 87)",1,1,True,0.525575819020509,0.5148210392410292
1500,0.18,0.6409517922253487,0.6249710078673313,"(87, 88)",1,0,False,0.4936880888957654,0.4960048889345764
1501,0.18,0.7186104650449365,0.508111807088791,"(89, 88)",1,0,False,0.4142028058274308,0.44756879354195145
1502,0.18,0.6070732123756365,0.6482921574163437,"(91, 90)",1,1,True,0.5164171109194837,0.5103032775278781
1503,0.18,0.6675605200700344,0.68615615887445,"(91, 92)",1,1,True,0.5068683643681317,0.504648775740514
1504,0.18,0.6504475436719516,0.5771708360085018,"(93, 92)",1,0,False,0.47015493215305093,0.4816890157167098
1505,0.18,0.42835004246380204,0.6498621195358355,"(95, 94)",1,1,True,0.6027219339935936,0.5551526859836254
1506,0.18,0.5940100414385917,0.6699651991610113,"(95, 96)",1,1,True,0.5300461414443483,0.5189796655394905
1507,0.18,0.4754123177184725,0.5964611951190743,"(96, 97)",1,1,True,0.5564660269849153,0.5302253211507355
