,theta,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
97,0.02,"(68, 48)",True,d_G,0.631898862231948,0,inverse,0.4992854039995548
98,0.02,"(68, 75)",True,d_G,0.668168520744833,0,inverse,0.49581794367458115
99,0.02,"(48, 36)",False,d_G,0.6748719844917419,0,inverse,0.5029040641759944
100,0.02,"(36, 73)",True,d_G,0.664110037545432,0,inverse,0.4967461612896693
101,0.02,"(73, 69)",True,d_G,0.7326264151163953,0,inverse,0.49879044240265935
102,0.02,"(38, 69)",False,d_G,0.5968339098159249,0,inverse,0.5148540619924397
103,0.02,"(38, 32)",False,d_G,0.6307541687626144,0,inverse,0.5037959299529021
104,0.02,"(26, 32)",True,d_G,0.6623121186826108,0,inverse,0.49852924447610514
105,0.02,"(26, 13)",False,d_G,0.6295552062981223,0,inverse,0.5058936273961168
106,0.02,"(55, 13)",True,d_G,0.6968262038120884,0,inverse,0.4948843789008081
107,0.02,"(47, 55)",True,d_G,0.6042130801452632,0,inverse,0.4974904774276125
108,0.02,"(50, 47)",True,d_G,0.6844982267630784,0,inverse,0.4959298484473355
109,0.02,"(35, 50)",False,d_G,0.6525966199102906,0,inverse,0.5065695231575181
110,0.02,"(83, 35)",True,d_G,0.6129798290052659,0,inverse,0.4775790618032134
111,0.02,"(83, 87)",True,d_G,0.6869637632137642,0,inverse,0.4805961495755521
112,0.02,"(91, 87)",False,d_G,0.6314484347183715,0,inverse,0.5000787815088906
113,0.02,"(12, 91)",False,d_G,0.6429799367856521,0,inverse,0.5046206214433829
114,0.02,"(12, 20)",True,d_G,0.6343147145005146,0,inverse,0.4932306852154043
115,0.02,"(20, 72)",False,d_G,0.6215224224518806,0,inverse,0.5099666390969186
116,0.02,"(43, 72)",False,d_G,0.6138483433061176,0,inverse,0.5105705082151978
117,0.02,"(43, 25)",True,d_G,0.6361539157110885,0,inverse,0.49664209320839814
118,0.02,"(65, 25)",True,d_G,0.7118187828124644,0,inverse,0.4890283474918742
119,0.02,"(60, 65)",False,d_G,0.6055343886966627,0,inverse,0.515233064467477
120,0.02,"(67, 53)",False,d_G,0.5451831047900926,0,inverse,0.5199701579658801
121,0.02,"(53, 14)",False,d_G,0.6840806895005009,0,inverse,0.5151209413902739
122,0.02,"(14, 3)",True,d_G,0.6167454588603244,0,inverse,0.4928996959334318
123,0.02,"(3, 30)",True,d_G,0.6592405850657508,0,inverse,0.47961234696802973
124,0.02,"(24, 30)",False,d_G,0.6472066535724601,0,inverse,0.5073122694629865
125,0.02,"(97, 24)",False,d_G,0.6666910298885541,0,inverse,0.504216745296085
126,0.02,"(15, 97)",False,d_G,0.6156051334006438,0,inverse,0.506564477550256
127,0.02,"(90, 15)",True,d_G,0.7277552392178103,0,inverse,0.49775925169168034
128,0.02,"(94, 90)",True,d_G,0.6985652844678992,0,inverse,0.4939055501066089
129,0.02,"(94, 64)",False,d_G,0.6760704196163636,0,inverse,0.5002539777843129
130,0.02,"(64, 16)",False,d_G,0.7185718071559081,0,inverse,0.5044031229953462
131,0.02,"(16, 93)",False,d_G,0.6547901459881368,0,inverse,0.5069126284158175
132,0.02,"(95, 93)",True,d_G,0.5908971504101136,0,inverse,0.4700194524527792
133,0.02,"(31, 95)",False,d_G,0.6776219290404166,0,inverse,0.5000950971024626
134,0.02,"(31, 56)",True,d_G,0.6836372604067209,0,inverse,0.48836562604138434
135,0.02,"(7, 56)",True,d_G,0.6551340912970512,0,inverse,0.4598849183579802
136,0.02,"(7, 82)",True,d_G,0.7486250432384725,0,inverse,0.45059057614492304
137,0.02,"(79, 82)",True,d_G,0.6313298075032618,0,inverse,0.49521590600182175
138,0.02,"(79, 92)",False,d_G,0.5969531939228659,0,inverse,0.5010515899150534
139,0.02,"(74, 92)",True,d_G,0.6481060533469384,0,inverse,0.4932525614909319
140,0.02,"(74, 22)",False,d_G,0.6335452458071116,0,inverse,0.5118679904206853
141,0.02,"(0, 22)",True,d_G,0.5694219744179708,0,inverse,0.49833030510077686
142,0.02,"(70, 0)",False,d_G,0.6081963539056929,0,inverse,0.520095019883991
143,0.02,"(81, 70)",True,d_G,0.5746359706923144,0,inverse,0.4881240678558246
144,0.02,"(81, 29)",True,d_G,0.6178043440162355,0,inverse,0.4976925720191661
145,0.02,"(29, 11)",False,d_G,0.6367604440639482,0,inverse,0.5010233929238138
146,0.02,"(57, 11)",False,d_G,0.6280494044671219,0,inverse,0.5015672759392134
147,0.02,"(59, 57)",True,d_G,0.5482114528494196,0,inverse,0.49904785003152696
148,0.02,"(51, 59)",False,d_G,0.6126304170181484,0,inverse,0.5007553504204016
149,0.02,"(51, 40)",False,d_G,0.7220675166681402,0,inverse,0.5093936914658896
150,0.02,"(71, 40)",False,d_G,0.604800820456693,0,inverse,0.5112104941866665
151,0.02,"(1, 71)",False,d_G,0.6898188103175029,0,inverse,0.5061848975750631
152,0.02,"(1, 19)",False,d_G,0.6535824352383204,0,inverse,0.5138016489413317
153,0.02,"(19, 52)",False,d_G,0.5960676908878938,0,inverse,0.5145081167013398
154,0.02,"(39, 52)",True,d_G,0.623996467090519,0,inverse,0.4975847360935607
155,0.02,"(39, 4)",False,d_G,0.5809301683356416,0,inverse,0.5293378528747906
156,0.02,"(4, 37)",False,d_G,0.646978994216406,0,inverse,0.5082054291370165
157,0.02,"(37, 77)",False,d_G,0.617569440505906,0,inverse,0.5028088216610263
158,0.02,"(77, 63)",True,d_G,0.7151990623004699,0,inverse,0.4820524154109931
159,0.02,"(33, 63)",True,d_G,0.6447300134272255,0,inverse,0.48883785647770983
160,0.02,"(33, 28)",False,d_G,0.6628899414820907,0,inverse,0.5097725861876724
161,0.02,"(61, 28)",False,d_G,0.6781228275951383,0,inverse,0.5019591004302598
162,0.02,"(34, 61)",True,d_G,0.6995164112226288,0,inverse,0.49264000009443837
163,0.02,"(23, 34)",True,d_G,0.5636597880610962,0,inverse,0.4985569186231664
164,0.02,"(10, 23)",True,d_G,0.6731141536269398,0,inverse,0.4866856087839364
165,0.02,"(44, 10)",False,d_G,0.6240473910492029,0,inverse,0.5075052303729646
166,0.02,"(42, 44)",False,d_G,0.5443180574080438,0,inverse,0.508533369283138
167,0.02,"(42, 54)",False,d_G,0.6324840768932322,0,inverse,0.5227740446430742
168,0.02,"(80, 54)",False,d_G,0.5651573317859243,0,inverse,0.510202770369663
169,0.02,"(6, 80)",True,d_G,0.677396601594478,0,inverse,0.45952444531925424
170,0.02,"(78, 6)",True,d_G,0.6781782171256088,0,inverse,0.47407236945395337
171,0.02,"(78, 66)",True,d_G,0.6344553659183042,0,inverse,0.49360071956488283
172,0.02,"(27, 66)",False,d_G,0.6442140680320669,0,inverse,0.5116726796816611
173,0.02,"(85, 27)",False,d_G,0.6098468298409455,0,inverse,0.5012264003281812
174,0.02,"(85, 41)",False,d_G,0.5831830852998408,0,inverse,0.5224888011841944
175,0.02,"(49, 41)",False,d_G,0.6224998266306035,0,inverse,0.5107354282076719
176,0.02,"(49, 99)",False,d_G,0.554714357909296,0,inverse,0.5013744697017934
177,0.02,"(99, 96)",True,d_G,0.663841232463181,0,inverse,0.4906871050815056
178,0.02,"(8, 96)",True,d_G,0.6332253568303271,0,inverse,0.4877853457296625
179,0.02,"(2, 8)",True,d_G,0.6110074524017941,0,inverse,0.48259963510932685
180,0.02,"(2, 18)",True,d_G,0.6934251799919288,0,inverse,0.4693276793267989
181,0.02,"(18, 9)",True,d_G,0.6524360712688383,0,inverse,0.49215481298944275
182,0.02,"(21, 9)",True,d_G,0.6524218429623547,0,inverse,0.49580894165876277
183,0.02,"(21, 46)",False,d_G,0.6621655645356489,0,inverse,0.5025434292677505
184,0.02,"(46, 58)",True,d_G,0.6489641282722095,0,inverse,0.49858537103234235
185,0.02,"(58, 17)",False,d_G,0.6203125938094785,0,inverse,0.522806570361346
186,0.02,"(45, 76)",False,d_G,0.6286903405961214,0,inverse,0.5106995954417961
187,0.02,"(45, 89)",True,d_G,0.691956753944281,0,inverse,0.49546739736468876
188,0.02,"(84, 89)",True,d_G,0.5579173725463138,0,inverse,0.49866740677933125
189,0.02,"(84, 88)",True,d_G,0.5953257532516528,0,inverse,0.48408063627917947
190,0.02,"(98, 88)",False,d_G,0.6307038270469304,0,inverse,0.5051753929154268
191,0.02,"(86, 98)",False,d_G,0.6209361223984309,0,inverse,0.510508100333207
192,0.02,"(86, 62)",True,d_G,0.7039346650326691,0,inverse,0.4712825746179929
193,0.02,"(62, 5)",False,d_G,0.6414225621547539,0,inverse,0.5039236141436602
194,0.02,"(75, 5)",True,d_G,0.6727386837508379,0,inverse,0.49303072147589777
195,0.04,"(0, 1)",False,d_G,0.6701392118523425,1,inverse,0.46823721021478415
196,0.04,"(0, 99)",True,d_G,0.6155988362183784,0,inverse,0.47985191183306025
197,0.04,"(2, 3)",False,d_G,0.611392153128396,1,inverse,0.45744260780879653
198,0.04,"(4, 3)",True,d_G,0.6466771306123941,1,inverse,0.5067902371875023
199,0.04,"(5, 4)",False,d_G,0.626968349798254,1,inverse,0.4998875163027306
200,0.04,"(5, 6)",True,d_G,0.6679914988003195,1,inverse,0.518242921805672
201,0.04,"(6, 7)",True,d_G,0.6611755180310033,1,inverse,0.5085029698147003
202,0.04,"(7, 8)",True,d_G,0.6215307175155079,1,inverse,0.5036093536658003
203,0.04,"(9, 8)",False,d_G,0.7061912930711832,1,inverse,0.4886986445215993
204,0.04,"(10, 9)",False,d_G,0.680710535348222,1,inverse,0.4713421486244271
205,0.04,"(11, 10)",False,d_G,0.5890569100568046,1,inverse,0.4952210888427388
206,0.04,"(12, 11)",False,d_G,0.6263881638602576,1,inverse,0.48562333207709957
207,0.04,"(12, 13)",False,d_G,0.658898612265676,1,inverse,0.4901944046182275
208,0.04,"(13, 14)",False,d_G,0.6225015484850689,1,inverse,0.4993088136232496
209,0.04,"(14, 15)",True,d_G,0.6832517497745401,1,inverse,0.5073091390808525
210,0.04,"(16, 15)",False,d_G,0.6885598124419572,1,inverse,0.496601463270607
211,0.04,"(16, 17)",True,d_G,0.6318304078157874,1,inverse,0.5040133344936587
212,0.04,"(18, 17)",False,d_G,0.6073190830545107,1,inverse,0.4955593044435187
213,0.04,"(18, 19)",True,d_G,0.6337792378538558,1,inverse,0.5155173045227535
214,0.04,"(19, 20)",True,d_G,0.7070947433176764,1,inverse,0.5049920571526537
215,0.04,"(20, 21)",False,d_G,0.6859220956826473,1,inverse,0.4830696461293094
216,0.04,"(21, 22)",True,d_G,0.6411356739781037,1,inverse,0.5046204355040678
217,0.04,"(22, 23)",False,d_G,0.694685191581315,1,inverse,0.4873986478826134
218,0.04,"(24, 23)",False,d_G,0.6572836954156295,1,inverse,0.48464311392222575
219,0.04,"(24, 25)",False,d_G,0.5908685241641518,1,inverse,0.4937070917183681
220,0.04,"(25, 26)",True,d_G,0.5761947402794804,1,inverse,0.5003626125539825
221,0.04,"(27, 26)",False,d_G,0.6818438937207404,1,inverse,0.494000923746229
222,0.04,"(28, 27)",False,d_G,0.6539006308914217,1,inverse,0.48608605635603963
223,0.04,"(29, 28)",True,d_G,0.5857749657859944,1,inverse,0.5058769718605204
224,0.04,"(30, 29)",True,d_G,0.6200391342147035,1,inverse,0.5094004392447358
225,0.04,"(30, 31)",False,d_G,0.619511985964035,1,inverse,0.4933387276579003
226,0.04,"(31, 32)",False,d_G,0.6363872238964502,1,inverse,0.49064317588972384
227,0.04,"(32, 33)",False,d_G,0.7057107034521665,1,inverse,0.47512754418349584
228,0.04,"(33, 34)",True,d_G,0.5633983885258067,1,inverse,0.5317504090433063
229,0.04,"(35, 34)",True,d_G,0.6144251701334652,1,inverse,0.5129985946205997
230,0.04,"(36, 35)",False,d_G,0.7130096324790761,1,inverse,0.49462012559709084
231,0.04,"(36, 37)",True,d_G,0.6512572341948657,1,inverse,0.5075012960472954
232,0.04,"(37, 38)",True,d_G,0.6437162532547265,1,inverse,0.5079646178744975
233,0.04,"(38, 39)",True,d_G,0.6212306127530851,1,inverse,0.5154687164689442
234,0.04,"(39, 40)",True,d_G,0.6388162858020608,1,inverse,0.5124396195858242
235,0.04,"(40, 41)",False,d_G,0.6651148640845009,1,inverse,0.4965834188580994
236,0.04,"(41, 42)",True,d_G,0.6178716239531924,1,inverse,0.5110545778577945
237,0.04,"(43, 42)",True,d_G,0.5081678762547805,1,inverse,0.5173461566647768
238,0.04,"(43, 44)",True,d_G,0.5271608718541295,1,inverse,0.5232294304373042
239,0.04,"(45, 44)",False,d_G,0.66961253088717,1,inverse,0.4875138123329303
240,0.04,"(46, 45)",True,d_G,0.5748170635998068,1,inverse,0.5242558682181427
241,0.04,"(46, 47)",True,d_G,0.5821413733750948,1,inverse,0.515742809883834
242,0.04,"(47, 48)",True,d_G,0.6334042885604659,1,inverse,0.5230358170141562
243,0.04,"(49, 48)",False,d_G,0.6600994538941488,1,inverse,0.4984210935830996
244,0.04,"(49, 50)",True,d_G,0.711237834089212,1,inverse,0.50670786911182
245,0.04,"(50, 51)",True,d_G,0.5366729245970904,1,inverse,0.5462063266910901
246,0.04,"(51, 52)",True,d_G,0.5819667876396265,1,inverse,0.5125197800865867
247,0.04,"(54, 55)",False,d_G,0.6951937285602249,1,inverse,0.4778863378196592
248,0.04,"(55, 56)",True,d_G,0.5576500118538836,1,inverse,0.5360183818305304
249,0.04,"(57, 56)",True,d_G,0.6460520276746219,1,inverse,0.5053161835101264
250,0.04,"(57, 58)",True,d_G,0.45851705750283345,1,inverse,0.5290558664979397
251,0.04,"(58, 59)",True,d_G,0.3523745813606565,1,inverse,0.6319125498806684
252,0.04,"(59, 60)",False,d_G,0.6479641317239712,1,inverse,0.49934568557123815
253,0.04,"(60, 61)",True,d_G,0.5458328300049146,1,inverse,0.5027536740056846
254,0.04,"(61, 62)",True,d_G,0.6284466099176683,1,inverse,0.5226213642103613
255,0.04,"(62, 63)",True,d_G,0.6735064138056304,1,inverse,0.5080383786183751
256,0.04,"(63, 64)",True,d_G,0.620073271120978,1,inverse,0.5047483044012316
257,0.04,"(65, 64)",True,d_G,0.5342131559972337,1,inverse,0.5096568521660598
258,0.04,"(66, 65)",True,d_G,0.6379675668236088,1,inverse,0.5073102976536591
259,0.04,"(67, 66)",True,d_G,0.5902016555374009,1,inverse,0.54141661354852
260,0.04,"(68, 67)",True,d_G,0.5576048317203771,1,inverse,0.5679512929941203
261,0.04,"(69, 68)",False,d_G,0.7204560390356534,1,inverse,0.4870106304713051
262,0.04,"(69, 70)",False,d_G,0.6076375697238022,1,inverse,0.49481782381615014
263,0.04,"(71, 70)",False,d_G,0.6958151546645792,1,inverse,0.48305770356879
264,0.04,"(73, 72)",False,d_G,0.7089048194313854,1,inverse,0.4669131150849701
265,0.04,"(74, 73)",False,d_G,0.6199926098351382,1,inverse,0.48454171832474785
266,0.04,"(75, 76)",False,d_G,0.6548975239995986,1,inverse,0.48167801906432806
267,0.04,"(77, 76)",True,d_G,0.6760063430266492,1,inverse,0.5042399827382749
268,0.04,"(77, 78)",True,d_G,0.6495151603448686,1,inverse,0.5017806025956577
269,0.04,"(79, 78)",True,d_G,0.6694303446646787,1,inverse,0.5006114225135904
270,0.04,"(80, 79)",False,d_G,0.6948720831694004,1,inverse,0.49209072774065377
271,0.04,"(82, 81)",False,d_G,0.6713492220551819,1,inverse,0.4549823376360212
272,0.04,"(83, 82)",True,d_G,0.678361740573461,1,inverse,0.5030984565241479
273,0.04,"(84, 83)",True,d_G,0.6386560541989935,1,inverse,0.5175856490565761
274,0.04,"(85, 84)",False,d_G,0.7210257691390634,1,inverse,0.4995501238702158
275,0.04,"(86, 85)",False,d_G,0.6908822532734795,1,inverse,0.49989194263143194
276,0.04,"(86, 87)",True,d_G,0.6392082880879805,1,inverse,0.5195887976578394
277,0.04,"(87, 88)",True,d_G,0.6915246174677359,1,inverse,0.5132774862177498
278,0.04,"(89, 88)",False,d_G,0.5960241531006887,1,inverse,0.48900421013818285
279,0.04,"(89, 90)",False,d_G,0.693624338434864,1,inverse,0.49832262634397106
280,0.04,"(91, 90)",False,d_G,0.6969538228216434,1,inverse,0.4918186223626099
281,0.04,"(91, 92)",True,d_G,0.6923618483319747,1,inverse,0.5158061501291309
282,0.04,"(93, 92)",True,d_G,0.6618036469101644,1,inverse,0.5009687356341324
283,0.04,"(93, 94)",True,d_G,0.5693517242502583,1,inverse,0.5131815183748712
284,0.04,"(95, 94)",True,d_G,0.5132835480346426,1,inverse,0.5083184117602442
285,0.04,"(95, 96)",True,d_G,0.6320420557290769,1,inverse,0.5003719227715719
286,0.04,"(96, 97)",True,d_G,0.61011520464014,1,inverse,0.5088717474379143
287,0.04,"(97, 98)",True,d_G,0.7058916662026766,1,inverse,0.5055586708207939
288,0.04,"(99, 98)",False,d_G,0.7001797442056564,1,inverse,0.4832685667088376
289,0.04,"(68, 48)",True,d_G,0.6297666803458215,0,inverse,0.49995439090259397
290,0.04,"(68, 75)",True,d_G,0.6258116757734145,0,inverse,0.47564424530785465
291,0.04,"(48, 36)",True,d_G,0.6960232653587015,0,inverse,0.4997385405677135
292,0.04,"(36, 73)",False,d_G,0.6772396667919817,0,inverse,0.5012676277445071
293,0.04,"(73, 69)",True,d_G,0.724844409374858,0,inverse,0.49815985876227104
294,0.04,"(38, 69)",True,d_G,0.6388127728055571,0,inverse,0.4802823902476985
295,0.04,"(38, 32)",True,d_G,0.6221437592736441,0,inverse,0.4973950483771592
296,0.04,"(26, 32)",True,d_G,0.6465777757834918,0,inverse,0.49737304368743923
297,0.04,"(26, 13)",True,d_G,0.667556417434183,0,inverse,0.4665464675589241
298,0.04,"(55, 13)",True,d_G,0.7346678474223942,0,inverse,0.4763041604882178
299,0.04,"(47, 55)",True,d_G,0.6298407016501891,0,inverse,0.49569912893953083
300,0.04,"(50, 47)",True,d_G,0.6985081318428871,0,inverse,0.4905523233411174
301,0.04,"(35, 50)",True,d_G,0.7091326642910865,0,inverse,0.4806026368648432
302,0.04,"(83, 35)",False,d_G,0.6190288924512178,0,inverse,0.5181672241768763
303,0.04,"(83, 87)",True,d_G,0.6773575571768857,0,inverse,0.4971133463602879
304,0.04,"(91, 87)",False,d_G,0.6044717430440677,0,inverse,0.5082245248952246
305,0.04,"(12, 91)",True,d_G,0.6884249174882713,0,inverse,0.4809661283461403
306,0.04,"(12, 20)",True,d_G,0.6184675072774994,0,inverse,0.49882085812947324
307,0.04,"(20, 72)",True,d_G,0.6487797337184674,0,inverse,0.463106978544644
308,0.04,"(43, 72)",True,d_G,0.6925672666736292,0,inverse,0.442463075882858
309,0.04,"(43, 25)",False,d_G,0.6345240392700637,0,inverse,0.5004211143839147
310,0.04,"(65, 25)",False,d_G,0.6576017450529839,0,inverse,0.506661006303443
311,0.04,"(60, 65)",True,d_G,0.6640945407886312,0,inverse,0.4837638372600834
312,0.04,"(67, 60)",False,d_G,0.6440283363387501,0,inverse,0.5350829478416422
313,0.04,"(67, 53)",True,d_G,0.5967209596170385,0,inverse,0.4284064434915051
314,0.04,"(53, 14)",True,d_G,0.684995218513998,0,inverse,0.4533064097750581
315,0.04,"(14, 3)",False,d_G,0.6247822414069425,0,inverse,0.5250673341591715
316,0.04,"(3, 30)",False,d_G,0.6316191003010421,0,inverse,0.510673690459602
