accuracy,auroc,pr,method,theta,mu
0.764463440696077,0.8519179936272663,0.8544026694168275,N2V,0.15,0.3
0.725978459495508,0.8096486919223302,0.8118419844945631,N2V,0.15,0.4
0.727480099517188,0.8119899534888343,0.8148477034865138,N2V,0.15,0.4
0.7279485220661691,0.812508412466633,0.8146270756626243,N2V,0.15,0.4
0.7198371923897999,0.8024205686880412,0.8046413177907854,N2V,0.15,0.4
0.7271125388824626,0.8108104978831192,0.8128034034880378,N2V,0.15,0.4
0.7263599545467789,0.8107505694207028,0.8141180890753608,N2V,0.15,0.4
0.7282978597260924,0.8137019748216627,0.8158868613018442,N2V,0.15,0.4
0.7248951640374472,0.808162572838315,0.8101794110416559,N2V,0.15,0.4
0.7257549631838941,0.8094071599917333,0.8110330726307934,N2V,0.15,0.4
0.7305085146082808,0.8133502986633495,0.8155490613134162,N2V,0.15,0.4
0.6894559117283363,0.7648108270364659,0.7648935207158684,N2V,0.15,0.5
0.6846556820509819,0.7595778757956843,0.7602156703892982,N2V,0.15,0.5
0.6842350913725631,0.7567569372683777,0.7587823189912499,N2V,0.15,0.5
0.6898655818889282,0.7653893684936379,0.7671455270975711,N2V,0.15,0.5
0.6771825467077388,0.7509075517594809,0.7517751871124695,N2V,0.15,0.5
0.6893480085812891,0.7636841328322027,0.7636762243508213,N2V,0.15,0.5
0.6834089798609517,0.7573438238389465,0.7585960096517408,N2V,0.15,0.5
0.6862353488261176,0.7610486778953911,0.7627718294465465,N2V,0.15,0.5
0.679820690703152,0.7522128839380986,0.7528980711030805,N2V,0.15,0.5
0.6871889073240104,0.7622008303645291,0.7641783547086396,N2V,0.15,0.5
0.763353606134726,0.850348279685061,0.8512648875738521,N2V,0.1,0.1
0.7409345010457538,0.8249678656182244,0.8262333453444399,N2V,0.1,0.2
0.7410960199863122,0.8246077092516444,0.8256780649019465,N2V,0.1,0.2
0.7423956215620343,0.8262210498235383,0.8274363412195913,N2V,0.1,0.2
0.7390188311832002,0.8239781024993937,0.8251636277114167,N2V,0.1,0.2
0.7406136366148303,0.824457277988242,0.8257161645052635,N2V,0.1,0.2
0.7434724091520861,0.8287554331932354,0.8300308737201851,N2V,0.1,0.2
0.7347817095459804,0.8192470531400565,0.8218131334770551,N2V,0.1,0.2
0.7393085002646755,0.8236349228781716,0.8250171756267672,N2V,0.1,0.2
0.7362765111273035,0.8212268585385502,0.8227543793456156,N2V,0.1,0.2
0.7394657134281114,0.8257472452953227,0.8278125272394792,N2V,0.1,0.2
0.7175935968674042,0.7982540094623927,0.7993888251456216,N2V,0.1,0.3
0.7133294043078429,0.7942693136728848,0.7962220218849274,N2V,0.1,0.3
0.716978917480829,0.7974924641760895,0.7989663778313237,N2V,0.1,0.3
0.7149292043632224,0.7956612829756562,0.7970907122250561,N2V,0.1,0.3
0.7153544272749571,0.7961949004091702,0.7972899010396706,N2V,0.1,0.3
0.7092330043584991,0.7897012007257249,0.7914702325799834,N2V,0.1,0.3
0.7173794056668971,0.7981195208410307,0.7988498934090954,N2V,0.1,0.3
0.7160779226538939,0.7967454574347022,0.7984413554969826,N2V,0.1,0.3
0.7183417338146381,0.7993981314060243,0.8006295495301958,N2V,0.1,0.3
0.7200506796181246,0.8016023092172938,0.8036739016021857,N2V,0.1,0.3
0.6886175122867481,0.7623763880043559,0.7616839791987812,N2V,0.1,0.4
0.6913894707443095,0.7647240198337928,0.7648754430959798,N2V,0.1,0.4
0.6904200617917385,0.7642540334533772,0.7643439560640242,N2V,0.1,0.4
0.6934834720123123,0.7680979912593706,0.7666422187546593,N2V,0.1,0.4
0.6868595999886843,0.7591052169284812,0.759044386164546,N2V,0.1,0.4
0.6921814687759833,0.766484648206654,0.7667791108986448,N2V,0.1,0.4
0.6922069197178368,0.7665729693452235,0.7667316106069465,N2V,0.1,0.4
0.6867269306963658,0.7603884150721513,0.7618628567826783,N2V,0.1,0.4
