accuracy,auroc,pr,method,theta,system
0.8617300131061599,0.5719677251431545,0.1284648725626048,ISOMAP,0.35,celegans
0.8983602675664476,0.9329871703237239,0.9919014774466497,ISOMAP,0.35,drosophila
0.9003291880029262,0.9135369162199052,0.991579481967186,ISOMAP,0.35,drosophila
0.5873253493013972,0.6108559640266185,0.5251139573247219,ISOMAP,0.35,drosophila
0.6680161943319838,0.9564323111443531,0.9863926228054942,ISOMAP,0.35,london
0.8340425531914893,0.9611382113821139,0.9938805444034248,ISOMAP,0.35,london
0.6352941176470588,0.8237547892720307,0.9044224918236703,ISOMAP,0.35,london
0.7676404177250917,0.918552524818633,0.9382221853334225,ISOMAP,0.3,arxiv
0.7764112546451956,0.9104718836884906,0.9753011463292074,ISOMAP,0.3,arxiv
0.762719428741446,0.9246778692994537,0.960400164093236,ISOMAP,0.3,arxiv
0.6755037115588547,0.5547790339157246,0.3463220121804577,ISOMAP,0.3,celegans
0.7990527740189445,0.5947266497840011,0.2333534947045735,ISOMAP,0.3,celegans
0.8751576292559899,0.5455165948488537,0.12406917285918713,ISOMAP,0.3,celegans
0.903307747528853,0.9258080989074009,0.9905097759543269,ISOMAP,0.3,drosophila
0.850407876230661,0.9093705424099017,0.9914551480239975,ISOMAP,0.3,drosophila
0.568,0.6059713123085317,0.5496236831419863,ISOMAP,0.3,drosophila
0.5363321799307958,0.901875,0.9703936168147387,ISOMAP,0.3,london
0.934156378600823,0.9626373626373627,0.9936099675859196,ISOMAP,0.3,london
0.5376344086021505,0.6595214356929213,0.7738524915856734,ISOMAP,0.3,london
0.8169200848656294,0.9343057519140986,0.9480041015401466,ISOMAP,0.45,arxiv
0.8413785485474429,0.9371221654382496,0.9817325189342526,ISOMAP,0.45,arxiv
0.8519075361774102,0.9483155719103189,0.9736251898178121,ISOMAP,0.45,arxiv
0.6616847826086957,0.6358796842629744,0.414229385105509,ISOMAP,0.45,celegans
0.7702702702702703,0.6052240899931127,0.24680188220362242,ISOMAP,0.45,celegans
0.8659953524399691,0.5688168273444347,0.14942618198688645,ISOMAP,0.45,celegans
0.9201683619782532,0.9447509757650545,0.9931434976139512,ISOMAP,0.45,drosophila
0.9097771131524603,0.9275271732309159,0.9922942160703722,ISOMAP,0.45,drosophila
0.5587020648967551,0.5986296946296946,0.5275951147130015,ISOMAP,0.45,drosophila
0.7488584474885844,0.9751479289940829,0.9921649972373432,ISOMAP,0.45,london
