,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
10,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.3,-0.014210953096687443,[-0.83345189],0.49849321948769465,0.7300608343245347,0.7175939489495206,-1.0,-0.8334518935718772,
11,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.32499999999999996,0.029134583030503237,[-0.91730428],0.4966512107161257,0.7504690346857388,0.7407920163658366,-1.0,-0.9173042752446184,
12,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.35,0.043009432400700855,[-1.12194369],0.494140092668302,0.7381682460962017,0.7250276428244586,-1.0,-1.121943689298961,
13,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.37499999999999994,-0.011624058838515689,[-1.1779791],0.4983370288248337,0.75980186702229,0.7606281332316773,-1.0,-1.1779790973532767,
14,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.39999999999999997,0.016734648839986172,[-1.31475068],0.4972017673048601,0.7529148862920176,0.7449859047938581,-1.0,-1.3147506786218135,
15,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.42499999999999993,0.0033779879508863634,[-1.4869675],0.5015299877600979,0.767409301740256,0.7524038453065753,-1.0,-1.4869674985120134,
16,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.44999999999999996,-0.04021923241266378,[-1.6635147],0.49128576126274254,0.7787655686309123,0.7679999622597404,-1.0,-1.6635147013572102,
17,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.475,-0.020225729834186176,[-1.7827943],0.4954924874791319,0.757052950421081,0.7446700835587352,-1.0,-1.7827942972112374,
18,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.49999999999999994,-0.0197996960346762,[-1.89553127],0.49508771929824563,0.7645724130220756,0.7598495332931932,-1.0,-1.895531272247431,
19,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.525,0.014820298211829229,[-2.08030553],0.49594694178334564,0.7769332785902349,0.7674958369843434,-1.0,-2.0803055320225723,
20,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.5499999999999999,-0.004549272045675537,[-2.30000245],0.5314822057098162,0.7691652136673702,0.7653159696526073,-1.0,-2.300002454018177,
21,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.575,0.010326333913650043,[-2.57429939],0.49644202595228126,0.7741165635657903,0.7633396527753286,-1.0,-2.574299392329201,
22,LFR_gamma-2.5,1,2,"{'emb', 'imb'}",0.6,-0.003522382547235071,[-2.71459025],0.5916666666666667,0.763876481139066,0.7650126687441403,-1.0,-2.714590254701231,
