,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
806,1000,30.0,10.0,0.6000000000000001,0.0,2.9240854648769026,0.7631971773646357,0.5527971607559905,0.7761385315403017,0.0934130240000286,0.0934135913848877,14067.0,4373.0,28.134,8.746,31.624,19.994
807,1000,30.0,10.0,0.7000000000000001,0.0,2.412278288279938,0.7602381381923147,0.5482999803942785,0.7671345934499211,0.12147720600000866,0.12147808074951172,14067.0,4373.0,28.134,8.746,30.792,17.174
808,1000,30.0,10.0,0.8,0.0,2.03502965121571,0.7698454981353223,0.5375224272715622,0.7628219337952008,0.11696203700000751,0.11696267127990723,14067.0,4373.0,28.134,8.746,29.862,14.526
809,1000,30.0,10.0,0.9,0.0,1.7532514117171865,0.756999471737982,0.5131413271033708,0.7259833712416648,0.14006123699999762,0.140061616897583,14067.0,4373.0,28.134,8.746,29.054,11.612
810,1000,30.0,10.0,,,,,,,,,,,,,,
811,1000,30.0,10.0,0.1,0.0,14.508719757847707,0.727084978436494,0.5273177758998217,0.7826959169097765,0.1022015300000021,0.1022031307220459,14007.0,4290.0,28.014,8.58,35.806,33.714
812,1000,30.0,10.0,0.2,0.0,10.137993038984808,0.7598848763105599,0.5522755750469883,0.7869552994950365,0.09690437000000429,0.09690570831298828,14007.0,4290.0,28.014,8.58,34.854,30.926
813,1000,30.0,10.0,0.30000000000000004,0.0,6.859247083457353,0.7659058933875253,0.5540191674758977,0.7897674798948885,0.09409642800000029,0.09409737586975098,14007.0,4290.0,28.014,8.58,33.962,28.22
814,1000,30.0,10.0,0.4,0.0,5.028466090810679,0.7671195652173913,0.5579467190027076,0.7851908276916504,0.09358120799998915,0.0935816764831543,14007.0,4290.0,28.014,8.58,33.162,25.512
815,1000,30.0,10.0,0.5,0.0,3.7492331150138893,0.7625286603340976,0.5640085054837988,0.7803653931335108,0.09305894600004194,0.09306073188781738,14007.0,4290.0,28.014,8.58,32.364,22.548
816,1000,30.0,10.0,0.6000000000000001,0.0,3.0011193641202567,0.7632869991823386,0.5565239704915337,0.7705747553395028,0.10527798900000107,0.10527896881103516,14007.0,4290.0,28.014,8.58,31.49,19.78
817,1000,30.0,10.0,0.7000000000000001,0.0,2.4507029782686005,0.7618699780861943,0.5549478530162932,0.7680369721036758,0.11636185200001137,0.1163628101348877,14007.0,4290.0,28.014,8.58,30.62,16.926
