,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
45,london,1,2,"{'imb', 'deg'}",0.14,0.9417807602261664,[2.81556367],0.8145896656534954,0.6972877358490566,0.9256204967128008
46,london,1,2,"{'imb', 'deg'}",0.22999999999999998,0.6993902246674857,[3.59984008],0.9059233449477352,0.8502409438351611,0.9570634579848118
47,london,1,2,"{'imb', 'deg'}",0.32,0.7848585030845193,[3.88693528],0.9,0.9021066974111729,0.9744678766061553
48,london,1,2,"{'imb', 'deg'}",0.41,0.9800089722818588,[3.89005173],0.8908296943231441,0.9321859903381642,0.9814624759409954
49,london,1,2,"{'imb', 'deg'}",0.49999999999999994,0.6889761554341568,[4.02903939],0.9141414141414141,0.9624177631578947,0.9908164939747571
50,london,1,2,"{'imb', 'deg'}",0.5900000000000001,0.7201879025453524,[4.18543639],0.9349112426035503,0.9621318373071528,0.9913218566139991
51,london,1,2,"{'imb', 'deg'}",0.68,0.7809178763797581,[4.12604614],0.9186991869918699,0.9583663758921491,0.9879548719299653
52,london,1,2,"{'imb', 'deg'}",0.77,0.3853874638755936,[4.22179342],0.9878048780487805,1.0,1.0
53,london,1,2,"{'imb', 'deg'}",0.86,0.5146683047953174,[4.21518321],0.9464285714285714,0.9868686868686869,0.9967736170713603
54,london,1,2,"{'imb', 'deg'}",0.95,0.5817620414981612,[4.24438566],1.0,1.0,1.0
55,london,1,2,"{'deg', 'emb'}",0.05,3.1799896114575468,[-1.37018532  0.65732127],0.7793296089385475,0.4734126984126984,0.7815533336025464
56,london,1,2,"{'deg', 'emb'}",0.14,3.674725511816402,[-1.88269981  1.16954304],0.7142857142857143,0.36250000000000004,0.7163403127733494
57,london,1,2,"{'deg', 'emb'}",0.22999999999999998,1.566766027508494e-15,[2.06131757e-07 2.20945205e-15],0.8222996515679443,0.8280159521435694,0.9520508032974364
58,london,1,2,"{'deg', 'emb'}",0.32,0.7766537041920655,[3.16045722e-08 3.87050227e+00],0.9,0.9332355099046221,0.9802824593789845
59,london,1,2,"{'deg', 'emb'}",0.41,8.891396432569193e-16,[2.05876742e-07 1.12104030e-15],0.8034934497816594,0.7725845410628019,0.9123459018309172
60,london,1,2,"{'deg', 'emb'}",0.49999999999999994,6.265606356823126e-16,[2.05896522e-07 8.48515139e-16],0.8080808080808081,0.7886513157894737,0.9226301242964701
61,london,1,2,"{'deg', 'emb'}",0.5900000000000001,3.963788660928401e-16,[2.05935070e-07 5.62890942e-16],0.8165680473372781,0.8232819074333801,0.946594339277434
62,london,1,2,"{'deg', 'emb'}",0.68,2.297818424360087e-16,[2.05595717e-07 3.32469856e-16],0.7886178861788617,0.7616970658207772,0.9220760199349219
63,london,1,2,"{'deg', 'emb'}",0.77,1.458920895247098e-16,[2.05552942e-07 2.18487468e-16],0.7804878048780488,0.6883680555555556,0.8967149263329239
64,london,1,2,"{'deg', 'emb'}",0.86,9.404722676649893e-17,[2.05521526e-07 1.49602987e-16],0.8035714285714286,0.6343434343434343,0.867543590474268
65,london,1,2,"{'deg', 'emb'}",0.95,-0.1483755616899296,[7.85380334e-04 3.55426678e+00],0.9230769230769231,1.0,1.0
66,london,1,2,"{'imb', 'deg', 'emb'}",0.05,3.056138333347472,[-1.31442074  0.67147479],0.7821229050279329,0.47971230158730155,0.7957813297301283
67,london,1,2,"{'imb', 'deg', 'emb'}",0.14,3.626812439866305,[-1.88108771  1.22022067],0.6960486322188449,0.4061320754716981,0.7399296540051832
68,london,1,2,"{'imb', 'deg', 'emb'}",0.22999999999999998,1.6761217921190117e-15,[2.06165081e-07 2.36366545e-15],0.8222996515679443,0.8795280824194084,0.9687204385345247
69,london,1,2,"{'imb', 'deg', 'emb'}",0.32,1.0007786704055781e-15,[2.06205778e-07 1.22896775e-15],0.812,0.8677287496069594,0.9606071995353872
70,london,1,2,"{'imb', 'deg', 'emb'}",0.41,8.82548294849972e-16,[2.05872806e-07 1.11272983e-15],0.8034934497816594,0.7705314009661836,0.913325036690182
71,london,1,2,"{'imb', 'deg', 'emb'}",0.49999999999999994,6.151401281069943e-16,[2.05886490e-07 8.33049001e-16],0.8080808080808081,0.8572368421052631,0.9555479538735485
72,london,1,2,"{'imb', 'deg', 'emb'}",0.5900000000000001,0.602845194538888,[1.79801535e-04 4.18030047e+00],0.9349112426035503,0.9637681159420289,0.9914926529536039
73,london,1,2,"{'imb', 'deg', 'emb'}",0.68,5.149410140564924,[4.95432374e-08 8.70989285e+00],0.8211382113821138,0.9551942902458366,0.9868091320287461
74,london,1,2,"{'imb', 'deg', 'emb'}",0.77,1.4607182068680752e-16,[2.05553576e-07 2.18756633e-16],0.7804878048780488,0.751736111111111,0.9100069004311638
75,london,1,2,"{'imb', 'deg', 'emb'}",0.86,9.342904156429572e-17,[2.05518349e-07 1.48619626e-16],0.8035714285714286,0.7272727272727273,0.8878260543900207
76,london,1,2,"{'imb', 'deg', 'emb'}",0.95,6.505024551733195e-17,[2.05191155e-07 1.06905205e-16],0.9230769230769231,0.6666666666666666,0.9693117068117069
