,T2,theta,dim,intercept,coefs,accuracy,auroc,aupr
234,2.0,0.95,37,-0.040481163833710886,[-13.93142135   5.33808348],0.7007874015748031,0.7780673989946006,0.7994373545440301
235,2.0,0.95,46,0.16846881339141395,[-15.02483258   6.02853797],0.7125984251968503,0.8077949481784894,0.8307285574301637
236,2.0,0.95,55,0.08341033346847718,[-16.05175452   6.68198317],0.7637795275590551,0.8454043319059146,0.8616855834411753
237,2.0,0.95,64,0.200215850512202,[-16.35318881   6.95671715],0.7716535433070866,0.873021783652951,0.8878574387276524
238,2.0,0.95,73,0.07056787491905213,[-16.74693967   7.15936594],0.7992125984251969,0.8945571898467076,0.9095196627495854
239,2.0,0.95,82,0.10493056307187731,[-15.95571472   6.70136437],0.8267716535433071,0.9118724011667597,0.9257639765606418
240,2.0,0.95,91,0.1763929799106021,[-15.17872181   6.22893682],0.8503937007874016,0.9282566871470241,0.9378407727607295
241,2.0,0.95,100,0.10020787227045726,[-15.18861611   5.8520546 ],0.8622047244094488,0.9407931483894992,0.9487762975995413
242,3.0,0.05,10,9.351731030077856,[-112.78631228  429.0704484 ],0.6125608137992039,0.6731330758389189,0.6818025109854459
243,3.0,0.05,19,1.7274988410007674,[-55.5496117  187.25422841],0.6282618310482088,0.6911861794160309,0.6841083188565459
244,3.0,0.05,28,5.567835940770671,[-73.94168058 197.04626909],0.6337903582485626,0.7181587356235274,0.7187969952066597
245,3.0,0.05,37,1.7837298798343415,[-84.35755827 139.22813944],0.6581158779301194,0.7392611820812839,0.7329523765707442
246,3.0,0.05,46,2.2464285748665125,[-67.99740254 133.96568395],0.6678460858027422,0.7520417794305063,0.7500256860797753
247,3.0,0.05,55,1.589703544908013,[-81.39351747 182.70402105],0.679124281291464,0.7634692107036563,0.7609210270128746
248,3.0,0.05,64,2.4970539965737144,[-71.58435473 158.28729256],0.6831048208757187,0.7704376003137663,0.765000736528963
249,3.0,0.05,73,0.7863584685725207,[-61.41938034  84.16159883],0.7052189296771341,0.7916143804338152,0.7924008940700865
250,3.0,0.05,82,0.5899642635234298,[-63.13519705  74.32902127],0.7103051747014595,0.7997543076846335,0.796477157965787
251,3.0,0.05,91,1.4556104487889416,[-67.07994411  67.88837921],0.7231313578062805,0.8123082851713146,0.8030703982157856
252,3.0,0.05,100,0.8537812255373894,[-63.74386428  73.78802482],0.7313135780628041,0.8195728357411898,0.813771987049988
253,3.0,0.14,10,-0.2649582086212897,[-18.61964077  35.08625141],0.6652882510338117,0.7267127950042415,0.7152877559683659
254,3.0,0.14,19,1.5193959342359755,[-102.39225219  166.13409945],0.7136949647287765,0.7838728253377968,0.7836619226554805
255,3.0,0.14,28,4.836580671739539,[-240.35042279  423.22142698],0.7377766966674775,0.8109548016768662,0.8205743653544901
256,3.0,0.14,37,-2.1030512934270673,[-91.98684135 134.07957634],0.7630746776939917,0.8436437284143238,0.8390361887958364
257,3.0,0.14,46,-1.2397912804444582,[-126.18822086  126.81135427],0.7791291656531257,0.8590106233716069,0.8596709074284306
258,3.0,0.14,55,-4.358316067790119,[-111.14572134   77.82512449],0.7871564096326927,0.8717849886769874,0.872132084155776
259,3.0,0.14,64,-3.1945521541711033,[-100.23810663   73.2629645 ],0.7888591583556313,0.8844175796397843,0.8836875975585846
260,3.0,0.14,73,-1.9566449603541856,[-81.60598444  50.467536  ],0.8007783994162004,0.8953958604732186,0.8941440676765838
261,3.0,0.14,82,-4.552555731176948,[-119.59467077   61.14889027],0.8022378983215762,0.8994618728793019,0.8975222499307919
262,3.0,0.14,91,-12.57870162961343,[-305.27575008  125.60243294],0.807102894672829,0.9043575847143117,0.9033625956539839
263,3.0,0.14,100,-28.79563943969577,[-588.05747873  268.51063184],0.812454390659207,0.9145751598097431,0.9137198953323672
264,3.0,0.22999999999999998,10,0.2505563402405142,[-15.51908719  23.41701748],0.6899836690255852,0.74667034126335,0.7260205323068963
265,3.0,0.22999999999999998,19,0.3092899994387873,[-20.52664762  21.04629661],0.7346216657593904,0.8072116923295758,0.7837511029962564
266,3.0,0.22999999999999998,28,0.17576943573094783,[-25.95379484  26.79392216],0.7593903102885139,0.8380418548415774,0.8278258444110098
267,3.0,0.22999999999999998,37,0.48032985600251593,[-27.34184038  25.6586595 ],0.786336418072945,0.8585117290755425,0.8501837956429661
268,3.0,0.22999999999999998,46,0.5003326684387208,[-28.71201266  26.51608253],0.7999455634186173,0.8826271588255514,0.8780500392373038
269,3.0,0.22999999999999998,55,0.6639834890428749,[-34.82482797  32.37568661],0.8108328796951552,0.8957626566148668,0.8950000057145762
270,3.0,0.22999999999999998,64,0.36915089212332214,[-34.70086967  31.12711905],0.826619488296135,0.9115530505079241,0.9113060268215417
271,3.0,0.22999999999999998,73,0.09877082792323869,[-34.77236152  31.56616229],0.8402286336418073,0.9194226141792018,0.9193202128112037
272,3.0,0.22999999999999998,82,0.11048879991489541,[-34.16204423  28.56128207],0.8478497550353837,0.9303536502969311,0.9299455470943221
273,3.0,0.22999999999999998,91,-0.13353627066202262,[-37.80581482  28.30774533],0.859553620032662,0.9416995602337518,0.941302901802836
274,3.0,0.22999999999999998,100,-0.4048380979423861,[-45.31133044  32.59008826],0.8633641807294502,0.9439864039922714,0.9435489493052984
275,3.0,0.32,10,-0.9048797861889392,[-15.54103395  17.21127643],0.6884944920440637,0.7542326540212649,0.7385324172962004
276,3.0,0.32,19,-0.3967641214009139,[-21.83735924  19.34413108],0.7457160342717258,0.8180734064531401,0.8094843177014556
277,3.0,0.32,28,-0.1951642798962715,[-26.22607148  21.03792417],0.7858017135862914,0.8619164510576205,0.8617491015529362
278,3.0,0.32,37,0.05166111460218241,[-29.29607324  23.63689067],0.802937576499388,0.8877352285955273,0.8891978983546254
279,3.0,0.32,46,-0.012262617084177642,[-29.35308304  22.66006918],0.822827417380661,0.9031347333064665,0.9037544735137114
280,3.0,0.32,55,-0.08855360308988292,[-32.0337832   24.29152439],0.8417992656058751,0.917740591979793,0.9192093509360192
281,3.0,0.32,64,-0.045229229127380796,[-43.86460509  31.04155424],0.8509791921664627,0.928044881638499,0.9285404140026523
282,3.0,0.32,73,0.10824395349248404,[-47.29449631  32.38530017],0.8577111383108935,0.9361888360707068,0.9392381601020952
283,3.0,0.32,82,0.2834929196314132,[-45.29327307  28.80632927],0.8629130966952264,0.9449975954659928,0.9476699638053525
284,3.0,0.32,91,-0.005318250883083376,[-34.77403648  19.95566222],0.8791309669522643,0.9504411308650779,0.9517950239648876
285,3.0,0.32,100,0.09123349132988028,[-37.81468447  19.39178603],0.8837209302325582,0.9546921372487037,0.9553407684896362
286,3.0,0.41,10,0.5619699425166098,[-11.42616987  10.82977683],0.7155203456967951,0.7831038025654864,0.7549680657708018
287,3.0,0.41,19,0.5549431167369113,[-17.60767714  14.16394313],0.7792581922938423,0.8528482917514217,0.8386742811441259
288,3.0,0.41,28,1.1789422366921605,[-24.68965697  18.51018656],0.8116672668347137,0.8884060151936568,0.8836068598845711
289,3.0,0.41,37,1.5175807156326238,[-26.61179158  19.92388789],0.8307526107310047,0.9064515961642242,0.9023257484003879
290,3.0,0.41,46,1.3813950919310922,[-25.23259806  18.0502932 ],0.8437162405473533,0.9164546058366889,0.913040639430193
291,3.0,0.41,55,1.057772066622022,[-25.93779793  17.56048594],0.8491177529708318,0.928507825148408,0.9254386598891287
292,3.0,0.41,64,0.9905896714133023,[-25.88984998  17.01411043],0.8548793662225423,0.9374444767321185,0.9362957783452337
293,3.0,0.41,73,0.6093874552936412,[-24.31230605  14.91240121],0.8664025927259633,0.9466571879280999,0.9472442030504009
294,3.0,0.41,82,0.5897187259483345,[-24.02287914  13.78342447],0.8793662225423119,0.9526142637718462,0.9543080416649575
295,3.0,0.41,91,0.5688584302373891,[-25.62557709  13.4192852 ],0.8854879366222542,0.956733882685043,0.957681770189159
296,3.0,0.41,100,0.38231249458424976,[-25.34412987  11.43299469],0.8966510622974433,0.9620495869483997,0.9634189353992336
297,3.0,0.49999999999999994,10,-0.2940786219925187,[-11.27989966   8.40775784],0.744370308590492,0.8188481456732375,0.8193219200570985
298,3.0,0.49999999999999994,19,0.12649593417855126,[-16.3228818   11.32219584],0.7919099249374478,0.8744995266733488,0.8751527346157592
299,3.0,0.49999999999999994,28,0.37197879513808374,[-17.30440552  11.84654181],0.8135946622185154,0.8963456398262613,0.8942942554324117
300,3.0,0.49999999999999994,37,0.503705585142165,[-18.4871611   12.68408941],0.8398665554628857,0.9171365129747187,0.9141530339222503
301,3.0,0.49999999999999994,46,0.5081186911216353,[-19.50163159  13.49803254],0.841534612176814,0.9273638489809555,0.926936790888982
302,3.0,0.49999999999999994,55,0.3264792118292703,[-20.26944303  13.1501771 ],0.8582151793160967,0.9384466533021495,0.9400145587803312
303,3.0,0.49999999999999994,64,0.35061450634532015,[-20.87199104  12.6517229 ],0.8757297748123436,0.9498023165163159,0.9519258029149178
304,3.0,0.49999999999999994,73,0.24522174367287808,[-22.11314211  12.61481435],0.8832360300250208,0.9567302873371198,0.9589166889915189
305,3.0,0.49999999999999994,82,0.19195637285809597,[-22.48980757  11.78400045],0.896580483736447,0.9636707873928054,0.96559302252474
306,3.0,0.49999999999999994,91,0.1857260968082534,[-24.611296    11.39424109],0.9007506255212677,0.9685279541151577,0.9701178391794826
307,3.0,0.49999999999999994,100,0.1745891716637446,[-26.14840214  10.79730154],0.9049207673060884,0.9713595611983517,0.9731920298597314
308,3.0,0.5900000000000001,10,-0.9853324170261758,[-12.67256914   6.26699542],0.7204580947423217,0.8036610819653636,0.7871324886275082
309,3.0,0.5900000000000001,19,-0.5470636242643886,[-16.00047153   8.87138341],0.784487246225924,0.8771788796750718,0.8689955980943773
310,3.0,0.5900000000000001,28,-0.611939284585704,[-19.07988358  10.15781999],0.8261322228006247,0.9082939540292729,0.9068486417204769
311,3.0,0.5900000000000001,37,-0.22968121528148236,[-19.31863062  10.3474577 ],0.8505986465382613,0.9273836954493581,0.928115160544017
312,3.0,0.5900000000000001,46,-0.14191582428372698,[-20.83422183  10.77733779],0.8630921395106715,0.9378230079279326,0.9391225874186959
313,3.0,0.5900000000000001,55,-0.2061914939469244,[-19.54737978  10.28361945],0.8709005726184279,0.9452551735509935,0.9474790950002601
314,3.0,0.5900000000000001,64,-0.10190258632013068,[-18.1176365    9.63749186],0.8719416970327954,0.9499058368156355,0.9526382301134617
315,3.0,0.5900000000000001,73,-0.06998079916136961,[-18.48991872   9.30961902],0.8917230609057782,0.9581754906682982,0.9611644129235114
316,3.0,0.5900000000000001,82,-0.0900370073966669,[-18.89361733   8.73186948],0.8958875585632483,0.9651834880299933,0.9680591976268367
317,3.0,0.5900000000000001,91,-0.025366815438382186,[-18.70355965   8.03487393],0.9057782404997398,0.971050244954459,0.9738259041985488
318,3.0,0.5900000000000001,100,-0.06165569349272611,[-18.90892769   7.20981342],0.9135866736074961,0.9749816663846111,0.9775462910677211
319,3.0,0.68,10,-0.12196790340550896,[-9.93020644  4.44330215],0.6916129032258065,0.7646317359935128,0.7362111085702308
320,3.0,0.68,19,0.11215846076206654,[-11.82218084   6.20858002],0.7509677419354839,0.8413932972670554,0.8350788135254958
321,3.0,0.68,28,0.2495702557420777,[-14.21305815   7.60104053],0.8064516129032258,0.8842548883460631,0.8849472653537709
322,3.0,0.68,37,-0.018330114961140894,[-17.09046987   8.28443617],0.832258064516129,0.9173439500733481,0.920242669102608
323,3.0,0.68,46,-0.009630510936248891,[-18.17527986   8.42372935],0.8535483870967742,0.935969868173258,0.9395963130272367
