,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
10,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.3,-0.03011047649039553,[-18.498047518754564],0.8178191489361702,0.8795484000923637,0.8628356876732048,-1.0,-18.498047518754564,
11,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.32499999999999996,-0.19373935285175153,[-15.87562584262624],0.8209093007154397,0.8866640958557391,0.8752375876822067,-1.0,-15.87562584262624,
12,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.35,-0.0025383736397719815,[-14.509312712708125],0.8362905133664538,0.8936342978675772,0.8773535512749487,-1.0,-14.509312712708125,
13,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.37499999999999994,-0.13889642233879554,[-14.845703418773052],0.825299730853927,0.8873315400031421,0.872393184579941,-1.0,-14.845703418773052,
14,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.39999999999999997,-0.25997258981158433,[-15.48850632671036],0.8375527426160337,0.8971185365337846,0.8892478571437618,-1.0,-15.48850632671036,
15,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.42499999999999993,-0.267018247280915,[-14.977871028448899],0.8292230177671706,0.8900148496271275,0.8681260217282617,-1.0,-14.977871028448899,
16,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.44999999999999996,-0.1106892794140597,[-14.743337945660599],0.8261474269819193,0.8928346155965047,0.8756155307693537,-1.0,-14.743337945660599,
17,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.475,-0.0695359841641708,[-12.396624733081554],0.839390386869871,0.9002197989477001,0.8814084771118832,-1.0,-12.396624733081554,
18,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.49999999999999994,-0.0696716187541318,[-15.034801814612035],0.8278739184177998,0.8869501840980115,0.8691053715987876,-1.0,-15.034801814612035,
19,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.525,-0.16592238702227838,[-12.798442463615666],0.817824377457405,0.8788877283159935,0.8622011786525554,-1.0,-12.798442463615666,
20,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.5499999999999999,-0.12170220968750044,[-11.78106813925715],0.8337341119890073,0.8989095239129471,0.8842659735231737,-1.0,-11.78106813925715,
21,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.575,-0.1081588859039286,[-12.621862376058235],0.828158844765343,0.8881416231862297,0.8665732540817528,-1.0,-12.621862376058235,
22,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.6,-0.05064653306959132,[-11.946944570496655],0.8319623971797885,0.8915292248922234,0.8769421231997088,-1.0,-11.946944570496655,
23,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.625,-0.10332539738133097,[-11.025493459015516],0.8218776194467728,0.8910600021219295,0.8838633618421678,-1.0,-11.025493459015516,
24,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.65,-0.23639256838006414,[-11.850734913062414],0.837568058076225,0.8934938389562468,0.8862967776700006,-1.0,-11.850734913062414,
25,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.675,-0.08776669297444385,[-11.584479739142179],0.8216867469879519,0.8954767090094173,0.8820140055777789,-1.0,-11.584479739142179,
26,LFR_PC-True_N-1000_mu-0.1_t1-2.1_t2-1.0_kavg-6.0_kmax-31_prob-1.0_dimensions-50,1,2,"{'emb', 'imb'}",0.7,-0.1332013231837389,[-11.47321551922823],0.816710182767624,0.8868391409323303,0.8775801049340268,-1.0,-11.47321551922823,
