,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
183,LFR_gamma-2.1,1,2,"{'imb', 'deg'}",0.9249999999999999,-0.00270731401824046,[2.9604132955464775],0.6673913043478261,0.7246861766485178,0.7296592261370685,-1.0,,2.9604132955464775
184,LFR_gamma-2.1,1,2,"{'imb', 'deg'}",0.95,0.0019386919387688125,[2.838680549903651],0.6905444126074498,0.7253433208489388,0.6791784197191253,-1.0,,2.838680549903651
185,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.05,-0.5367532289877693,"[-16.232321282533, 67.75448482467816]",0.5830299192654741,0.6252532548739409,0.6379821198155544,-1.0,-16.232321282533,67.75448482467816
186,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.075,1.1121785150088481,"[-21.24921615300424, 75.9009532998783]",0.601794453507341,0.6553902828084452,0.6532670019482211,-1.0,-21.24921615300424,75.9009532998783
187,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.1,0.7515212330698228,"[-19.078853326448687, 38.86290748922632]",0.6375648101689245,0.6974568283162742,0.6982979427802006,-1.0,-19.078853326448687,38.86290748922632
188,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.125,-0.13612910536387374,"[-25.623871012664218, 39.195206183876294]",0.653310404127257,0.7179917587051841,0.7178560977930016,-1.0,-25.623871012664218,39.195206183876294
189,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.15,-0.40886017086671267,"[-27.74486432639462, 31.51825810772391]",0.6697492441757069,0.7451979802810451,0.7489517484178261,-1.0,-27.74486432639462,31.51825810772391
190,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.175,-0.29026198000007797,"[-19.909192772471734, 28.90830841860904]",0.6752841950861753,0.753968957298905,0.7626830833226557,-1.0,-19.909192772471734,28.90830841860904
191,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.2,-0.1893061867540112,"[-21.193643962236838, 22.163544002093747]",0.7014590347923682,0.7775998557838122,0.7800049658170634,-1.0,-21.193643962236838,22.163544002093747
192,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.22499999999999998,0.5542923868435786,"[-23.90282087971345, 20.368651211543916]",0.6994535519125683,0.7816044178894355,0.7834879885779513,-1.0,-23.90282087971345,20.368651211543916
193,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.25,0.3094336981135362,"[-27.13139686840013, 19.163110090131617]",0.7113113113113113,0.7904526583239598,0.790991644832473,-1.0,-27.13139686840013,19.163110090131617
194,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.27499999999999997,0.22258516925285687,"[-24.590236979740485, 18.365108701267072]",0.7038804731272048,0.7880220019091655,0.7918109541505982,-1.0,-24.590236979740485,18.365108701267072
195,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.3,0.22652464759258387,"[-21.373796402507864, 15.615779731381753]",0.7221020761245674,0.8068419056713236,0.8154203200492384,-1.0,-21.373796402507864,15.615779731381753
196,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.32499999999999996,0.07032828995874268,"[-19.770769140693524, 13.08933180776949]",0.7426834759117514,0.8228843496868274,0.8256334387568383,-1.0,-19.770769140693524,13.08933180776949
197,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.35,0.05685987637671269,"[-24.146554996520162, 13.426746539664016]",0.7394204231830727,0.8217182485137385,0.8228327779453473,-1.0,-24.146554996520162,13.426746539664016
198,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.37499999999999994,0.41400635407337083,"[-24.926298894380327, 12.158563084488305]",0.7414669571532316,0.8275491720125038,0.8254416938656239,-1.0,-24.926298894380327,12.158563084488305
199,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.39999999999999997,-0.028081157704050133,"[-22.709760185602274, 12.077264155600599]",0.7443365695792881,0.8312491323748141,0.8385629032754093,-1.0,-22.709760185602274,12.077264155600599
200,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.42499999999999993,0.03891263823684189,"[-25.48222521494596, 11.81825189292466]",0.7546777546777547,0.8351624632607193,0.8352303962288181,-1.0,-25.48222521494596,11.81825189292466
201,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.44999999999999996,-0.09234013648391283,"[-23.740600349803053, 11.172387044102095]",0.755090958457779,0.8306071817038556,0.8266834045601669,-1.0,-23.740600349803053,11.172387044102095
202,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.475,0.025744258579058443,"[-21.46327674520259, 9.60622419972395]",0.758852794849283,0.8420439401569733,0.8432573144515946,-1.0,-21.46327674520259,9.60622419972395
203,LFR_gamma-2.1,1,2,"{'imb', 'emb', 'deg'}",0.49999999999999994,0.35714880165838253,"[-22.73871757280592, 8.270783410490328]",0.7664473684210527,0.8557973599204047,0.8612993440454361,-1.0,-22.73871757280592,8.270783410490328
