accuracy,auroc,pr,method,theta,mu
,,,N2V,0.15,0.3
0.7119022701658348,0.7892584633957975,0.7889378569397255,ISOMAP,0.25,0.3
0.6635707939451131,0.7267369615424456,0.7193928813157555,ISOMAP,0.1,0.2
0.6970928823167434,0.7708634940860273,0.7684814760555775,ISOMAP,0.2,0.3
,,,N2V,0.05,0.5
0.9096081178618435,0.9720394867006062,0.9730789228864148,LE,0.65,0.1
,,,N2V,0.1,0.5
0.7299098876681891,0.8146828844699017,0.8164029775499171,ISOMAP,0.35,0.3
,,,N2V,0.25,0.2
,,,N2V,0.15,0.2
0.6266969276678015,0.670462966339666,0.6525115529183785,ISOMAP,0.05,0.5
0.7940090536143726,0.884472452381963,0.8881791260977087,ISOMAP,0.3,0.1
0.7220412667625322,0.8066961467214085,0.8126855520378116,ISOMAP,0.25,0.2
,,,N2V,0.25,0.4
,,,N2V,0.2,0.2
0.7866451876988895,0.8730821391350623,0.8741843964616235,N2V,0.25,0.1
0.7537347355445125,0.8457832386764089,0.8510199047818938,ISOMAP,0.35,0.2
0.709189088683499,0.7846539769125707,0.7816990231579896,ISOMAP,0.35,0.4
0.6243928199819088,0.6690661529096692,0.6512494213955587,ISOMAP,0.05,0.5
0.6884690713236494,0.7593311491779497,0.7575141942802662,ISOMAP,0.25,0.4
,,,N2V,0.2,0.5
,,,N2V,0.15,0.3
,,,N2V,0.35,0.5
,,,N2V,0.25,0.5
0.6878760529482552,0.7594356978708932,0.7574145923980905,ISOMAP,0.2,0.3
,,,N2V,0.25,0.5
0.6560980578942441,0.7134628615638885,0.700654142679174,ISOMAP,0.1,0.4
,,,N2V,0.1,0.5
0.8441826618069637,0.9234157090250428,0.9228899263981192,N2V,0.6,0.1
0.6868559705320091,0.7564752924732755,0.7528854151240241,ISOMAP,0.25,0.4
,,,N2V,0.35,0.3
,,,N2V,0.1,0.4
0.6777727430231628,0.7444124912523755,0.737850544366198,ISOMAP,0.25,0.5
,,,N2V,0.15,0.3
,,,N2V,0.1,0.2
0.6233792983252969,0.668595227968431,0.6516025802147065,ISOMAP,0.05,0.4
0.8763400648217402,0.9606891114858818,0.9623815129815443,ISOMAP,0.9,0.1
0.6742247000846234,0.7379885824099697,0.7280184941294481,ISOMAP,0.2,0.5
,,,N2V,0.35,0.4
0.69786064379388,0.7696757656850164,0.7645854728099173,ISOMAP,0.25,0.4
,,,N2V,0.15,0.4
0.6612263216371388,0.7218202371278155,0.7114445298208656,ISOMAP,0.1,0.3
0.6605226960110041,0.7193925944190482,0.7086250315763656,ISOMAP,0.15,0.5
,,,N2V,0.2,0.4
,,,N2V,0.05,0.4
0.6733251038042868,0.7371088786482671,0.7282545834256959,ISOMAP,0.2,0.5
0.7054001057400802,0.7820411043679829,0.7803701831358546,ISOMAP,0.25,0.3
0.7281901066627815,0.8122442857872044,0.8152872956591135,ISOMAP,0.35,0.3
0.8874431644591413,0.9604423867014336,0.9618590277006349,LE,0.45,0.1
0.6270479408482725,0.6725921284267384,0.6550980738227944,ISOMAP,0.05,0.4
,,,N2V,0.2,0.3
0.6254351950299164,0.6710595315515181,0.6546319833743287,ISOMAP,0.05,0.4
0.665633340418999,0.7271233705148807,0.7188916551249578,ISOMAP,0.15,0.4
0.6594377367843359,0.7176179703497154,0.7051085632580236,ISOMAP,0.15,0.5
0.7296886208453998,0.8140065681875815,0.8158353626946097,ISOMAP,0.25,0.2
0.6639836916480631,0.7270713826132922,0.7207827116481397,ISOMAP,0.1,0.2
0.6511157659544756,0.7068032349443574,0.6967269197746073,ISOMAP,0.1,0.4
,,,N2V,0.25,0.3
0.7151036391036885,0.7940260080102616,0.7950362852285124,ISOMAP,0.2,0.2
0.7990804922902816,0.885964064810091,0.8876710913325417,N2V,0.3,0.1
,,,N2V,0.2,0.3
0.686480675286932,0.7590416798081313,0.7596922678910374,ISOMAP,0.15,0.2
,,,N2V,0.1,0.3
,,,N2V,0.1,0.3
,,,N2V,0.1,0.4
,,,N2V,0.25,0.5
0.6252776754224352,0.6741001429169509,0.6609926007929067,ISOMAP,0.05,0.3
,,,N2V,0.25,0.5
0.7334248278790452,0.8168081167023087,0.8189177443800528,ISOMAP,0.35,0.3
,,,N2V,0.25,0.2
0.7593088473372055,0.84980511046628,0.8549849866839825,ISOMAP,0.35,0.2
0.8208030855638029,0.9081422836802948,0.9104857704664018,LE,0.15,0.1
0.6820022447677105,0.7521599540823026,0.7504463773081002,ISOMAP,0.1,0.1
0.7645780070727637,0.8531156385388935,0.8551129030086151,ISOMAP,0.35,0.2
,,,N2V,0.2,0.4
,,,N2V,0.05,0.5
,,,N2V,0.25,0.3
0.8445633252664204,0.9236212468274364,0.9241246483790736,N2V,0.65,0.1
0.6855542598678398,0.7561192842065458,0.754547001085152,ISOMAP,0.15,0.2
,,,N2V,0.2,0.2
,,,N2V,0.1,0.3
,,,N2V,0.35,0.2
0.6947727457611361,0.768511080399144,0.7665817435921304,ISOMAP,0.15,0.2
0.6519045598099574,0.7077582383624749,0.6955046420589318,ISOMAP,0.1,0.5
,,,N2V,0.1,0.5
,,,N2V,0.35,0.4
0.7230711615496245,0.8075021192532632,0.8087216778722984,ISOMAP,0.25,0.2
