,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,log_penalty,coef_emb,coef_deg
87,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.37499999999999994,-0.20638187105384154,"[-5870.728792036642, 11.464148861626544]",0.7194947569113441,0.8044301938215477,0.804869845707075,-1.0,-5870.728792036642,11.464148861626544
88,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.39999999999999997,-0.20431617726560347,"[-6146.32345239188, 11.428978697774303]",0.7211750305997552,0.793943765903674,0.7926452191187578,-1.0,-6146.32345239188,11.428978697774303
89,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.42499999999999993,-0.15188531835162786,"[-6405.635511635948, 11.352400216394864]",0.717534108135422,0.7913003023008726,0.7917525804983899,-1.0,-6405.635511635948,11.352400216394864
90,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.44999999999999996,0.07350391162684625,"[-6458.132841689111, 11.735525892447834]",0.712737843551797,0.7969915633031623,0.7965900529915352,-1.0,-6458.132841689111,11.735525892447834
91,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.475,-0.1320582005658982,"[-5988.213553032037, 12.578651796117565]",0.7296161389745026,0.8066613323920893,0.8012301277138849,-1.0,-5988.213553032037,12.578651796117565
92,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.49999999999999994,-0.016655310531992606,"[-5253.910635354712, 8.611602094840963]",0.7243514150943396,0.8069086163677501,0.8013722909127897,-1.0,-5253.910635354712,8.611602094840963
93,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.525,-0.04360260212606656,"[-5345.190379645746, 11.037573103039868]",0.7237282972890648,0.8106803576055011,0.8092363948202721,-1.0,-5345.190379645746,11.037573103039868
94,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.5499999999999999,-0.16999553145088908,"[-5355.383330274879, 10.064596767693448]",0.7284033613445379,0.8115803298722688,0.8147587421722998,-1.0,-5355.383330274879,10.064596767693448
95,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.575,0.03621448670376011,"[-6003.074407822292, 10.01467000184244]",0.7417824466282616,0.8221528681968249,0.8213793004205103,-1.0,-6003.074407822292,10.01467000184244
96,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.6,0.011562566162582454,"[-5012.7283573447785, 8.08104156726888]",0.7306835066864784,0.8150404046927846,0.8191237640684758,-1.0,-5012.7283573447785,8.08104156726888
97,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.625,-0.09044467198567174,"[-5204.61804065374, 9.326334904605014]",0.7336144116519739,0.8072827047662031,0.8005476523792057,-1.0,-5204.61804065374,9.326334904605014
98,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.65,0.04882414008400183,"[-4651.06761650406, 8.072281460273647]",0.7305414551607445,0.8119185247141318,0.811654451102589,-1.0,-4651.06761650406,8.072281460273647
99,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.675,0.02499303472051835,"[-5267.856907139761, 8.326884330286582]",0.7375790424570913,0.8203623306675372,0.821631874132318,-1.0,-5267.856907139761,8.326884330286582
100,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.7,0.23259767476660936,"[-4341.526152490724, 8.366185645110374]",0.7382352941176471,0.8221534323689179,0.8271033754444626,-1.0,-4341.526152490724,8.366185645110374
101,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.725,-0.16690017597783352,"[-4445.324453907471, 8.73351278401188]",0.7260940032414911,0.7969430325341506,0.7824452902449253,-1.0,-4445.324453907471,8.73351278401188
102,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.75,-0.14715677516876327,"[-4050.1144507048894, 8.03819828395858]",0.7479091995221028,0.8170516847515705,0.8130276307903597,-1.0,-4050.1144507048894,8.03819828395858
103,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.775,0.06204549856410319,"[-4010.4768268444136, 8.118423035074358]",0.7350374064837906,0.8066463233221024,0.8160885779889147,-1.0,-4010.4768268444136,8.118423035074358
104,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.7999999999999999,-0.006383446937947942,"[-4192.249656023069, 8.85191514824438]",0.7222222222222222,0.8019637164551092,0.7994411703794655,-1.0,-4192.249656023069,8.85191514824438
105,LFR_gamma-2.9,1,2,"{'emb', 'deg', 'imb'}",0.825,0.09927653893950172,"[-3895.696907090089, 8.987239834669648]",0.7055369127516778,0.7856889464496876,0.7879210013685352,-1.0,-3895.696907090089,8.987239834669648
