,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
56,london,1,2,"{'deg', 'emb', 'imb'}",0.14,0.7605244188555611,[0.35338912 2.7926855 ],0.8145896656534954,0.6761792452830189,0.894543579638041
57,london,1,2,"{'deg', 'emb', 'imb'}",0.22999999999999998,0.4177076021096266,[0.58693248 3.53861795],0.9024390243902439,0.8227816550348953,0.9463960682839065
58,london,1,2,"{'deg', 'emb', 'imb'}",0.32,0.40729844459982195,[0.81356904 3.78861067],0.9,0.8785242637040143,0.9654156620437919
59,london,1,2,"{'deg', 'emb', 'imb'}",0.41,0.6519153795458507,[0.7037338  3.80600819],0.8908296943231441,0.9216183574879228,0.9783106938150401
60,london,1,2,"{'deg', 'emb', 'imb'}",0.49999999999999994,0.3272501549994603,[0.78633474 3.93381865],0.9141414141414141,0.9620065789473684,0.9905366683054212
61,london,1,2,"{'deg', 'emb', 'imb'}",0.5900000000000001,0.3126556842910386,[0.88930142 4.06753532],0.9349112426035503,0.9616643291257597,0.9910180261962429
62,london,1,2,"{'deg', 'emb', 'imb'}",0.68,0.41778944955330183,[0.80819663 4.01271218],0.9186991869918699,0.9595559080095163,0.9884482795964518
63,london,1,2,"{'deg', 'emb', 'imb'}",0.77,-0.08772431007530766,[1.14615867 4.05050687],0.9878048780487805,1.0,1.0
64,london,1,2,"{'deg', 'emb', 'imb'}",0.86,0.18754232700980739,[0.8083483  4.08984294],0.9464285714285714,0.9878787878787878,0.9969752317837316
65,london,1,2,"{'deg', 'emb', 'imb'}",0.95,0.2504295795089755,[0.86026648 4.10086871],1.0,1.0,1.0
