,theta,d_G,d_H,edge,ground_truth_aprx,classification,correct,inverse,negexp
4106,0.62,6.70527,8.19265,"(36, 37)",1,1,True,0.54991907,0.8156847
4107,0.62,6.026087,6.299471,"(41, 42)",1,1,True,0.5110901,0.56792355
4108,0.62,6.6296616,7.271064,"(43, 44)",1,1,True,0.5230708,0.65507036
4109,0.62,6.651238,8.355494,"(48, 47)",1,1,True,0.556783,0.8460897
4110,0.62,6.771781,8.452428,"(49, 48)",1,1,True,0.5551965,0.84299016
4111,0.62,5.749386,7.904575,"(50, 51)",1,1,True,0.5789218,0.8961527
4112,0.62,6.861725,8.799994,"(52, 51)",1,1,True,0.5618792,0.87416196
4113,0.62,5.4355464,8.254132,"(52, 53)",1,1,True,0.6029456,0.94367194
4114,0.62,3.6719043,7.8721633,"(53, 54)",1,1,True,0.68192285,0.98522973
4115,0.62,5.049733,7.782931,"(55, 54)",1,1,True,0.6064938,0.9389574
4116,0.62,6.7079577,8.707224,"(56, 55)",1,1,True,0.56484735,0.88072
4117,0.62,7.9189773,8.130645,"(56, 57)",1,1,True,0.5065942,0.5527202
4118,0.62,7.7533455,7.6281314,"(58, 57)",1,0,False,0.4959297,0.4687373
4119,0.62,6.0913887,6.7928095,"(58, 59)",1,1,True,0.5272202,0.6685027
4120,0.62,6.666311,7.6253133,"(61, 60)",1,1,True,0.5335512,0.722922
4121,0.62,6.9249654,7.997241,"(62, 61)",1,1,True,0.5359289,0.74502945
4122,0.62,7.291257,7.4381094,"(66, 65)",1,1,True,0.50498503,0.53664726
4123,0.62,5.7617126,7.9723163,"(67, 66)",1,1,True,0.5804791,0.9011977
4124,0.62,7.181595,3.7792923,"(68, 69)",1,0,False,0.34479803,0.032223582
4125,0.62,5.71713,7.675557,"(72, 71)",1,1,True,0.5731155,0.8763626
4126,0.62,6.1582627,7.19695,"(80, 79)",1,1,True,0.5388869,0.7385966
4127,0.62,5.1273804,7.0100613,"(83, 84)",1,1,True,0.5775567,0.8679187
4128,0.62,5.350091,6.8092113,"(89, 90)",1,1,True,0.5600002,0.8113981
4129,0.62,6.4962754,6.908115,"(92, 93)",1,1,True,0.51536214,0.6015289
4130,0.62,6.4160123,7.663883,"(93, 94)",1,1,True,0.5443139,0.77693105
4131,0.62,6.807348,8.195151,"(96, 95)",1,1,True,0.5462524,0.80024135
4132,0.62,7.518162,7.4687204,"(97, 96)",1,0,False,0.4983505,0.4876422
4133,0.62,5.9382515,5.6160364,"(98, 99)",1,0,False,0.48605645,0.420136
4134,0.62,7.280023,7.49293,"(48, 65)",0,1,False,0.50720596,0.55302656
4135,0.62,7.936634,6.5521646,"(65, 92)",0,0,True,0.4522228,0.20029214
4136,0.62,7.004364,6.3757567,"(92, 82)",0,0,True,0.47650966,0.34782642
4137,0.62,6.8236685,6.962822,"(95, 72)",0,1,False,0.5050468,0.53473234
4138,0.62,7.4874644,8.337704,"(52, 95)",0,1,False,0.5268635,0.7006174
4139,0.62,6.9442606,8.312833,"(55, 52)",0,1,False,0.54485035,0.79714936
4140,0.62,7.0544844,5.6870956,"(90, 85)",0,0,True,0.44634148,0.20304206
4141,0.62,6.209822,7.457596,"(66, 90)",0,1,False,0.54564774,0.7769142
4142,0.62,7.761195,6.0127134,"(29, 75)",0,0,True,0.4365292,0.14823881
4143,0.62,7.652088,5.40967,"(75, 41)",0,0,True,0.41416094,0.096005455
4144,0.62,7.171544,6.671077,"(70, 51)",0,0,True,0.48192295,0.3774309
4145,0.62,7.1564217,6.1005316,"(60, 40)",0,0,True,0.460176,0.25809562
4146,0.62,7.03636,5.617484,"(31, 12)",0,0,True,0.443935,0.19483788
4147,0.62,6.0351396,4.8460617,"(13, 34)",0,0,True,0.4453609,0.23342389
4148,0.62,6.8693967,3.5099208,"(39, 69)",0,0,True,0.3381649,0.03358623
4149,0.62,7.7350807,3.019281,"(68, 76)",0,0,True,0.28074944,0.008873262
4150,0.62,6.839432,4.1391006,"(45, 10)",0,0,True,0.37701768,0.062953815
4151,0.62,6.7227597,6.016847,"(16, 9)",0,0,True,0.4722946,0.33050263
4152,0.62,6.6141677,6.771337,"(21, 80)",0,1,False,0.5058709,0.53921163
4153,0.62,7.3415694,5.7436786,"(58, 73)",0,0,True,0.43894303,0.16827661
4154,0.62,6.925369,7.893129,"(61, 37)",0,1,False,0.53265375,0.72467285
4155,0.62,5.9427443,6.4379716,"(23, 27)",0,1,False,0.52,0.62133706
4156,0.62,7.4295077,6.4831347,"(19, 94)",0,0,True,0.46598873,0.2796148
4157,0.62,6.7306895,5.944479,"(57, 19)",0,0,True,0.46898618,0.31298292
4158,0.62,5.638491,5.4752684,"(57, 20)",0,0,True,0.49265674,0.45928466
4159,0.62,6.6679816,4.6884475,"(3, 63)",0,0,True,0.41284522,0.121368505
4160,0.62,7.3476753,6.411963,"(46, 84)",0,0,True,0.46599793,0.28176725
4161,0.62,9.071952,5.5862136,"(46, 97)",0,0,True,0.3810991,0.029720757
4162,0.62,9.230493,5.7334785,"(74, 97)",0,0,True,0.3831522,0.029397309
4163,0.62,7.3951044,6.0547085,"(24, 74)",0,0,True,0.4501705,0.20744497
4164,0.62,7.6340804,7.6159425,"(62, 32)",0,0,True,0.4994053,0.49546564
4165,0.62,9.016341,5.975827,"(32, 18)",0,0,True,0.39859658,0.045628782
4166,0.62,8.108112,2.971494,"(18, 78)",0,0,True,0.2681949,0.0058431886
4167,0.62,7.325045,6.420822,"(44, 25)",0,0,True,0.46710923,0.28818345
4168,0.62,7.190345,6.0374475,"(7, 44)",0,0,True,0.45642138,0.23996027
4169,0.62,6.5899205,6.553144,"(4, 56)",0,0,True,0.49860087,0.49080694
4170,0.62,8.030306,6.9121823,"(98, 30)",0,0,True,0.46258575,0.24635948
4171,0.62,7.2171464,6.7171216,"(98, 15)",0,0,True,0.48205778,0.37753484
4172,0.62,6.8173313,6.9849434,"(5, 49)",0,1,False,0.50607187,0.5418052
4173,0.62,6.4828415,8.337702,"(79, 36)",0,1,False,0.5625773,0.86469674
4174,0.64,7.115341,6.681509,"(0, 1)",1,0,False,0.48427787,0.39321166
4175,0.64,5.736939,7.176854,"(99, 0)",0,1,False,0.5557511,0.8084415
4176,0.64,3.1588926,5.1248918,"(9, 10)",1,1,True,0.6186656,0.87718076
4177,0.64,3.9377766,6.888086,"(12, 11)",1,1,True,0.6362621,0.95027816
4178,0.64,5.953405,7.763067,"(16, 17)",1,1,True,0.5659667,0.859321
4179,0.64,7.199897,7.246326,"(21, 20)",1,1,True,0.501607,0.5116052
4180,0.64,7.114806,6.627125,"(24, 25)",1,0,False,0.4822557,0.38043994
4181,0.64,4.5916414,7.686952,"(31, 30)",1,1,True,0.626045,0.9566989
4182,0.64,5.7635317,7.52558,"(31, 32)",1,1,True,0.56629664,0.85346603
4183,0.64,6.4619174,3.674532,"(34, 33)",1,0,False,0.36250684,0.058009658
4184,0.64,6.8729095,6.5030828,"(39, 38)",1,0,False,0.48617572,0.40858293
4185,0.64,6.7471404,6.8863816,"(41, 42)",1,1,True,0.50510657,0.53475416
4186,0.64,6.5456743,7.1383395,"(46, 45)",1,1,True,0.5216554,0.64397645
4187,0.64,6.9852324,7.3880153,"(48, 47)",1,1,True,0.51401156,0.59935606
4188,0.64,8.472387,6.9635067,"(52, 51)",1,0,False,0.45112425,0.18110475
4189,0.64,8.0259495,6.312569,"(53, 54)",1,0,False,0.44025254,0.15272579
4190,0.64,4.6206,7.392095,"(56, 55)",1,1,True,0.6153569,0.9411159
4191,0.64,3.4478414,6.2124777,"(58, 57)",1,1,True,0.6430924,0.9407346
4192,0.64,5.250959,7.4742227,"(65, 64)",1,1,True,0.58735687,0.90231925
4193,0.64,4.7501698,7.5208764,"(66, 65)",1,1,True,0.6128961,0.9410722
4194,0.64,6.597123,6.8081517,"(68, 67)",1,1,True,0.5078711,0.55256224
4195,0.64,5.9212995,5.535228,"(68, 69)",1,0,False,0.48315057,0.40466332
4196,0.64,5.243929,8.191749,"(71, 70)",1,1,True,0.60970116,0.9501603
4197,0.64,3.5778291,7.598588,"(72, 71)",1,1,True,0.6798769,0.9823768
4198,0.64,6.754215,6.3859143,"(75, 76)",1,0,False,0.48598564,0.4089518
4199,0.64,5.9093437,5.9465218,"(80, 81)",1,1,True,0.50156796,0.50929344
4200,0.64,6.678355,8.324042,"(83, 82)",1,1,True,0.5548474,0.8383073
4201,0.64,5.556172,8.416085,"(83, 84)",1,1,True,0.6023426,0.9458289
4202,0.64,4.524109,8.21111,"(85, 84)",1,1,True,0.6447561,0.975565
4203,0.64,6.024223,8.127981,"(85, 86)",1,1,True,0.5743262,0.89126796
4204,0.64,7.630555,7.3036513,"(88, 89)",1,0,False,0.4890552,0.4189942
4205,0.64,4.093265,6.2988334,"(92, 91)",1,1,True,0.60611755,0.9007485
4206,0.64,5.048671,7.0031276,"(95, 94)",1,1,True,0.5810857,0.8759318
4207,0.64,6.157256,7.6162853,"(96, 95)",1,1,True,0.5529649,0.81138414
4208,0.64,8.147261,5.336071,"(48, 43)",0,0,True,0.39575318,0.056722496
4209,0.64,7.2553544,7.98461,"(42, 82)",0,1,False,0.5239258,0.6746419
4210,0.64,6.840803,6.894076,"(52, 95)",0,1,False,0.50193936,0.513315
4211,0.64,6.824649,7.5365367,"(75, 41)",0,1,False,0.52478516,0.6708181
4212,0.64,7.83087,6.75957,"(51, 47)",0,0,True,0.46328762,0.25515592
4213,0.64,7.508188,6.640159,"(70, 51)",0,0,True,0.46932405,0.29566467
4214,0.64,5.888563,7.8746047,"(31, 38)",0,1,False,0.5721506,0.8793237
4215,0.64,8.200917,5.3570743,"(88, 35)",0,0,True,0.395123,0.055000458
4216,0.64,6.605649,3.7991285,"(35, 13)",0,0,True,0.36513308,0.05697284
4217,0.64,5.668813,3.7877636,"(13, 34)",0,0,True,0.4005428,0.13226837
4218,0.64,6.4619174,3.674532,"(34, 33)",1,0,False,0.36250684,0.058009658
4219,0.64,7.7008348,5.0806603,"(33, 53)",0,0,True,0.39750126,0.06785126
4220,0.64,7.6256843,6.892068,"(53, 39)",0,0,True,0.47473386,0.32440165
4221,0.64,6.8979783,6.44721,"(68, 76)",0,0,True,0.48311117,0.3891781
4222,0.64,8.086738,7.146351,"(45, 76)",0,0,True,0.46913344,0.28082222
4223,0.64,6.8802586,6.546041,"(21, 80)",0,0,True,0.48755363,0.4172148
4224,0.64,6.470645,4.741189,"(61, 37)",0,0,True,0.42287365,0.15065716
4225,0.64,7.760301,7.535339,"(89, 0)",0,0,True,0.4926462,0.44399545
4226,0.64,7.5151877,5.948312,"(89, 23)",0,0,True,0.4418102,0.17266221
4227,0.64,6.3683653,5.358244,"(20, 59)",0,0,True,0.45693037,0.2669561
4228,0.64,6.735331,5.1767364,"(54, 3)",0,0,True,0.43457916,0.1738484
4229,0.64,6.329883,4.918958,"(93, 67)",0,0,True,0.43728575,0.19608822
4230,0.64,6.58048,5.8214064,"(50, 64)",0,0,True,0.46939683,0.3188474
4231,0.64,6.943533,5.37907,"(46, 97)",0,0,True,0.4365206,0.17300716
4232,0.64,6.242466,6.944879,"(86, 17)",0,1,False,0.52663213,0.66872257
4233,0.64,7.9543395,7.407787,"(25, 83)",0,0,True,0.48221102,0.36666453
4234,0.64,8.637217,5.326942,"(44, 25)",0,0,True,0.38147244,0.035220385
4235,0.64,7.2034445,4.1743507,"(7, 44)",0,0,True,0.36688575,0.046128687
4236,0.64,7.8529396,3.5120127,"(26, 5)",0,0,True,0.30902132,0.012856995
4237,0.64,8.51483,4.1830316,"(5, 49)",0,0,True,0.32942802,0.012973372
4238,0.64,8.0817,3.222841,"(14, 49)",0,0,True,0.2850926,0.007699587
4239,0.64,6.4430456,5.2619867,"(1, 22)",0,0,True,0.44954908,0.23486187
4240,0.64,8.25312,4.74758,"(79, 36)",0,0,True,0.36517876,0.029155001
4241,0.64,8.97696,3.8275464,"(43, 36)",0,0,True,0.29892182,0.0057693277
4242,0.66,7.939602,6.598623,"(0, 1)",1,0,False,0.45388094,0.20734906
4243,0.66,4.3056827,7.429974,"(4, 5)",1,1,True,0.63311106,0.95788366
4244,0.66,3.245083,7.714345,"(6, 5)",1,1,True,0.70390034,0.9886739
4245,0.66,5.172084,6.4439535,"(12, 11)",1,1,True,0.55474627,0.7810626
