,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
2272,1000,50.0,5.0,0.2,-0.005764319815897545,12.044910349844084,0.8913561778317984,0.636787259452527,0.9250177545935017,0.1461109619999661,0.14611172676086426,23925.0,2899.0,47.85,5.798,52.512,43.918
2273,1000,50.0,5.0,0.30000000000000004,-0.8833565995748877,11.28236417748811,0.8923175143647585,0.6331284435563849,0.9231774144862539,0.15079136900021695,0.15079259872436523,23925.0,2899.0,47.85,5.798,51.908,39.332
2274,1000,50.0,5.0,0.4,-1.4973032543504032,9.873739416838712,0.8921884686918785,0.6525964841325947,0.9261185590155643,0.2103409209998972,0.2103421688079834,23925.0,2899.0,47.85,5.798,51.354,34.554
2275,1000,50.0,5.0,0.5,-2.180711418818861,9.064289808351326,0.8933034044145155,0.6709753343307232,0.9296398481597559,0.18622194899990063,0.18622303009033203,23925.0,2899.0,47.85,5.798,50.722,29.656
2276,1000,50.0,5.0,0.6000000000000001,-2.7717802624969408,8.409175312368767,0.8939804013065795,0.663634491692993,0.9291655603814643,0.1928052379998917,0.19280648231506348,23925.0,2899.0,47.85,5.798,50.15,24.928
2277,1000,50.0,5.0,0.7000000000000001,-3.629600926161231,8.320863766935515,0.891558764940239,0.6555014780796877,0.9208367322960617,0.1837859280003613,0.18378686904907227,23925.0,2899.0,47.85,5.798,49.624,20.088
2278,1000,50.0,5.0,0.8,-4.8452824165035215,8.779818879093597,0.890177736202058,0.6559335751122177,0.9205789883086034,0.21508876999996573,0.2150895595550537,23925.0,2899.0,47.85,5.798,49.022,15.316
2279,1000,50.0,5.0,0.9,-7.024738138499855,10.287624600443433,0.8827639751552795,0.6747105784377316,0.9144964136053835,0.32173273400030666,0.3217339515686035,23925.0,2899.0,47.85,5.798,48.458,10.342
2280,1000,50.0,5.0,,,,,,,,,,,,,,
2281,1000,50.0,5.0,0.1,1.34591997025044,8.387075837101342,0.8919776954699011,0.581068391079393,0.9141880585344357,0.16164278000042032,0.16164374351501465,24375.0,2943.0,48.75,5.886,54.058,49.716
2282,1000,50.0,5.0,0.2,-0.12023007351398915,12.526605135614155,0.8921022334791618,0.6291329764859879,0.9236317945271849,0.1631439629995839,0.1631455421447754,24375.0,2943.0,48.75,5.886,53.436,44.63
2283,1000,50.0,5.0,0.30000000000000004,-1.1842895717493407,12.803827105318373,0.8909903356541619,0.6452185689124634,0.9261397831055255,0.15645164600027783,0.15645265579223633,24375.0,2943.0,48.75,5.886,52.94,40.188
2284,1000,50.0,5.0,0.4,-1.8199956451407153,10.767576864400706,0.8919001778159299,0.645758784023055,0.926334550692435,0.1733287680003741,0.17333030700683594,24375.0,2943.0,48.75,5.886,52.256,34.998
2285,1000,50.0,5.0,0.5,-2.399806766747324,9.61969327775665,0.8944984291663622,0.6644686447804408,0.9291332232764298,0.18689610199999152,0.18689727783203125,24375.0,2943.0,48.75,5.886,51.686,30.324
2286,1000,50.0,5.0,0.6000000000000001,-3.001102592157488,8.73253807383355,0.891416944136145,0.6657945242103326,0.9251989476980516,0.17485953000004884,0.17486047744750977,24375.0,2943.0,48.75,5.886,51.128,25.132
2287,1000,50.0,5.0,0.7000000000000001,-3.6634379761010827,8.383907926437058,0.8899550589092676,0.6781157173643252,0.9263677559432039,0.1733598640003038,0.17336106300354004,24375.0,2943.0,48.75,5.886,50.58,20.522
2288,1000,50.0,5.0,0.8,-4.891505597117936,8.848910474380439,0.8936597843961265,0.6632012918810292,0.9288807611534866,0.16806465599984222,0.16806578636169434,24375.0,2943.0,48.75,5.886,49.878,15.704
2289,1000,50.0,5.0,0.9,-7.078449129394887,10.367422105478786,0.884543061301241,0.6755007542742207,0.9186238230383574,0.1678602229999342,0.1678614616394043,24375.0,2943.0,48.75,5.886,49.358,10.596
2290,1000,50.0,5.0,,,,,,,,,,,,,,
2291,1000,50.0,5.0,0.1,1.4713210184128784,7.832952552613223,0.9001886262391139,0.5681711551875369,0.919221800456635,0.15276321400006054,0.15276408195495605,24882.0,2754.0,49.764,5.508,54.738,50.368
2292,1000,50.0,5.0,0.2,0.3819075350067764,10.307100283247118,0.8996177198111086,0.5911044794893668,0.9227627976976824,0.149783221999769,0.14978408813476562,24882.0,2754.0,49.764,5.508,54.228,45.514
2293,1000,50.0,5.0,0.30000000000000004,-0.8802582030474564,11.130407788147608,0.9004936347103144,0.620570043345351,0.9272168531282621,0.15845496500014633,0.15845608711242676,24882.0,2754.0,49.764,5.508,53.594,40.168
2294,1000,50.0,5.0,0.4,-1.6869173883217545,10.380121754983724,0.9007066497553905,0.6302065015477362,0.9279710205943705,0.208631417000106,0.2086324691772461,24882.0,2754.0,49.764,5.508,53.068,35.318
2295,1000,50.0,5.0,0.5,-2.394086423173112,9.524453350136568,0.9020771513353115,0.6322248567725015,0.9293510140413328,0.22270468299984714,0.22270536422729492,24882.0,2754.0,49.764,5.508,52.472,30.434
2296,1000,50.0,5.0,0.6000000000000001,-3.2255274859296694,9.13709398807698,0.8992544098927078,0.6350466982373061,0.927599581609247,0.1979842330001702,0.19798517227172852,24882.0,2754.0,49.764,5.508,51.936,25.332
2297,1000,50.0,5.0,0.7000000000000001,-4.09666906915959,8.96424823666824,0.8972602739726028,0.6419700780819487,0.9227129809333467,0.21866397100029644,0.21866488456726074,24882.0,2754.0,49.764,5.508,51.502,20.414
2298,1000,50.0,5.0,0.8,-5.196723642510437,9.160765181874432,0.9016721192293712,0.6433659311391501,0.9293617164315113,0.20374932499998977,0.2037503719329834,24882.0,2754.0,49.764,5.508,50.848,15.428
2299,1000,50.0,5.0,0.9,-7.623723917481214,10.961849717743721,0.8926776740847092,0.6493265086206896,0.9135335371086515,0.20981795600027908,0.20981955528259277,24882.0,2754.0,49.764,5.508,50.344,10.5
2300,1000,50.0,10.0,,,,,,,,,,,,,,
2301,1000,50.0,10.0,0.1,0.8078954824862563,11.239363790415096,0.8489652806890506,0.607702846998228,0.8885281070330472,0.16374247699968691,0.1637434959411621,24772.0,4404.0,49.544,8.808,57.47,53.36
2302,1000,50.0,10.0,0.2,-0.41038914400394516,14.030845335140754,0.8476602673980117,0.6429212848312824,0.895767003443311,0.16171243200005847,0.1617133617401123,24772.0,4404.0,49.544,8.808,56.634,48.39
2303,1000,50.0,10.0,0.30000000000000004,-1.2794501941982297,12.798876039978568,0.847822885474449,0.6569262384777868,0.9003142356932642,0.1716422300000886,0.17164325714111328,24772.0,4404.0,49.544,8.808,55.712,43.382
2304,1000,50.0,10.0,0.4,-1.6865984141906118,10.671067729857242,0.8447971781305115,0.6595735698748658,0.895625656238834,0.16561807500011128,0.1656193733215332,24772.0,4404.0,49.544,8.808,54.986,38.52
