,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr
49,london,1,2,{'emb'},0.41,0.0,[0.],0.16355140186915887,0.5,0.9182242990654206
50,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.1919191919191919,0.5,0.904040404040404
51,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.17964071856287425,0.5,0.9101796407185629
52,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.1912568306010929,0.5,0.9043715846994536
53,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.2073170731707317,0.5,0.8963414634146342
54,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.20430107526881722,0.5,0.8978494623655914
55,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.1896551724137931,0.5,0.9051724137931034
56,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.1488095238095238,0.5,0.9255952380952381
57,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.20320855614973263,0.5,0.8983957219251337
58,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.2,0.5,0.9
59,london,1,2,{'emb'},0.49999999999999994,0.0,[0.],0.17326732673267325,0.5,0.9133663366336633
60,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.1834319526627219,0.5,0.908284023668639
61,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.18238993710691823,0.5,0.9088050314465409
62,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.1592356687898089,0.5,0.9203821656050956
63,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.19205298013245034,0.5,0.9039735099337749
64,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.18471337579617833,0.5,0.9076433121019108
65,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.175,0.5,0.9125
66,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.2064516129032258,0.5,0.896774193548387
67,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.20422535211267606,0.5,0.897887323943662
68,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.20121951219512196,0.5,0.899390243902439
69,london,1,2,{'emb'},0.5900000000000001,0.0,[0.],0.19480519480519481,0.5,0.9025974025974026
70,london,1,2,{'emb'},0.68,0.0,[0.],0.21138211382113822,0.5,0.8943089430894309
71,london,1,2,{'emb'},0.68,0.0,[0.],0.1834862385321101,0.5,0.908256880733945
72,london,1,2,{'emb'},0.68,0.0,[0.],0.2184873949579832,0.5,0.8907563025210083
73,london,1,2,{'emb'},0.68,0.0,[0.],0.17796610169491525,0.5,0.9110169491525424
74,london,1,2,{'emb'},0.68,0.0,[0.],0.17796610169491525,0.5,0.9110169491525424
75,london,1,2,{'emb'},0.68,0.0,[0.],0.2037037037037037,0.5,0.8981481481481481
76,london,1,2,{'emb'},0.68,0.0,[0.],0.21428571428571427,0.5,0.8928571428571428
77,london,1,2,{'emb'},0.68,0.0,[0.],0.13793103448275862,0.5,0.9310344827586207
78,london,1,2,{'emb'},0.68,0.0,[0.],0.20168067226890757,0.5,0.8991596638655462
79,london,1,2,{'emb'},0.68,0.0,[0.],0.17054263565891473,0.5,0.9147286821705427
80,london,1,2,{'emb'},0.77,0.0,[0.],0.21951219512195122,0.5,0.8902439024390244
81,london,1,2,{'emb'},0.77,0.0,[0.],0.19318181818181818,0.5,0.9034090909090908
82,london,1,2,{'emb'},0.77,0.0,[0.],0.22784810126582278,0.5,0.8860759493670887
83,london,1,2,{'emb'},0.77,0.0,[0.],0.2804878048780488,0.5,0.8597560975609756
84,london,1,2,{'emb'},0.77,0.0,[0.],0.13333333333333333,0.5,0.9333333333333333
85,london,1,2,{'emb'},0.77,0.0,[0.],0.20454545454545456,0.5,0.8977272727272727
86,london,1,2,{'emb'},0.77,0.0,[0.],0.17647058823529413,0.5,0.9117647058823529
87,london,1,2,{'emb'},0.77,0.0,[0.],0.11904761904761904,0.5,0.9404761904761905
88,london,1,2,{'emb'},0.77,0.0,[0.],0.14102564102564102,0.5,0.9294871794871795
89,london,1,2,{'emb'},0.77,0.0,[0.],0.27906976744186046,0.5,0.8604651162790697
90,london,1,2,{'emb'},0.86,0.0,[0.],0.19642857142857142,0.5,0.9017857142857143
91,london,1,2,{'emb'},0.86,0.0,[0.],0.21311475409836064,0.5,0.8934426229508197
92,london,1,2,{'emb'},0.86,0.0,[0.],0.125,0.5,0.9375
93,london,1,2,{'emb'},0.86,0.0,[0.],0.07692307692307693,0.5,0.9615384615384616
94,london,1,2,{'emb'},0.86,0.0,[0.],0.2,0.5,0.9
95,london,1,2,{'emb'},0.86,0.0,[0.],0.16666666666666666,0.5,0.9166666666666667
96,london,1,2,{'emb'},0.86,0.0,[0.],0.22950819672131148,0.5,0.8852459016393442
97,london,1,2,{'emb'},0.86,0.0,[0.],0.22033898305084745,0.5,0.8898305084745763
98,london,1,2,{'emb'},0.86,0.0,[0.],0.17073170731707318,0.5,0.9146341463414633
99,london,1,2,{'emb'},0.86,0.0,[0.],0.1111111111111111,0.5,0.9444444444444444
100,london,1,2,{'emb'},0.95,0.0,[0.],0.07692307692307693,0.5,0.9615384615384616
101,london,1,2,{'emb'},0.95,0.0,[0.],0.14285714285714285,0.5,0.9285714285714286
102,london,1,2,{'emb'},0.95,0.0,[0.],0.21428571428571427,0.5,0.8928571428571428
103,london,1,2,{'emb'},0.95,0.0,[0.],0.21052631578947367,0.5,0.8947368421052632
104,london,1,2,{'emb'},0.95,0.0,[0.],0.23529411764705882,0.5,0.8823529411764706
105,london,1,2,{'emb'},0.95,0.0,[0.],0.18518518518518517,0.5,0.9074074074074074
106,london,1,2,{'emb'},0.95,,,,,
107,london,1,2,{'emb'},0.95,0.0,[0.],0.17647058823529413,0.5,0.9117647058823529
108,london,1,2,{'emb'},0.95,0.0,[0.],0.2,0.5,0.9
109,london,1,2,{'emb'},0.95,0.0,[0.],0.16666666666666666,0.5,0.9166666666666667
