_UID,system,l1,l2,theta,accuracy,auroc,coef,intercept
24,celegans,1,2,0.25,0.6535796766743649,0.48397820965842164,-0.7786947670435628,-0.7156832138141836
25,celegans,1,2,0.3,0.6588785046728972,0.49631120460235567,-0.7988868401569895,-0.6772572955237939
26,celegans,1,2,0.3,0.6394799054373522,0.5202872640223023,-0.7116489517601814,-0.854830925235045
27,celegans,1,2,0.3,0.6414868105515588,0.4551370612321446,-0.7309392087183058,-0.813479454686795
28,celegans,1,2,0.3,0.6540803897685749,0.5000917984630314,-0.8701766042683133,-0.7172720614783225
29,celegans,1,2,0.3,0.6638349514563107,0.5162949861073529,-0.7370057747814673,-0.5674487482346686
30,celegans,1,2,0.35000000000000003,0.6591809775429326,0.482346373912639,-0.8649402155080209,-0.6737969582998448
31,celegans,1,2,0.35000000000000003,0.6496259351620948,0.4884513093289689,-0.9056957649451657,-0.7981747428408752
32,celegans,1,2,0.35000000000000003,0.6730769230769231,0.47942857142857137,-0.863040425564234,-0.5531957827431652
33,celegans,1,2,0.35000000000000003,0.6657997399219766,0.5429231517509727,-0.901020317312428,-0.6139225237837486
34,celegans,1,2,0.35000000000000003,0.6615384615384615,0.49337973987909867,-0.7439504526826579,-0.628708379695815
35,celegans,1,2,0.4,0.6643356643356644,0.47289035087719294,-0.8984160589935551,-0.6200790445999019
36,celegans,1,2,0.4,0.6533523537803139,0.49405179075242156,-0.7238920358312138,-0.6857932268919154
37,celegans,1,2,0.4,0.6633663366336634,0.5220961627865393,-0.9739921805049162,-0.6556902584085754
38,celegans,1,2,0.4,0.663923182441701,0.5411789509192108,-0.9483957275695598,-0.6507141247253885
39,celegans,1,2,0.4,0.6486111111111111,0.5206388435138085,-0.78731622454625,-0.7218636600265154
40,celegans,1,2,0.45,0.6449704142011834,0.541575879204893,-0.7407265757916035,-0.7313270255638046
41,celegans,1,2,0.45,0.6601796407185628,0.5011088135694807,-0.8688139666784934,-0.6711038171815008
42,celegans,1,2,0.45,0.6688417618270799,0.5157154872041332,-0.9439945852086539,-0.6515520095417836
43,celegans,1,2,0.45,0.6483516483516484,0.4626697077135939,-0.923787614802669,-0.7179010132959501
44,celegans,1,2,0.45,0.6788432267884322,0.48403643336529245,-0.8177641227502394,-0.544946085325032
45,celegans,1,2,0.5,0.6511226252158895,0.5377524489849517,-0.9591811190921588,-0.6821055586202591
46,celegans,1,2,0.5,0.6636528028933092,0.5334593185081011,-0.8617959805279817,-0.6442037731091309
47,celegans,1,2,0.5,0.6678023850085179,0.44953558346415484,-0.817590327646778,-0.599247054392557
48,celegans,1,2,0.5,0.6503378378378378,0.4800928540058974,-0.9769306294553857,-0.7160766785678231
49,celegans,1,2,0.5,0.6486013986013986,0.509420552225396,-0.8892911297484394,-0.6801473397505157
