system,layers,theta,auroc
celegans,2-3,0.95,0.57
celegans,2-3,0.00,0.51
celegans,2-3,0.05,0.50
celegans,2-3,0.10,0.58
celegans,2-3,0.15,0.51
celegans,2-3,0.20,0.61
celegans,2-3,0.25,0.56
celegans,2-3,0.30,0.59
celegans,2-3,0.35,0.59
celegans,2-3,0.40,0.61
celegans,2-3,0.45,0.56
celegans,2-3,0.50,0.59
celegans,2-3,0.55,0.61
celegans,2-3,0.60,0.61
celegans,2-3,0.65,0.59
celegans,2-3,0.70,0.67
celegans,2-3,0.75,0.61
celegans,2-3,0.80,0.64
celegans,2-3,0.85,0.57
celegans,2-3,0.90,0.64
celegans,2-3,0.95,0.47
celegans,2-3,0.00,0.49
celegans,2-3,0.05,0.47
celegans,2-3,0.10,0.54
celegans,2-3,0.15,0.54
celegans,2-3,0.20,0.54
celegans,2-3,0.25,0.55
celegans,2-3,0.30,0.64
celegans,2-3,0.35,0.57
celegans,2-3,0.40,0.63
celegans,2-3,0.45,0.59
celegans,2-3,0.50,0.56
celegans,2-3,0.55,0.64
celegans,2-3,0.60,0.64
celegans,2-3,0.65,0.64
celegans,2-3,0.70,0.66
celegans,2-3,0.75,0.63
celegans,2-3,0.80,0.62
celegans,2-3,0.85,0.62
celegans,2-3,0.90,0.65
celegans,2-3,0.95,0.70
celegans,2-3,0.00,0.52
celegans,2-3,0.05,0.57
celegans,2-3,0.10,0.55
celegans,2-3,0.15,0.51
celegans,2-3,0.20,0.58
celegans,2-3,0.25,0.58
celegans,2-3,0.30,0.61
celegans,2-3,0.35,0.60
celegans,2-3,0.40,0.56
celegans,2-3,0.45,0.56
celegans,2-3,0.50,0.58
celegans,2-3,0.55,0.61
celegans,2-3,0.60,0.61
celegans,2-3,0.65,0.63
celegans,2-3,0.70,0.62
celegans,2-3,0.75,0.64
celegans,2-3,0.80,0.62
celegans,2-3,0.85,0.66
celegans,2-3,0.90,0.62
celegans,2-3,0.95,0.42
celegans,2-3,0.00,0.49
celegans,2-3,0.05,0.51
celegans,2-3,0.10,0.57
celegans,2-3,0.15,0.53
celegans,2-3,0.20,0.57
celegans,2-3,0.25,0.58
celegans,2-3,0.30,0.58
celegans,2-3,0.35,0.57
celegans,2-3,0.40,0.57
celegans,2-3,0.45,0.60
celegans,2-3,0.50,0.59
celegans,2-3,0.55,0.64
celegans,2-3,0.60,0.63
celegans,2-3,0.65,0.63
celegans,2-3,0.70,0.61
celegans,2-3,0.75,0.63
celegans,2-3,0.80,0.63
celegans,2-3,0.85,0.58
celegans,2-3,0.90,0.73
celegans,2-3,0.95,0.61
london,1-2,0.00,0.53
london,1-2,0.05,0.53
london,1-2,0.10,0.46
london,1-2,0.15,0.47
london,1-2,0.20,0.50
london,1-2,0.25,0.55
london,1-2,0.30,0.54
london,1-2,0.35,0.58
london,1-2,0.40,0.53
london,1-2,0.45,0.62
london,1-2,0.50,0.46
london,1-2,0.55,0.57
london,1-2,0.60,0.64
london,1-2,0.65,0.53
london,1-2,0.70,0.60
london,1-2,0.75,0.62
london,1-2,0.80,0.66
london,1-2,0.85,0.60
london,1-2,0.90,0.54
london,1-2,0.95,0.56
london,1-2,0.00,0.49
london,1-2,0.05,0.45
london,1-2,0.10,0.46
london,1-2,0.15,0.55
london,1-2,0.20,0.53
london,1-2,0.25,0.50
london,1-2,0.30,0.56
london,1-2,0.35,0.53
london,1-2,0.40,0.66
london,1-2,0.45,0.59
london,1-2,0.50,0.64
london,1-2,0.55,0.59
london,1-2,0.60,0.52
london,1-2,0.65,0.56
london,1-2,0.70,0.53
london,1-2,0.75,0.60
london,1-2,0.80,0.52
london,1-2,0.85,0.70
london,1-2,0.90,0.52
london,1-2,0.95,0.82
london,1-2,0.00,0.50
london,1-2,0.05,0.52
london,1-2,0.10,0.53
london,1-2,0.15,0.55
london,1-2,0.20,0.61
london,1-2,0.25,0.51
london,1-2,0.30,0.44
london,1-2,0.35,0.48
london,1-2,0.40,0.56
london,1-2,0.45,0.53
london,1-2,0.50,0.53
