_UID,system,l1,l2,theta,accuracy,auroc
108,arxiv,6,7,0.15555555555555556,0.5323310271420969,0.6255428236589786
109,arxiv,6,7,0.15555555555555556,0.5406992260475046,0.6256319020937824
110,arxiv,6,7,0.2611111111111111,0.5443057018203701,0.6602638520447408
111,arxiv,6,7,0.2611111111111111,0.527016800363251,0.6480941781717309
112,arxiv,6,7,0.2611111111111111,0.5509118541033434,0.670615965521187
113,arxiv,6,7,0.2611111111111111,0.5386240193120096,0.6527009617705726
114,arxiv,6,7,0.2611111111111111,0.546328277519147,0.6763127492744305
115,arxiv,6,7,0.36666666666666664,0.5375480265455815,0.674504622183704
116,arxiv,6,7,0.36666666666666664,0.53347465112171,0.6720470748872032
117,arxiv,6,7,0.36666666666666664,0.5385306269085683,0.6890866207539437
118,arxiv,6,7,0.36666666666666664,0.5337790288529205,0.67099584938984
119,arxiv,6,7,0.36666666666666664,0.544180269694819,0.6952395003878036
120,arxiv,6,7,0.4722222222222222,0.5311386034808135,0.6774837686666376
121,arxiv,6,7,0.4722222222222222,0.5305124388688072,0.674965526906403
122,arxiv,6,7,0.4722222222222222,0.5336972496325845,0.6809433248169238
123,arxiv,6,7,0.4722222222222222,0.5281779661016949,0.6784085598401234
124,arxiv,6,7,0.4722222222222222,0.5185732376530181,0.6792410915088211
125,arxiv,6,7,0.5777777777777778,0.5141955835962145,0.6797625565846397
126,arxiv,6,7,0.5777777777777778,0.5090233545647559,0.6588812210281558
127,arxiv,6,7,0.5777777777777778,0.5142480211081795,0.6678590369040738
128,arxiv,6,7,0.5777777777777778,0.4957081545064378,0.6523085028514434
129,arxiv,6,7,0.5777777777777778,0.49780941949616647,0.6535705518844533
130,arxiv,6,7,0.6833333333333333,0.5052891396332864,0.6681847437384483
131,arxiv,6,7,0.6833333333333333,0.487215411558669,0.6470423093437263
132,arxiv,6,7,0.6833333333333333,0.4758970641536789,0.6455709203061504
133,arxiv,6,7,0.6833333333333333,0.4776282284467079,0.6472075329566855
134,arxiv,6,7,0.6833333333333333,0.48157078883913196,0.6468481030605197
135,arxiv,6,7,0.788888888888889,0.45244351024697843,0.5981991293181746
136,arxiv,6,7,0.788888888888889,0.4638585543421737,0.6142949068871794
137,arxiv,6,7,0.788888888888889,0.4620355411954766,0.5957963313081877
138,arxiv,6,7,0.788888888888889,0.4579345088161209,0.6059251861318707
139,arxiv,6,7,0.788888888888889,0.4708355228586443,0.608343518510258
140,arxiv,6,7,0.8944444444444445,0.47125256673511295,0.5476975222066386
141,arxiv,6,7,0.8944444444444445,0.3997867803837953,0.48592600853795304
142,arxiv,6,7,0.8944444444444445,0.4299706170421156,0.5154573397396776
143,arxiv,6,7,0.8944444444444445,0.45161290322580644,0.5289001406469761
144,arxiv,6,7,0.8944444444444445,0.4582463465553236,0.5347779226733835
145,arxiv,6,7,1.0,,-1.0
146,arxiv,6,7,1.0,,-1.0
147,arxiv,6,7,1.0,,-1.0
148,arxiv,6,7,1.0,,-1.0
149,arxiv,6,7,1.0,,-1.0
150,drosophila,1,2,0.05,0.39573945104465386,0.3476267745054305
151,drosophila,1,2,0.05,0.3807712755081176,0.3489180523790712
152,drosophila,1,2,0.05,0.3938501799149493,0.3667387756704315
153,drosophila,1,2,0.05,0.35976258698321734,0.35061833051563907
154,drosophila,1,2,0.05,0.3522731931291764,0.3196022164635229
155,drosophila,1,2,0.15555555555555556,0.22483576055496854,0.20236185307380788
156,drosophila,1,2,0.15555555555555556,0.21591013718810423,0.20539048390299955
157,drosophila,1,2,0.15555555555555556,0.20457498144023756,0.21768161106573497
158,drosophila,1,2,0.15555555555555556,0.21500948503215658,0.19832840619463768
159,drosophila,1,2,0.15555555555555556,0.20569270449521002,0.22558231434008755
