,system,layers,theta,embedding,accuracy,auroc,pr,intercept,coef_distances,coef_degrees,imbalance,coef_int,denominator,abs_dists,abs_degs,abs_int,norm_dists,norm_degs,old_norm_dists
10,arxiv,6-7,0.1,HOPE,0.8075319259838415,0.6401994231727723,0.3519735714467773,-0.6871036754536683,-0.630851446429291,-8.809070050473624,0.5335799977575961,-1.2877238246209852,10.7276453215239,0.630851446429291,8.809070050473624,1.2877238246209852,0.058806143149005265,0.8211559747225372,0.06229385586512672
11,arxiv,6-7,0.1,HOPE,0.7941674261163911,0.6451361961970276,0.3434464632662987,-0.5700846524993237,-0.8594300238392997,-9.336861314269376,0.5335799977575961,-1.0684145861822796,11.264705924290956,0.8594300238392997,9.336861314269376,1.0684145861822796,0.07629404882963206,0.8288597480503757,0.07982537713609665
12,arxiv,6-7,0.1,HOPE,0.7946881916417133,0.6464185677543148,0.3448476035017432,-0.5691658639468188,-0.8842667919455491,-9.346382483590611,0.5335799977575961,-1.0666926540327122,11.297341929568873,0.8842667919455491,9.346382483590611,1.0666926540327122,0.07827211015284322,0.8273080997157432,0.08187795629137795
13,arxiv,6-7,0.1,HOPE,0.7891307181024371,0.6578654221378474,0.3407394470094008,-0.5793824532671358,-1.220453044858265,-8.852640508501848,0.5335799977575961,-1.0858399034859392,11.158933456846052,1.220453044858265,8.852640508501848,1.0858399034859392,0.1093700441514428,0.7933231740055512,0.1145698938067527
14,arxiv,6-7,0.1,HOPE,0.7861331943177375,0.6583338079417813,0.3385978814836799,-0.5745689922320555,-1.3243727617608712,-8.834404130749007,0.5335799977575961,-1.0768188362508306,11.23559572876071,1.3243727617608712,8.834404130749007,1.0768188362508306,0.1178729453900483,0.7862871132088556,0.12338862233476916
15,arxiv,6-7,0.1,HOPE,0.7979153094462541,0.6353053848005913,0.3293328714354698,-0.5833732336593498,-0.5794806016456663,-9.171397065489913,0.5335799977575961,-1.0933191575977603,10.84419682473334,0.5794806016456663,9.171397065489913,1.0933191575977603,0.05343693138471929,0.8457424015554457,0.05607378872532421
16,arxiv,6-7,0.1,HOPE,0.7921824104234527,0.6359352454241318,0.3287140900283747,-0.582742731254391,-0.6400080529109128,-9.130699278613504,0.5335799977575961,-1.0921375120945396,10.862844843618957,0.6400080529109128,9.130699278613504,1.0921375120945396,0.058917167843639574,0.8405440204714929,0.061815921169289745
17,arxiv,6-7,0.1,HOPE,0.7933281209278081,0.6550828202197478,0.3393149916907759,-0.6495361668568587,-0.9952050197023192,-9.813452715214591,0.5335799977575961,-1.2173173087195466,12.025975043636457,0.9952050197023192,9.813452715214591,1.2173173087195466,0.08275462206525465,0.8160213770281669,0.08685531317010248
18,arxiv,6-7,0.15,HOPE,0.7936090745607968,0.6621242350039512,0.3525090399904054,-0.5161125685175578,-0.9684145889670258,-8.105410169032615,0.5335799977575961,-0.967263710571149,10.04108846857079,0.9684145889670258,8.105410169032615,0.967263710571149,0.09644518042025242,0.8072242560558086,0.10098236891384643
19,arxiv,6-7,0.15,HOPE,0.7963757089500623,0.6652266845269101,0.354490747012714,-0.515567724953456,-1.0418274170492203,-8.087171262550747,0.5335799977575961,-0.9662426011472734,10.09524128074724,1.0418274170492203,8.087171262550747,0.9662426011472734,0.10319985308683036,0.8010874666238925,0.10802221409946947
