_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
54,celegans,1,3,0.05,0.6425792106725959,0.5692657186518032,-2.1020837892996465,-0.8011945816738321
55,celegans,1,3,0.15,0.7492221530802738,0.6200283341622583,-3.9203639721754246,-1.2063924276887341
56,celegans,1,3,0.15,0.6848101265822785,0.6290652932847678,-0.5994996112631642,-0.7825684212798645
57,celegans,1,3,0.15,0.7072715972653822,0.6415897491028418,2.175914188031506,-2.033393971804437
58,celegans,1,3,0.15,0.6881127450980392,0.642862852339971,1.5747488367182785,-1.4717307964908848
59,celegans,1,3,0.15,0.7238572323105823,0.6056256739721451,-1.7245323458191428,-1.178713827444907
60,celegans,1,3,0.25,0.7237834132967786,0.6222899668250694,-1.0092765500533953,-1.1462321094376042
61,celegans,1,3,0.25,0.7462580185317177,0.6225020238039486,-0.8443428292593642,-0.8079951767343856
62,celegans,1,3,0.25,0.7265193370165746,0.6478512781969193,-0.5606838474420918,-0.9770533716107779
63,celegans,1,3,0.25,0.7117117117117117,0.6272221860979258,-1.6774898584665738,-0.9066083482778704
64,celegans,1,3,0.25,0.7392857142857143,0.6538216978039988,-3.200683430817525,-0.8954219411050292
65,celegans,1,3,0.35,0.7343234323432343,0.6708330439010837,0.34150021179564183,-0.872041025473722
66,celegans,1,3,0.35,0.7299509001636661,0.6161548850268331,1.1996456896305423,-1.0642275388599678
67,celegans,1,3,0.35,0.7507911392405063,0.6490995054798182,1.6403366750361068,-0.9260935519387921
68,celegans,1,3,0.35,0.765045342126958,0.662859560067682,-0.6535430837923095,-0.7889467150539723
69,celegans,1,3,0.35,0.7164658634538152,0.6262217490038846,0.00828760419376054,-1.0626628692726185
70,celegans,1,3,0.44999999999999996,0.7396226415094339,0.6427563025210085,1.2237968125361456,-0.801816553515062
71,celegans,1,3,0.44999999999999996,0.7555555555555555,0.6434699142120104,0.7808923378304091,-0.9046798500782699
72,celegans,1,3,0.44999999999999996,0.7312859884836852,0.6426927681323931,-0.7295704973887414,-0.8655159666012207
73,celegans,1,3,0.44999999999999996,0.7364928909952607,0.625997430548189,-0.42292278828671426,-0.7016699519490883
74,celegans,1,3,0.44999999999999996,0.7290076335877863,0.6301427142987002,-0.24168581017350538,-0.789125205328929
75,celegans,1,3,0.5499999999999999,0.7479289940828402,0.6586898395721926,0.7038400928983801,-0.6737825811269892
76,celegans,1,3,0.5499999999999999,0.7636579572446556,0.6489699353532207,0.5244620869172227,-0.5779127296761676
