_UID,num_nodes,prop_overlap,theta,accuracy,auroc,coef,intercept
35,500,0.001,0.4,0.7325581395348837,0.7950459404541037,-1.592344171944149,-1.783340231165987
36,500,0.001,0.4,0.6859504132231405,0.8266660092476936,-1.4947054398206676,1.1960936648160423
37,500,0.001,0.4,0.6941747572815534,0.867747172182656,-1.4193846978343223,0.5051819980216967
38,500,0.001,0.4,0.6139240506329114,0.691210342893767,-1.3997463650184183,-0.3333476048097816
39,500,0.001,0.4,0.6754966887417219,0.8447044105220416,-1.4037596309503784,0.006434175803926432
40,500,0.001,0.45,0.7508833922261484,0.8661321367863214,-1.4295953667802954,0.3243901019200803
41,500,0.001,0.45,0.7109929078014184,0.8070799798792756,-1.6093479291837294,1.7684847990834927
42,500,0.001,0.45,0.7822878228782287,0.8885371134441766,-1.5227316579244263,1.1633285276484298
43,500,0.001,0.45,0.7577413479052824,0.8153255992991585,-1.453129728423273,-0.5805554378496656
44,500,0.001,0.45,0.6943462897526502,0.8400924537731134,-1.6672917362006072,2.157419571772062
45,500,0.001,0.5,0.7582417582417582,0.8793339416058393,-1.4464443851015678,-0.506339638036377
46,500,0.001,0.5,0.7863070539419087,0.9144665461121158,-1.4501656993036285,0.004912837057113048
47,500,0.001,0.5,0.6719681908548708,0.7894765970904492,-1.4400599733461859,0.011278628798272761
48,500,0.001,0.5,0.7244094488188977,0.8254220472196816,-1.5349998934074294,-1.1508092597757216
49,500,0.001,0.5,0.7594433399602386,0.9143806359753204,-1.4440607724320984,-0.024286542797048255
50,500,0.0016681005372000592,0.05,0.5231719876416066,0.5148255468630678,-1.013505881527733,-0.26379557780453516
51,500,0.0016681005372000592,0.05,0.502053388090349,0.5333698768763704,-1.0921513507959482,-1.1884794918623791
52,500,0.0016681005372000592,0.05,0.5516528925619835,0.6142786400969896,-1.029552624227914,-0.26397235043207123
53,500,0.0016681005372000592,0.05,0.505175983436853,0.5558715733973467,-1.0395769468766178,0.4697691471362645
54,500,0.0016681005372000592,0.05,0.5082644628099173,0.46090121243169396,-1.1072493575159055,-1.190617547548663
55,500,0.0016681005372000592,0.1,0.5358695652173913,0.6171948481625901,-1.1681633057561418,-0.6144257480290904
56,500,0.0016681005372000592,0.1,0.5535911602209945,0.5903671248400301,-1.1736857563295897,0.2653423906894092
57,500,0.0016681005372000592,0.1,0.537117903930131,0.5035183905032061,-1.2727560597147214,-1.3386442342712563
58,500,0.0016681005372000592,0.1,0.5254604550379198,0.5506005202317568,-1.1315071571828108,-0.0010046930264143426
59,500,0.0016681005372000592,0.1,0.537199124726477,0.5689872356730609,-1.2617212654235088,1.381640627030125
60,500,0.0016681005372000592,0.15000000000000002,0.5611764705882353,0.6556546580962347,-1.2434871877179585,-0.0015911588791089292
61,500,0.0016681005372000592,0.15000000000000002,0.5644391408114559,0.6303537538256365,-1.3601414339261682,1.1155551667865944
62,500,0.0016681005372000592,0.15000000000000002,0.575326215895611,0.5697565753918212,-1.2587853083282177,-0.3640316523804097
63,500,0.0016681005372000592,0.15000000000000002,0.5687426556991775,0.5854524766912642,-1.3402761428130912,-1.140349326881263
64,500,0.0016681005372000592,0.15000000000000002,0.5299539170506913,0.5840412250644141,-1.2241673605818943,0.03289007211867815
65,500,0.0016681005372000592,0.2,0.6152866242038216,0.6744737901393272,-1.3006209969325737,-0.20564686342915633
66,500,0.0016681005372000592,0.2,0.6131736526946108,0.6829885373997454,-1.2872144693001875,-0.6228974328315705
67,500,0.0016681005372000592,0.2,0.5808736717827627,0.5885329541652726,-1.2636386949833018,0.45111788272765013
68,500,0.0016681005372000592,0.2,0.5807228915662651,0.6147386759581881,-1.395614173828606,-1.3470563329352485
69,500,0.0016681005372000592,0.2,0.5561035758323057,0.6587433389298489,-1.5387507423279387,2.2461789732996515
70,500,0.0016681005372000592,0.25,0.6839309428950863,0.7613654000818365,-1.372837943015168,0.7976296163956869
71,500,0.0016681005372000592,0.25,0.5927367055771725,0.6478788408996083,-1.3092368080837775,0.20376200532618097
72,500,0.0016681005372000592,0.25,0.6013157894736842,0.677916213614422,-1.329246948875908,-0.33126588375441224
73,500,0.0016681005372000592,0.25,0.5769728331177232,0.6433875719833936,-1.3099688526377358,0.26037467448441626
74,500,0.0016681005372000592,0.25,0.6399456521739131,0.7358227146814404,-1.3445706265869384,-0.342895198900398
75,500,0.0016681005372000592,0.3,0.640218878248974,0.7358874893285604,-1.371718037139084,-0.5828672442618927
76,500,0.0016681005372000592,0.3,0.6995708154506438,0.7616606616442843,-1.3672615704273268,-0.3292800248493151
77,500,0.0016681005372000592,0.3,0.6610407876230661,0.765832607490696,-1.459628393803358,1.1691951990672826
78,500,0.0016681005372000592,0.3,0.6812411847672779,0.7968369539269515,-1.3631118807112828,-0.3343408142678849
79,500,0.0016681005372000592,0.3,0.6731571627260083,0.6914130232846173,-1.3498966616853507,-0.2445700152787985
80,500,0.0016681005372000592,0.35000000000000003,0.6401799100449775,0.6868957431457431,-1.380738609659254,-0.23373073163689134
