,system,l1,l2,theta,accuracy,auroc,aupr,process_time,wall_time
57,celegans,1,2,0.7000000000000001,0.6292834890965732,0.6755800792303338,0.43537839571367026,8.096252724528313,8.096253156661987
58,celegans,1,2,0.8,0.5691056910569106,0.6138808139534883,0.4468928328080735,7.974403295665979,7.9744040966033936
59,celegans,1,2,0.9,0.5583333333333333,0.5919661733615222,0.4718567219136377,7.711345624178648,7.711346626281738
60,celegans,1,2,-inf,-inf,-inf,-inf,inf,inf
61,celegans,1,2,0.1,0.5895032802249297,0.505162344703659,0.34970423114791904,9.493085790425539,9.493086576461792
62,celegans,1,2,0.2,0.5646186440677966,0.5698268564057083,0.3825256555996114,8.828907135874033,8.82890772819519
63,celegans,1,2,0.30000000000000004,0.5709342560553633,0.5743392201019321,0.394610392407753,8.662162061780691,8.66216254234314
64,celegans,1,2,0.4,0.6317321688500728,0.6145417401801467,0.45915464030917136,8.55056519433856,8.550565958023071
65,celegans,1,2,0.5,0.6105442176870748,0.6022036082474227,0.4396450749476323,8.259779207408428,8.259779930114746
66,celegans,1,2,0.6000000000000001,0.6350210970464135,0.6681540401590843,0.4810470288029286,8.23097638785839,8.230977058410645
67,celegans,1,2,0.7000000000000001,0.6378378378378379,0.7099087784241142,0.5109666813061883,8.028705313801765,8.028705835342407
68,celegans,1,2,0.8,0.6147540983606558,0.6648488979777323,0.5151879107288679,7.635250277817249,7.635251045227051
69,celegans,1,2,0.9,0.6557377049180327,0.6988519281719163,0.4704579153654995,7.372873295098543,7.372874021530151
70,celegans,1,2,-inf,-inf,-inf,-inf,inf,inf
71,celegans,1,2,0.1,0.5904404873477038,0.5140365901128844,0.35358124475016706,8.998269606381655,8.998270511627197
72,celegans,1,2,0.2,0.611740473738414,0.5727400732188116,0.4101686656577805,9.050317518413067,9.050318479537964
73,celegans,1,2,0.30000000000000004,0.5887290167865707,0.599629327980607,0.41896605042901575,8.964347288012505,8.964347839355469
74,celegans,1,2,0.4,0.5769230769230769,0.6136332019476003,0.4368193055578543,8.642066936939955,8.642067432403564
75,celegans,1,2,0.5,0.631578947368421,0.6508649166093652,0.5191617708125695,8.491578176617622,8.491579055786133
76,celegans,1,2,0.6000000000000001,0.6358024691358025,0.6381127846682748,0.4507244411360789,8.817499909549952,8.817500829696655
77,celegans,1,2,0.7000000000000001,0.5681159420289855,0.6335596221959858,0.45760051812666674,8.66277227923274,8.66277289390564
78,celegans,1,2,0.8,0.5648535564853556,0.6233470132238941,0.5128604369049871,8.13076088577509,8.130761623382568
79,celegans,1,2,0.9,0.6666666666666666,0.7794642857142857,0.5855789684944341,7.811765238642693,7.811765909194946
80,celegans,1,2,-inf,-inf,-inf,-inf,inf,inf
81,celegans,1,2,0.1,0.5882352941176471,0.5310178519726013,0.3768128527706217,9.53361651301384,9.5336172580719
82,celegans,1,2,0.2,0.5989528795811518,0.5644172670230072,0.3870395276687814,8.768941309303045,8.768941879272461
83,celegans,1,2,0.30000000000000004,0.581453634085213,0.5751309983452841,0.4019358874684231,9.308210588991642,9.308211326599121
84,celegans,1,2,0.4,0.6258890469416786,0.6564794816414686,0.5018043217070215,9.033576291054487,9.033576965332031
85,celegans,1,2,0.5,0.6053511705685619,0.6667691664309172,0.5023563148001717,8.97980386018753,8.979804515838623
86,celegans,1,2,0.6000000000000001,0.5657894736842105,0.6186390281199559,0.4790542458464563,7.956585541367531,7.956586122512817
87,celegans,1,2,0.7000000000000001,0.5965909090909091,0.6745189586870401,0.5529190903372605,7.796717900782824,7.796719074249268
