_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
58,celegans,1,3,0.15,0.8100799016594961,0.527670148454803,-1.4063043339449457,-3.3655917468342036
59,celegans,1,3,0.15,0.8168130489335006,0.5733460640111104,-1.1234930906146459,-4.341227290568748
60,celegans,1,3,0.25,0.8163686382393398,0.552444916892153,-0.9343224374987544,-5.3707514633559645
61,celegans,1,3,0.25,0.8030619345859429,0.5439838251636004,-1.2174347809515322,-5.577931753636088
62,celegans,1,3,0.25,0.8163407821229051,0.5915382420091324,-0.9700442077874559,-5.510708843938101
63,celegans,1,3,0.25,0.8100558659217877,0.5603304716172737,-1.0506939502309738,-6.290333520386612
64,celegans,1,3,0.25,0.8120567375886525,0.5860436829023217,-1.0904706761855727,-5.832484690428877
65,celegans,1,3,0.35,0.7941888619854721,0.6055138471805138,-0.9845974038918983,-6.489933009360349
66,celegans,1,3,0.35,0.7954004758128469,0.5862726980556001,-0.9874159000573896,-7.048572491614044
67,celegans,1,3,0.35,0.7950207468879668,0.5803641149374863,-1.1638675234883833,-6.571756237497637
68,celegans,1,3,0.35,0.8019401778496362,0.5781885979884982,-0.954318531498143,-6.90598230110586
69,celegans,1,3,0.35,0.7882547559966915,0.566738259009989,-0.8220925284741399,-7.179036036873612
70,celegans,1,3,0.44999999999999996,0.8026070763500931,0.5750558363700482,-0.6419872163765312,-7.6381229805874
71,celegans,1,3,0.44999999999999996,0.8065727699530516,0.5677453580901858,-0.6880096937853704,-7.766039606972316
72,celegans,1,3,0.44999999999999996,0.7778846153846154,0.6150367910833764,-0.9147174448506025,-7.162207773192746
73,celegans,1,3,0.44999999999999996,0.7798076923076923,0.5621673725719293,-0.9651149579665719,-6.5974443833935625
74,celegans,1,3,0.44999999999999996,0.790719696969697,0.582787784529321,-0.8895662383798332,-6.8951693212089396
75,celegans,1,3,0.5499999999999999,0.7708333333333334,0.6176981806367772,-0.9881558672451405,-7.015581546427969
