,N,k1,k2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time
36,1000,5.0,5.0,0.6000000000000001,[0.],[[4.44796901]],0.4556747600225861,0.43660009852493376,0.46972551151259156,0.025933421915397048,0.02593398094177246
37,1000,5.0,5.0,0.7000000000000001,[0.],[[3.81197678]],0.4580209895052474,0.4251221146753504,0.4612699751041852,0.024087507976219058,0.024087905883789062
38,1000,5.0,5.0,0.8,[0.],[[3.15955017]],0.4582392776523702,0.44428597718071405,0.43207768615923337,0.024521091021597385,0.024521589279174805
39,1000,5.0,5.0,0.9,[0.],[[2.65195818]],0.4190064794816415,0.41529444861215303,0.41390782563519757,0.02285064198076725,0.022851943969726562
40,1000,5.0,5.0,,,,,,,,
41,1000,5.0,5.0,0.1,[0.],[[9.00980954]],0.4835566382460414,0.4774857828433174,0.48356067570522865,0.024900502059608698,0.024901151657104492
42,1000,5.0,5.0,0.2,[0.],[[9.85341163]],0.48897464167585447,0.4726187943693475,0.48059220838629735,0.024507070891559124,0.024507761001586914
43,1000,5.0,5.0,0.30000000000000004,[0.],[[9.03304476]],0.4857408555486671,0.4674919256859467,0.46724199469853456,0.02387365000322461,0.02387404441833496
44,1000,5.0,5.0,0.4,[0.],[[7.34801437]],0.4663323782234957,0.4569190868600083,0.4566206428527975,0.023109636968001723,0.023110151290893555
45,1000,5.0,5.0,0.5,[0.],[[5.93762481]],0.46157186278766826,0.4492361569954956,0.4652069891747667,0.022265617037191987,0.022265911102294922
46,1000,5.0,5.0,0.6000000000000001,[0.],[[4.65566878]],0.46866485013623976,0.4495216353711166,0.44039763456082504,0.022238838952034712,0.02223944664001465
47,1000,5.0,5.0,0.7000000000000001,[0.],[[3.74981298]],0.4700793078586878,0.45876115027134934,0.4693083928009999,0.021720445016399026,0.02172112464904785
48,1000,5.0,5.0,0.8,[0.],[[3.03123982]],0.4358974358974359,0.4371650043257327,0.4689101729713581,0.021528135985136032,0.02152872085571289
49,1000,5.0,5.0,0.9,[0.],[[2.6286529]],0.4627906976744186,0.4595425133631976,0.4867866228490788,0.02006235090084374,0.020062685012817383
50,1000,5.0,5.0,,,,,,,,
51,1000,5.0,5.0,0.1,[0.],[[9.44622669]],0.48775055679287305,0.47993083983766444,0.4778203848261465,0.02409033407457173,0.02409076690673828
52,1000,5.0,5.0,0.2,[0.],[[9.83848738]],0.4990280477645099,0.489828869185347,0.48286443374646154,0.023413556860759854,0.023413896560668945
53,1000,5.0,5.0,0.30000000000000004,[0.],[[9.3646037]],0.4966313763233879,0.48692052434827005,0.49090212424747237,0.023431393085047603,0.023431777954101562
54,1000,5.0,5.0,0.4,[0.],[[7.18110465]],0.474519940915805,0.46808139725220166,0.4882422786261138,0.023717073956504464,0.023717641830444336
55,1000,5.0,5.0,0.5,[0.],[[5.74319664]],0.47736441057821605,0.4722541140451588,0.4951439582057993,0.09131807112134993,0.09131884574890137
56,1000,5.0,5.0,0.6000000000000001,[0.],[[4.69148159]],0.47809206877426513,0.4714390312934546,0.47945304037377356,0.021828924072906375,0.021829605102539062
57,1000,5.0,5.0,0.7000000000000001,[0.],[[3.90232643]],0.45720555961960496,0.43206256423432676,0.44682172743732257,0.02171491808257997,0.021715402603149414
58,1000,5.0,5.0,0.8,[0.],[[3.24622278]],0.47744774477447743,0.4708302259586049,0.4741890274465452,0.020315797068178654,0.020316123962402344
59,1000,5.0,5.0,0.9,[0.],[[2.702382]],0.4279475982532751,0.420120320855615,0.471500198865962,0.02021442702971399,0.02021479606628418
60,1000,5.0,5.0,,,,,,,,
61,1000,5.0,5.0,0.1,[0.],[[9.47774281]],0.4953784661503872,0.4744379168029481,0.4687781797028939,0.023552831960842013,0.02355337142944336
62,1000,5.0,5.0,0.2,[0.],[[10.25995247]],0.48247827305859264,0.4710170398489371,0.47123194512194877,0.023503556149080396,0.023504018783569336
63,1000,5.0,5.0,0.30000000000000004,[0.],[[8.6701726]],0.4879459980713597,0.474020056013332,0.4705041769543933,0.023008442018181086,0.023009061813354492
64,1000,5.0,5.0,0.4,[0.],[[7.04507029]],0.4658361645904115,0.4442842318919905,0.4458023446607767,0.02250813110731542,0.022508621215820312
65,1000,5.0,5.0,0.5,[0.],[[5.85089631]],0.46536412078152756,0.4485174011633639,0.4568518396143028,0.022691200021654367,0.02269148826599121
66,1000,5.0,5.0,0.6000000000000001,[0.],[[4.91050155]],0.44318793753365643,0.43954483766572716,0.454595273009207,0.02136793197132647,0.02136826515197754
67,1000,5.0,5.0,0.7000000000000001,[0.],[[3.64401336]],0.4391371340523883,0.4319493530182979,0.4358756676313337,0.020834533963352442,0.020835161209106445
68,1000,5.0,5.0,0.8,[0.],[[3.26375581]],0.43130990415335463,0.4176738804954403,0.4351895859784431,0.08466159901581705,0.08466219902038574
