,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,process_time,wall_time
73,drosophila,1,2,{'imb'},0.35,[2.55868956],[[0.]],0.9310776195865849,0.5,0.9655388097932924,0.06280928600062907,0.06280994415283203
74,drosophila,1,2,{'imb'},0.44999999999999996,[2.58889636],[[0.]],0.9299985929365414,0.5,0.9649992964682708,0.06476452800052357,0.06476569175720215
75,drosophila,1,2,{'imb'},0.5499999999999999,[2.56373724],[[0.]],0.9320059125293453,0.5,0.9660029562646726,0.08430214500003785,0.0843038558959961
76,drosophila,1,2,{'imb'},0.65,[2.55658645],[[0.]],0.933932584269663,0.5,0.9669662921348314,0.08747834600035276,0.0874795913696289
77,drosophila,1,2,{'imb'},0.75,[2.58540296],[[0.]],0.9305098039215687,0.5,0.9652549019607843,0.07969084300020768,0.07969188690185547
78,drosophila,1,2,{'imb'},0.85,[2.60646985],[[0.]],0.9230566534914361,0.5,0.961528326745718,0.0769594950015744,0.07696127891540527
79,drosophila,1,2,{'imb'},0.95,[2.58777285],[[0.]],0.9299314546839299,0.5,0.964965727341965,0.07212339199941198,0.07212471961975098
80,drosophila,1,2,{'emb'},0.05,[2.14617921],[[8.26680758]],0.9289246740507623,0.3873426713487677,0.9034328717519187,253.55277255699912,253.55277371406555
81,drosophila,1,2,{'emb'},0.15,[2.165506],[[12.4466041]],0.9199067939872984,0.23352007182565063,0.8572809368120624,248.06320155399953,248.06320214271545
82,drosophila,1,2,{'emb'},0.25,[2.17137775],[[14.35789048]],0.8939409632314863,0.17742762533827114,0.8403700512746065,241.73787129099946,241.73787260055542
83,drosophila,1,2,{'emb'},0.35,[2.52911027],[[9.77845093]],0.9004038484380568,0.1258328435387387,0.8248450283948602,235.44917637600156,235.44917798042297
84,drosophila,1,2,{'emb'},0.44999999999999996,[2.64937486],[[4.5228251]],0.9218017765964888,0.11589190604806611,0.8223432824870089,231.0573309470019,231.0573320388794
