,system,l1,l2,features,theta,intercept,coefficients,accuracy,auroc,aupr,process_time,wall_time
18,celegans,1,2,{'emb'},0.85,[-0.70883479],[[8.94014667]],0.6263157894736842,0.5815523059617549,0.38456771727275374,11.84159382100006,11.841594934463501
19,celegans,1,2,{'emb'},0.95,[-1.05834562],[[8.33416504]],0.4666666666666667,0.5186136071887034,0.30531255061045476,11.379477387000406,11.379478454589844
20,celegans,1,2,{'deg'},0.05,[-0.38182484],[[2.17121804]],0.6616740088105727,0.5454839088560018,0.3683853426956001,0.01264350299970829,0.012645721435546875
21,celegans,1,2,{'deg'},0.15,[-0.27592607],[[5.53337014]],0.6491935483870968,0.6067168892096716,0.44011272553315695,0.011259485000664426,0.011259794235229492
22,celegans,1,2,{'deg'},0.25,[-0.08826644],[[6.29369031]],0.6295871559633027,0.6068587034342595,0.4430835269917594,0.009236964000592707,0.009237289428710938
23,celegans,1,2,{'deg'},0.35,[0.19299746],[[6.00790241]],0.6463576158940397,0.6348237638560219,0.4972455574986123,0.3840514109997457,0.3840525150299072
24,celegans,1,2,{'deg'},0.44999999999999996,[0.26440991],[[5.82969199]],0.6485225505443235,0.6281807436062754,0.47963487027414936,0.010685090999686508,0.010688304901123047
25,celegans,1,2,{'deg'},0.5499999999999999,[0.40806685],[[5.0996791]],0.6610800744878957,0.6568904701088609,0.5145117377169373,0.01120920199991815,0.011209726333618164
26,celegans,1,2,{'deg'},0.65,[0.43380937],[[4.53830179]],0.675990675990676,0.6988712478293228,0.5345930154237041,0.01763601099992229,0.01763772964477539
27,celegans,1,2,{'deg'},0.75,[0.53624016],[[3.79493786]],0.7040816326530612,0.7153337095367568,0.5645890807879355,0.01678897500005405,0.016789674758911133
28,celegans,1,2,{'deg'},0.85,[0.60979652],[[3.42815174]],0.6705882352941176,0.6828966880869994,0.4255865693353404,0.008085600000413251,0.00808572769165039
29,celegans,1,2,{'deg'},0.95,[0.73144573],[[3.26312335]],0.6607142857142857,0.655049786628734,0.5171976412234918,0.009004638999613235,0.009004592895507812
