,theta,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
174,0.02,"(86, 83)",True,d_G,8.606584,0,inverse,0.49107048
175,0.02,"(25, 83)",True,d_G,8.621855,0,inverse,0.48589036
176,0.02,"(44, 25)",False,d_G,8.889325,0,inverse,0.5024465
177,0.02,"(7, 44)",True,d_G,8.824451,0,inverse,0.49214143
178,0.02,"(7, 4)",True,d_G,8.086019,0,inverse,0.4973386
179,0.02,"(4, 56)",True,d_G,9.300683,0,inverse,0.46499985
180,0.02,"(71, 56)",True,d_G,8.8883295,0,inverse,0.4782677
181,0.02,"(2, 71)",False,d_G,8.661634,0,inverse,0.510732
182,0.02,"(2, 30)",False,d_G,9.322856,0,inverse,0.5119127
183,0.02,"(98, 30)",False,d_G,8.793962,0,inverse,0.5042808
184,0.02,"(98, 15)",False,d_G,7.840106,0,inverse,0.5211888
185,0.02,"(81, 26)",False,d_G,7.9844575,0,inverse,0.5132339
186,0.02,"(26, 5)",True,d_G,9.3942375,0,inverse,0.4729302
187,0.02,"(5, 49)",False,d_G,8.761314,0,inverse,0.51194966
188,0.02,"(14, 49)",False,d_G,8.440856,0,inverse,0.5012211
189,0.02,"(14, 87)",False,d_G,8.427193,0,inverse,0.5208541
190,0.02,"(22, 87)",True,d_G,8.988641,0,inverse,0.4928816
191,0.02,"(1, 22)",True,d_G,8.933766,0,inverse,0.48859492
192,0.02,"(1, 79)",True,d_G,9.022491,0,inverse,0.48480552
193,0.02,"(79, 36)",True,d_G,9.286017,0,inverse,0.48447478
194,0.02,"(43, 36)",False,d_G,8.851243,0,inverse,0.5007094
195,0.04,"(0, 1)",True,d_G,8.623339,1,inverse,0.5023404
196,0.04,"(99, 0)",False,d_G,7.5619507,0,inverse,0.51916355
197,0.04,"(2, 1)",True,d_G,8.593381,1,inverse,0.5121313
198,0.04,"(2, 3)",False,d_G,8.875108,1,inverse,0.49352714
199,0.04,"(3, 4)",False,d_G,8.650489,1,inverse,0.47077888
200,0.04,"(6, 5)",False,d_G,8.643204,1,inverse,0.4912633
201,0.04,"(6, 7)",True,d_G,8.4871435,1,inverse,0.5069732
202,0.04,"(8, 7)",False,d_G,8.528685,1,inverse,0.49951306
203,0.04,"(8, 9)",True,d_G,6.973193,1,inverse,0.5416459
204,0.04,"(10, 11)",True,d_G,8.145229,1,inverse,0.5098676
205,0.04,"(12, 11)",True,d_G,8.08098,1,inverse,0.51439357
206,0.04,"(13, 12)",True,d_G,7.3386183,1,inverse,0.51966256
207,0.04,"(13, 14)",False,d_G,8.092255,1,inverse,0.4936211
208,0.04,"(15, 14)",False,d_G,9.478395,1,inverse,0.49357143
209,0.04,"(16, 15)",False,d_G,8.976187,1,inverse,0.4805178
210,0.04,"(16, 17)",False,d_G,9.091224,1,inverse,0.49782613
211,0.04,"(18, 17)",True,d_G,7.15716,1,inverse,0.5179199
212,0.04,"(18, 19)",False,d_G,8.408354,1,inverse,0.48444578
213,0.04,"(19, 20)",False,d_G,6.886975,1,inverse,0.48725736
214,0.04,"(21, 20)",True,d_G,8.413615,1,inverse,0.51311535
215,0.04,"(22, 21)",True,d_G,9.134943,1,inverse,0.5046461
216,0.04,"(23, 22)",True,d_G,8.138891,1,inverse,0.5124406
217,0.04,"(23, 24)",True,d_G,8.464433,1,inverse,0.50404745
218,0.04,"(24, 25)",True,d_G,8.349537,1,inverse,0.5150699
219,0.04,"(25, 26)",True,d_G,8.145702,1,inverse,0.50110674
220,0.04,"(26, 27)",True,d_G,7.8743405,1,inverse,0.518072
221,0.04,"(27, 28)",True,d_G,7.4416265,1,inverse,0.5391549
222,0.04,"(29, 28)",False,d_G,8.645139,1,inverse,0.48905674
223,0.04,"(29, 30)",False,d_G,9.326528,1,inverse,0.48491183
224,0.04,"(31, 30)",True,d_G,8.410816,1,inverse,0.5148654
225,0.04,"(32, 33)",False,d_G,8.283902,1,inverse,0.4770559
