,N,p1,p2,theta,intercept,coefs,accuracy,auroc,aupr,process_time,wall_time,size_G,size_H,avg_G,avg_H,avg_R_G,avg_R_H
35,1000,0.001,0.00021544346900318845,,,,,,,,,,,,,,
36,1000,0.001,0.00021544346900318845,0.225,0.0,4.134894208072391,0.4080808080808081,0.5121686746987951,0.8545121575354143,0.006191411000145308,0.006192207336425781,524.0,98.0,1.048,0.196,1.208,1.026
37,1000,0.001,0.00021544346900318845,0.45,0.0,4.586316359963965,0.5086705202312138,0.4869190338392489,0.8296358839785295,0.0057428330001130234,0.005743265151977539,524.0,98.0,1.048,0.196,1.166,0.77
38,1000,0.001,0.00021544346900318845,0.675,0.0,4.275426116868878,0.6567164179104478,0.5542027417027416,0.8609021149243893,0.005701797000256192,0.00570225715637207,524.0,98.0,1.048,0.196,1.114,0.532
39,1000,0.001,0.00021544346900318845,0.9,0.0,4.241669167843178,0.75,0.4375,0.7614914316369361,0.00584882099974493,0.005849123001098633,524.0,98.0,1.048,0.196,1.072,0.3
40,1000,0.001,0.00046415888336127773,,,,,,,,,,,,,,
41,1000,0.001,0.00046415888336127773,0.225,0.0,4.501075757939862,0.42931034482758623,0.48480017006802717,0.6560802914084003,0.006612547999793605,0.0066127777099609375,499.0,244.0,0.998,0.488,1.39,1.256
42,1000,0.001,0.00046415888336127773,0.45,0.0,5.005384370869852,0.4782608695652174,0.48257907542579076,0.663094157569767,0.006638576999648649,0.006638765335083008,499.0,244.0,0.998,0.488,1.272,1.088
43,1000,0.001,0.00046415888336127773,0.675,0.0,4.4290759734343474,0.5439330543933054,0.4848484848484848,0.6485154152028523,0.006150816000626946,0.006150960922241211,499.0,244.0,0.998,0.488,1.152,0.812
44,1000,0.001,0.00046415888336127773,0.9,0.0,3.919496651892431,0.5769230769230769,0.5740740740740741,0.6691988787715029,0.007233749000079115,0.007234096527099609,499.0,244.0,0.998,0.488,1.052,0.59
45,1000,0.001,0.001,,,,,,,,,,,,,,
46,1000,0.001,0.001,0.225,0.0,5.699955243174828,0.4975,0.49418619189317603,0.49804447340867525,0.00844621600026585,0.008446931838989258,536.0,508.0,1.072,1.016,1.86,1.828
47,1000,0.001,0.001,0.45,0.0,5.5356106336287425,0.4973821989528796,0.5061987004103967,0.5205390376964067,0.007830184000340523,0.007830619812011719,536.0,508.0,1.072,1.016,1.616,1.618
48,1000,0.001,0.001,0.675,0.0,4.834488568911239,0.5558659217877095,0.5527712724434035,0.5328490934947719,0.007765614000163623,0.007766008377075195,536.0,508.0,1.072,1.016,1.438,1.366
49,1000,0.001,0.001,0.9,0.0,3.8160266681815402,0.43529411764705883,0.4401993355481728,0.4738614863231451,0.007404648999909114,0.007404804229736328,536.0,508.0,1.072,1.016,1.158,1.1
50,1000,0.002154434690031882,0.0001,,,,,,,,,,,,,,
51,1000,0.002154434690031882,0.0001,0.225,0.0,5.359497337959309,0.5613825983313468,0.48065099457504523,0.9355834596485061,0.008644176999951014,0.008644819259643555,1004.0,62.0,2.008,0.124,2.106,1.704
52,1000,0.002154434690031882,0.0001,0.45,0.0,5.413608379544715,0.787719298245614,0.49065420560747663,0.945601294071778,0.00816721499995765,0.008167266845703125,1004.0,62.0,2.008,0.124,2.078,1.194
53,1000,0.002154434690031882,0.0001,0.675,0.0,4.734766264058746,0.8422712933753943,0.5333590138674884,0.9368406336078647,0.008153777000188711,0.008153915405273438,1004.0,62.0,2.008,0.124,2.052,0.714
54,1000,0.002154434690031882,0.0001,0.9,0.0,3.9893987308048615,0.9099099099099099,0.5915094339622642,0.9691480093048732,0.007579074999739532,0.007579326629638672,1004.0,62.0,2.008,0.124,2.018,0.336
55,1000,0.002154434690031882,0.00021544346900318845,,,,,,,,,,,,,,
56,1000,0.002154434690031882,0.00021544346900318845,0.225,0.0,5.486671644920935,0.5453527435610303,0.4765614426850724,0.9187862973291131,0.008747679000407516,0.008748531341552734,1051.0,93.0,2.102,0.186,2.246,1.828
57,1000,0.002154434690031882,0.00021544346900318845,0.45,0.0,5.604764947786699,0.7540192926045016,0.48407949567261455,0.9214334088058015,0.008668731000398111,0.008668899536132812,1051.0,93.0,2.102,0.186,2.2,1.332
58,1000,0.002154434690031882,0.00021544346900318845,0.675,0.0,4.575264783115335,0.8520408163265306,0.5057820545285726,0.9173867130607086,0.008268042000054265,0.008268356323242188,1051.0,93.0,2.102,0.186,2.168,0.904
59,1000,0.002154434690031882,0.00021544346900318845,0.9,0.0,3.6690243913496783,0.8869565217391304,0.5157142857142858,0.9084831234669246,0.008241483000347216,0.008242130279541016,1051.0,93.0,2.102,0.186,2.122,0.396
60,1000,0.002154434690031882,0.00046415888336127773,,,,,,,,,,,,,,
61,1000,0.002154434690031882,0.00046415888336127773,0.225,0.0,5.868820636114134,0.5497967479674797,0.5384327754871049,0.8306208344633568,0.009355404999951134,0.009356021881103516,1026.0,230.0,2.052,0.46,2.424,2.056
