,walk_length,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
164,4,"(5, 70)",True,d_G,1.5520065,0,inverse,0.4849683
165,4,"(71, 16)",True,d_G,1.5666031,0,inverse,0.4313061
166,4,"(36, 71)",True,d_G,1.2655491,0,inverse,0.48139554
167,4,"(99, 19)",True,d_G,1.1693691,0,inverse,0.40588215
168,4,"(15, 12)",False,d_G,0.56357497,0,inverse,0.5659059
169,4,"(56, 73)",True,d_G,1.3715588,0,inverse,0.46361095
170,4,"(63, 20)",True,d_G,1.0655652,0,inverse,0.42257288
171,4,"(6, 94)",True,d_G,1.2769375,0,inverse,0.35729522
172,4,"(25, 65)",False,d_G,0.9916517,0,inverse,0.54814786
173,4,"(10, 38)",True,d_G,1.0270249,0,inverse,0.45898172
174,4,"(38, 13)",False,d_G,0.95901084,0,inverse,0.6453061
175,4,"(60, 53)",True,d_G,1.1380928,0,inverse,0.3831486
176,4,"(86, 0)",True,d_G,1.2877657,0,inverse,0.4950001
177,4,"(64, 0)",False,d_G,1.3800951,0,inverse,0.5372116
178,4,"(22, 46)",False,d_G,1.1379187,0,inverse,0.56477195
179,4,"(59, 69)",True,d_G,1.5563792,0,inverse,0.42981443
180,4,"(31, 69)",True,d_G,1.5402504,0,inverse,0.38684326
181,4,"(31, 39)",True,d_G,1.2738134,0,inverse,0.44631281
182,4,"(47, 90)",True,d_G,1.7189312,0,inverse,0.35593995
183,4,"(52, 47)",False,d_G,1.1271478,0,inverse,0.5223967
184,4,"(52, 14)",True,d_G,1.7030507,0,inverse,0.3177802
185,4,"(51, 49)",False,d_G,0.36113217,0,inverse,0.61969554
186,4,"(24, 55)",True,d_G,1.3548231,0,inverse,0.3625362
187,4,"(24, 29)",True,d_G,1.3945411,0,inverse,0.412613
188,4,"(97, 57)",False,d_G,1.0557153,0,inverse,0.5663005
189,4,"(1, 84)",True,d_G,1.3101448,0,inverse,0.45258105
190,4,"(84, 50)",True,d_G,1.3994484,0,inverse,0.39528835
191,4,"(50, 82)",True,d_G,1.2550321,0,inverse,0.48384303
192,4,"(93, 54)",True,d_G,1.2929397,0,inverse,0.3902378
193,4,"(9, 17)",True,d_G,1.1657382,0,inverse,0.45161903
194,4,"(9, 89)",True,d_G,1.5491565,0,inverse,0.35892677
195,4,"(83, 89)",True,d_G,1.4944382,0,inverse,0.4337689
196,4,"(83, 35)",True,d_G,1.532888,0,inverse,0.3658374
197,4,"(42, 81)",False,d_G,0.9391642,0,inverse,0.5482302
198,4,"(85, 41)",False,d_G,1.278891,0,inverse,0.5537423
199,4,"(23, 7)",True,d_G,1.2633891,0,inverse,0.3444885
200,4,"(7, 21)",True,d_G,1.042803,0,inverse,0.44231096
201,4,"(44, 61)",True,d_G,1.2977908,0,inverse,0.48184338
202,5,"(0, 1)",True,d_G,1.4075289,1,inverse,0.5848418
203,5,"(2, 1)",True,d_G,0.9932655,1,inverse,0.6986034
204,5,"(3, 2)",True,d_G,0.8807959,1,inverse,0.6799496
205,5,"(3, 4)",True,d_G,1.004828,1,inverse,0.65188384
206,5,"(4, 5)",True,d_G,0.98958445,1,inverse,0.66331685
207,5,"(6, 5)",True,d_G,1.032306,1,inverse,0.64566475
208,5,"(10, 9)",True,d_G,1.3045348,1,inverse,0.5676335
209,5,"(11, 10)",True,d_G,1.780746,1,inverse,0.5206721
210,5,"(11, 12)",True,d_G,1.6187229,1,inverse,0.5518559
211,5,"(13, 12)",False,d_G,1.6694262,1,inverse,0.4738692
212,5,"(13, 14)",False,d_G,1.7308396,1,inverse,0.4964497
213,5,"(15, 14)",True,d_G,1.453002,1,inverse,0.552508
214,5,"(16, 15)",True,d_G,1.3238422,1,inverse,0.5565626
215,5,"(18, 19)",False,d_G,1.6459256,1,inverse,0.40317982
