_UID,system,l1,l2,theta,accuracy,auroc,intercept,coef
46,arxiv,2,6,0.95,0.7274909963985594,0.6784442637658405,0.8941600214645218,0.43187786503233955
47,arxiv,2,6,0.95,0.745920745920746,0.6709611494300489,0.8924618502848487,0.4131141333505324
48,arxiv,2,6,0.95,0.711340206185567,0.6558986302055945,0.8795992222314672,0.4047456571776623
49,arxiv,2,6,0.95,0.6992753623188406,0.6099539636200314,0.8905870811923959,0.41100782343481906
50,arxiv,2,7,0.05,0.9065180102915952,0.5711170417267174,2.0637541941500905,-1.3065472081574652
51,arxiv,2,7,0.05,0.903806474564212,0.5395820397455384,2.148129942113902,-0.7383322562522404
52,arxiv,2,7,0.05,0.9037295871068958,0.5462146134598986,2.455560924648567,-1.5448250317666934
53,arxiv,2,7,0.05,0.9025051745057455,0.5414586405311853,2.429883760894206,-0.7701925609941392
54,arxiv,2,7,0.05,0.9029285714285714,0.5438508226178537,2.361199626100558,-0.7721704652871444
55,arxiv,2,7,0.15,0.9083938982509384,0.6153829261253121,2.2202447908359666,-1.4876620668612948
56,arxiv,2,7,0.15,0.904746835443038,0.5859242238070287,2.214442563245357,-0.815468055114497
57,arxiv,2,7,0.15,0.9064444089966501,0.589575826675254,2.343676179415434,-1.43288844089714
58,arxiv,2,7,0.15,0.9059012444801284,0.6054538044546423,2.303829115612882,-1.2567076975093796
59,arxiv,2,7,0.15,0.9089104193138501,0.6062379498787837,2.215503433919103,-1.517096133201015
60,arxiv,2,7,0.25,0.9131461797038248,0.6799378894614792,2.112364996249684,-1.2582361021493247
61,arxiv,2,7,0.25,0.9093468979925515,0.6788957546104339,2.250450169196685,-1.6273822053078264
62,arxiv,2,7,0.25,0.9093297101449276,0.6303951555946623,2.2588361667226367,-1.3504112142691689
63,arxiv,2,7,0.25,0.9093693693693694,0.6343223845678913,2.257927839943667,-1.3432720420151798
64,arxiv,2,7,0.25,0.9094664990120352,0.642731390008811,2.259077075416427,-1.3444298149670457
65,arxiv,2,7,0.35,0.9094422393983705,0.6822542638962243,2.3108042927058046,-1.2806480802479296
66,arxiv,2,7,0.35,0.9082387251327987,0.6415493501800555,2.2289505923444484,-1.0656490599084592
67,arxiv,2,7,0.35,0.9136826630263573,0.6604286622058751,2.2076600616291726,-1.2571249365932637
68,arxiv,2,7,0.35,0.9080387205387206,0.6428834415513092,2.3068021493816153,-1.2247650993142591
69,arxiv,2,7,0.35,0.9107532467532468,0.6487682903533907,2.202685923475504,-1.2689692126573129
70,arxiv,2,7,0.44999999999999996,0.9043446062700568,0.6699986179447472,2.3572410790448837,-1.1477355079461329
71,arxiv,2,7,0.44999999999999996,0.9031668696711328,0.665763737534631,2.344426134899175,-1.0520539707594023
72,arxiv,2,7,0.44999999999999996,0.9026406712734452,0.6613147382331044,2.331809492492306,-1.055570561211769
73,arxiv,2,7,0.44999999999999996,0.9091695501730104,0.6567295641244534,2.2749198905236954,-1.0325818690462214
74,arxiv,2,7,0.44999999999999996,0.9095699056488176,0.684075643695278,2.22514311007742,-0.8748269192919251
75,arxiv,2,7,0.5499999999999999,0.9035795887281036,0.6484009618893849,2.331114669342624,-0.8765664928119079
76,arxiv,2,7,0.5499999999999999,0.9007770472205618,0.6540647497994111,2.325961525399151,-0.8407364283635418
77,arxiv,2,7,0.5499999999999999,0.9081617315496768,0.6651535270563773,2.2359149549770536,-0.7464065292011792
78,arxiv,2,7,0.5499999999999999,0.9077417380660955,0.629102367258041,2.2366184224650127,-0.7099564382984046
79,arxiv,2,7,0.5499999999999999,0.9058122205663189,0.6521691998499509,2.2769669661990832,-0.7853943607247501
80,arxiv,2,7,0.65,0.902632597754549,0.6320404828161633,2.3033362081064617,-0.573809817882484
81,arxiv,2,7,0.65,0.8991935483870968,0.617736290330781,2.3615658590289774,-0.6540224140070204
82,arxiv,2,7,0.65,0.9095340222265549,0.632733673356248,2.2572311886956804,-0.5933263814006308
83,arxiv,2,7,0.65,0.910762679055362,0.6410552303936597,2.274131500181441,-0.6025041457371285
84,arxiv,2,7,0.65,0.9102437091341391,0.6176734025857702,2.247206924327792,-0.5495239681725094
85,arxiv,2,7,0.75,0.9022293849046468,0.5809813883645382,2.3065170472401535,-0.35121045145363056
86,arxiv,2,7,0.75,0.8982863460475401,0.5734038461538461,2.3321278435048574,-0.37165138475568443
87,arxiv,2,7,0.75,0.9003739316239316,0.5894369496008774,2.2898722969846825,-0.3280139993870579
88,arxiv,2,7,0.75,0.9088427947598253,0.5869144593695492,2.2455474769509385,-0.2750944504596572
